title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【オレオ】チーズケーキじゃないオレオケーキ作ってみた！,/watch?v=soxTNV8ccZk,27,Saki ASMR,5,3か月前,34,79
【ASMR】【ねこ】猫がおやつを食べる音　Cat Sounds,/watch?v=rof2UsXweww,9,Saki ASMR,5,3か月前,34,26
【ASMR】【咀嚼音】甘いもの苦手な私がオレオケーキを食べる　Real Eating Sound OREO CAKE,/watch?v=5xx0RksuaD4,136,Saki ASMR,5,3か月前,34,400
【ASMR】【咀嚼音】Yum Yum Gai Yaan ガイヤーン焼きそば 食べる音　Real Eating Sound  Fried Noodle,/watch?v=nuuuZVyu-Ck,43,Saki ASMR,5,3か月前,34,126
【ASMR】【Singing Bowl】シンギングボール　Tibetan Singing Bowl,/watch?v=i6t-Uy2WQzM,26,Saki ASMR,5,3か月前,34,76
【ASMR】水のおと　Water Sounds,/watch?v=I3LEVlQxERY,10,Saki ASMR,5,3か月前,34,29
【ASMR】【猫の咀嚼音】猫がご飯を食べる音　Cat Eating Meal Sounds,/watch?v=o6uY-7hdpUU,32,Saki ASMR,5,3か月前,34,94
【咀嚼音】ASMRプルダックカルボ食べる音　Real Eating Sounds Spicy Korean Ramen,/watch?v=o5fGBEQIkRM,27,Saki ASMR,5,3か月前,34,79
【ASMR】タッピング　tapping for Sleep..,/watch?v=Z-m1i8pK1Rw,10,Saki ASMR,5,3か月前,34,29
【ASMR】〜東南アジアの気分〜　田舎の夜の音　Countryside Sounds,/watch?v=XmNFwMQZu-o,29,Saki ASMR,5,3か月前,34,85
"【ASMR】眠れない夜に。身近なものをタッピング、シェイク　ASMR  for Sleep..  tapping , shake something",/watch?v=JC_mqjMnCCc,20,Saki ASMR,5,3か月前,34,59
