title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
マッチョの筋肉の音【ASMR】【音フェチ】,/watch?v=0Nh5lwIqpqU,9095,Taisei ASMR,6610,7か月前,14884,61
お久しぶりです。【ASMR】【音フェチ】,/watch?v=njdaMZp0bwM,7130,Taisei ASMR,6610,8か月前,14884,48
【ASMR】頭をジュワ～っとやっちゃいます【音フェチ】,/watch?v=XWgxzKByy-Q,14792,Taisei ASMR,6610,1年前,14884,99
【ASMR】チャンネル登録者数6000人ありがとう！【音フェチ】,/watch?v=z69vF8e_D18,14118,Taisei ASMR,6610,1年前,14884,95
明けましておめでとうございます。【ASMR】【音フェチ】,/watch?v=fyI7nmmXIgs,6692,Taisei ASMR,6610,1年前,14884,45
音フェチバトル！！(スクイーズ)【ASMR】【音フェチ】クリスマス特集,/watch?v=NPH6MibVERg,7871,Taisei ASMR,6610,1年前,14884,53
【太りすぎASMR】僕がデブになった理由。【音フェチ雑談】,/watch?v=Z-EzOGS-uew,8757,Taisei ASMR,6610,1年前,14884,59
【ASMR咀嚼音】きゅうり3本分の浅漬けを食べるeating sounds【音フェチ】,/watch?v=C8f673lld6U,11337,Taisei ASMR,6610,1年前,14884,76
【ASMR】ハトムギ　オールインワンゲル手に付ける【音フェチ】,/watch?v=PFU1U_ht4Zg,6847,Taisei ASMR,6610,1年前,14884,46
【ASMR】お〇〇こちゃんを追加注文したので触る音【音フェチ】,/watch?v=okRZsPOskH4,19619,Taisei ASMR,6610,1年前,14884,132
【ASMR】mic nibbling マイクを噛む音,/watch?v=rBoMUI3LeKQ,14102,Taisei ASMR,6610,1年前,14884,95
大切な前髪が焼け焦げました…【ASMR音フェチ】【雑談】,/watch?v=1kREEvavNdg,5704,Taisei ASMR,6610,1年前,14884,38
【ASMR】１０分間であなたを睡眠へ導く【音フェチ　スクイーズ】,/watch?v=Lxl0Obsc3xE,8051,Taisei ASMR,6610,1年前,14884,54
【音フェチ】耳かきを2号にしてみた！！！【ASMR】,/watch?v=47Lf_MhXqsU,5749,Taisei ASMR,6610,1年前,14884,39
【ASMR咀嚼音】琥珀糖の咀嚼音。KOHAKUTOU　Eating　Sounds【音フェチ】,/watch?v=voiLuq_2MRs,10162,Taisei ASMR,6610,1年前,14884,68
【ASMR咀嚼音】琥珀糖を買ってみた　開封の儀【音フェチ】,/watch?v=KOKSUlVR7wA,8045,Taisei ASMR,6610,1年前,14884,54
【ASMR】空のペットボトルをタッピングと囁き　tapping【音フェチ】,/watch?v=wLVlX0ueuPk,3417,Taisei ASMR,6610,1年前,14884,23
【ASMR咀嚼音】蒙古タンメン旨辛焼きそば食べてみた【音フェチ】,/watch?v=JQvv7hBrngw,4490,Taisei ASMR,6610,1年前,14884,30
【ASMR】化粧水の音と僕の地声【音フェチ】,/watch?v=AA0rp3-oovg,4207,Taisei ASMR,6610,1年前,14884,28
【ASMR】お〇〇こちゃんスクイーズ！【音フェチ】,/watch?v=K-0l9qnNpis,12421,Taisei ASMR,6610,1年前,14884,83
【音フェチ】スマホケースにネイルタッピングtapping【ASMR】,/watch?v=Jg1ARbZZaws,5227,Taisei ASMR,6610,1年前,14884,35
【ASMR】マネキンにタッピングや耳かき【音フェチ】,/watch?v=_F3enPzI9R8,4697,Taisei ASMR,6610,1年前,14884,32
【ASMR咀嚼音】母親と作った野菜炒めを食す音【音フェチ】,/watch?v=V-STgLH7fLw,4828,Taisei ASMR,6610,1年前,14884,32
【ASMR】Twitterのフォロワーさんの名前を囁く！【音フェチ】,/watch?v=1Nx3OIfj12E,2387,Taisei ASMR,6610,1年前,14884,16
【ASMR】SKSK音とOmnom音　囁き【音フェチ】,/watch?v=8BtblLDMJh8,3464,Taisei ASMR,6610,1年前,14884,23
【ASMR】※苦手な方は見ないで下さいMouth　Sounds　リップ音【音フェチ】,/watch?v=hH1pSgKpl5c,7039,Taisei ASMR,6610,1年前,14884,47
【音フェチ】納豆ねんどの音【ASMR】,/watch?v=pYJzKaMZDp8,3525,Taisei ASMR,6610,1年前,14884,24
まさよしさんから頂いたオイルの音とアンモナイトのタッピング【ASMR】【音フェチ】,/watch?v=cjOgI75RVfo,8101,Taisei ASMR,6610,1年前,14884,54
【音フェチ】納豆スライムとメロンパンスクイーズの音【ASMR】,/watch?v=Ud4JwDhICSM,3794,Taisei ASMR,6610,1年前,14884,25
まさよしさんから謎の箱が届いた！開封の儀【音フェチ】【ASMR】,/watch?v=n-D1Y8PLBkc,19775,Taisei ASMR,6610,1年前,14884,133
【音フェチ】メガネケースのタッピングなどの音【ASMR】,/watch?v=yUk4mH2txK8,3487,Taisei ASMR,6610,1年前,14884,23
【音フェチ】※閲覧注意※歯磨きの音【ASMR】,/watch?v=IiKj78mV9S4,3511,Taisei ASMR,6610,1年前,14884,24
【音フェチ】いろんな物の音をとってみた！【ASMR】,/watch?v=wDMDQ4HFN-c,4595,Taisei ASMR,6610,1年前,14884,31
【音フェチ】手の音と綿棒ケースのシャカシャカ(タッピング)【ASMR】,/watch?v=JPSeOXT3Rww,3276,Taisei ASMR,6610,1年前,14884,22
【音フェチ】初めての耳かきロールプレイ【ASMR】,/watch?v=gR68lnpyh9M,8990,Taisei ASMR,6610,1年前,14884,60
【音フェチ】恐竜のゴム手袋をマイクにしてみた【ASMR】,/watch?v=v_RAZQjXtnA,4668,Taisei ASMR,6610,1年前,14884,31
【音フェチ】柿ピーを削る音！【ASMR】,/watch?v=Z4J_kN2OmHg,4427,Taisei ASMR,6610,1年前,14884,30
【音フェチ】ただひたすら囁くだけの動画。【ASMR】【リクエスト動画】,/watch?v=szgUub1tB9g,7883,Taisei ASMR,6610,1年前,14884,53
