title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
うつつまくら feat.XRE - YASAI SHOP,/watch?v=jCMs4_Cv9e0,3090,XRE's Rec,,,6074,51
ASMR - ヤンデレ化した幼なじみに監禁され強制耳かきされる,/watch?v=tpbBLYOrqbE,3210,XRE's Rec,,,6074,53
ASMR - ヤンデレ後輩マネージャーに監禁されて…,/watch?v=utpjp3mJdwc,66590,XRE's Rec,,,6074,1096
ため息 - XRE,/watch?v=EzrLf4xLpYY,580,XRE's Rec,,,6074,10
ASMR - 膝枕をしてくれたヤンデレ彼女に監禁され日常を壊される,/watch?v=JYOXtJS8XDc,2571,XRE's Rec,,,6074,42
ASMR - だんだん寝息が君の耳に近づいてくる…添い寝.睡眠導入.癒し.吐息,/watch?v=bDbmDj8iBPA,1230,XRE's Rec,,,6074,20
恋愛サーキュレーション - 千石撫子 (花澤香菜) / covered by XRE,/watch?v=M4VNzhHnwO0,783,XRE's Rec,,,6074,13
ASMR - 優しくお耳マッサージ.タオル.手.音フェチ.癒し.睡眠導入,/watch?v=zHi5YVY28Jc,1638,XRE's Rec,,,6074,27
ASMR - 頑張ってる君へ.心音.囁き.癒し.睡眠導入,/watch?v=SdQzLhegwm8,1489,XRE's Rec,,,6074,25
ㅤ,/watch?v=7o-xZEzFPxA,5365,XRE's Rec,,,6074,88
ASMR - ポテチの咀嚼音.音フェチ.吐息.囁き,/watch?v=6ssOOrYewz4,1281,XRE's Rec,,,6074,21
I my - XRE,/watch?v=w4Xd57DSSqY,2709,XRE's Rec,,,6074,45
ASMR - 初めての耳かき.睡眠導入.癒し.梵天.綿棒,/watch?v=X_ETldXF5dQ,1705,XRE's Rec,,,6074,28
ASMR - 紅茶の咀嚼音.音フェチ.吐息.囁き.癒し,/watch?v=jhzdD8reQSk,1407,XRE's Rec,,,6074,23
YUBIKIRI-GENMAN - Mili / covered by XRE,/watch?v=46AS_eNSeJs,2338,XRE's Rec,,,6074,38
ㅤ,/watch?v=Z7ij2RvrbMI,1272,XRE's Rec,,,6074,21
ASMR - 睡眠導入.癒し.音フェチ.囁き,/watch?v=QqOL-V5qBKE,2071,XRE's Rec,,,6074,34
Neko Mimi Mode ネコミミモード - Dimitri From Paris 斎藤千和 / covered by XRE,/watch?v=8fnLF28WyFI,2517,XRE's Rec,,,6074,41
ASMR - 何を作っているでしょう？料理をしてる音.音フェチ,/watch?v=04WLeJuON8U,1434,XRE's Rec,,,6074,24
ASMR - 繊維の音.タオルの音.音フェチ.癒し.睡眠導入,/watch?v=0Frs8Aeotsk,2149,XRE's Rec,,,6074,35
ごめんねごめんね - きくお / covered by XRE,/watch?v=5Vu4hutvqMI,43565,XRE's Rec,,,6074,717
ASMR - お耳ふーふー.吐息.囁き.睡眠導入,/watch?v=sjXv4JjhnCs,3305,XRE's Rec,,,6074,54
ヲズワルド - 煮ル果実 / covered by XRE,/watch?v=Vaau6T_tbkk,3981,XRE's Rec,,,6074,66
自己紹介,/watch?v=C8MOkLjXHvA,1624,XRE's Rec,,,6074,27
自己紹介,/watch?v=hyhszWiWupE,1854,XRE's Rec,,,6074,31
自己紹介,/watch?v=nPsY8ZGGbyw,1821,XRE's Rec,,,6074,30
こちらのチャンネルについて,/watch?v=3iwBOWyfJ8Q,2418,XRE's Rec,,,6074,40
