title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
(音フェチ) メラミン耳で耳かきとか色々してみた (Notalking ASMR),/watch?v=2rTIREOObP0,5290,Yattemo ASMR Channel,57100,1日前,28693,18
音を測定する胡散臭い謎の研究員Yattemoその２,/watch?v=hVNmaH_J7YY,24889,Yattemo ASMR Channel,57100,1週間前,28693,87
(音フェチ) 「強め」の音で立体音響をやってみた (Notalking ASMR),/watch?v=qwqYVLzsRzk,14171,Yattemo ASMR Channel,57100,2週間前,28693,49
【音フェチ放送】やってものおやすみ放送＃７４　※イヤホン推奨,/watch?v=T48DHKGRvIU,18207,Yattemo ASMR Channel,57100,3週間前,28693,63
(音フェチ) ハニワとモアイのおもちゃで遊ぶ (囁き声あり ASMR),/watch?v=wYLvu76Ta-k,19092,Yattemo ASMR Channel,57100,4週間前,28693,67
胡散臭い謎の耳かきサロンYattemoその４,/watch?v=KHiFwS4MZTo,34905,Yattemo ASMR Channel,57100,1か月前,28693,122
(音フェチ) ポテチ映えで音を録ってみた (囁き声あり ASMR),/watch?v=RzpCxYx4pdY,13110,Yattemo ASMR Channel,57100,1か月前,28693,46
(音フェチ) ダミーヘッドにクレンジングマッサージしてみた (Notalking ASMR),/watch?v=wlZsSZrT8CU,15538,Yattemo ASMR Channel,57100,1か月前,28693,54
皆さん、もう寝て下さい。３,/watch?v=odVxSflyYpY,18922,Yattemo ASMR Channel,57100,1か月前,28693,66
【音フェチ放送】やってものおやすみ放送＃７３　※イヤホン推奨,/watch?v=Q-SRZGQ6gcQ,13674,Yattemo ASMR Channel,57100,1か月前,28693,48
(音フェチ) 猫のぬいぐるみにマッサージしてみた (Notalking ASMR),/watch?v=2-vNoMgZvhU,13868,Yattemo ASMR Channel,57100,2か月前,28693,48
(音フェチ) 人形ダミヘに耳かき＆マッサージしてみた (Notalking ASMR),/watch?v=jBFLGJgfRjc,17470,Yattemo ASMR Channel,57100,2か月前,28693,61
(音フェチ) iPadでダミーヘッドマイクの絵を描いてみた (声あり ASMR),/watch?v=bvGWWf78PfQ,19342,Yattemo ASMR Channel,57100,2か月前,28693,67
【音フェチ放送】やってものおやすみ放送＃７２　※イヤホン推奨,/watch?v=_0T83O0wzrY,14235,Yattemo ASMR Channel,57100,2か月前,28693,50
(音フェチ) ジェルマット耳をペタペタ触ってみた (Notalking ASMR),/watch?v=gT9U0clXvtE,28248,Yattemo ASMR Channel,57100,3か月前,28693,98
(音フェチ) ふさふさヘッドマッサージ (おっさんの吐息付き ASMR),/watch?v=PE0FQpKkN18,18530,Yattemo ASMR Channel,57100,3か月前,28693,65
(音フェチ) ダミーヘッドに和紙をひたすら張る (囁き声あり ASMR),/watch?v=QJ7Ca-IxHXo,25540,Yattemo ASMR Channel,57100,3か月前,28693,89
【音フェチ放送】やってものおやすみ放送＃７１　※イヤホン推奨,/watch?v=JJqXVOuiETg,24874,Yattemo ASMR Channel,57100,3か月前,28693,87
