title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】Coloring Your Hair | 【音フェチ】ヘアカラーの音,/watch?v=j_gndIlXeO8,143,ZUBORA ASMR,29,1か月前,218,66
【ASMR】Water Sounds | 【音フェチ】水の音,/watch?v=InUuWE8uraA,94,ZUBORA ASMR,29,3か月前,218,43
"【ASMR】Tapping on Boxes, Tablets, and Microphone | 【音フェチ】音フェチのはじめ方",/watch?v=A4hb0YYmHIA,129,ZUBORA ASMR,29,3か月前,218,59
【ASMR】Making and Eating Candied Fruits | 【音フェチ】咀嚼音　フルーツ飴篇,/watch?v=gjIUzw5ogto,157,ZUBORA ASMR,29,3か月前,218,72
【ASMR】Bubble Wrap and Paper Sounds | 【音フェチ】プチプチとか紙の音,/watch?v=rc4QxI8ViaM,137,ZUBORA ASMR,29,3か月前,218,63
【ASMR】Making Grilled Cheese　Sandwich | 【音フェチ】料理音　ホットサンド篇,/watch?v=_i18v3VwS3M,161,ZUBORA ASMR,29,3か月前,218,74
【ASMR】Eating Korean Cheese Hotdog | 【音フェチ】咀嚼音　チーズハッドグ篇,/watch?v=yGShtAHPRrI,504,ZUBORA ASMR,29,4か月前,218,231
【ASMR】Unboxing and Rain Sounds | 【音フェチ】傘の開封音と雨の音,/watch?v=-aP4wt7FBvw,102,ZUBORA ASMR,29,4か月前,218,47
【ASMR】Washing hands | 【音フェチ】手洗いのすすめ,/watch?v=WoVCjF1mYCE,160,ZUBORA ASMR,29,4か月前,218,73
【ASMR】360° Eating Sounds | 【音フェチ】360° 咀嚼音　レタス包み篇,/watch?v=aYJNjF4vHXw,99,ZUBORA ASMR,29,4か月前,218,45
【ASMR】Snow Sounds in Spring | 【音フェチ】季節外れの雪の音,/watch?v=kDcb_r5caT4,56,ZUBORA ASMR,29,4か月前,218,26
【ASMR 】Playing Mute Organ | 【音フェチ】オルガンの練習,/watch?v=PWrOWZ5Nx5M,143,ZUBORA ASMR,29,4か月前,218,66
【ASMR】Japanese Style House | 【音フェチ】おじいちゃんち,/watch?v=9ajMDvesm5Y,127,ZUBORA ASMR,29,5か月前,218,58
【ASMR】Makeup Rummaging | 【音フェチ】お化粧品をがさごそ,/watch?v=njDAY-Xbb2w,182,ZUBORA ASMR,29,5か月前,218,83
【ASMR】Cooking Sounds | 【音フェチ】料理音　トーストアレンジ篇,/watch?v=jgjXdm3n9_c,123,ZUBORA ASMR,29,5か月前,218,56
【ASMR】Studying Sounds | 【音フェチ】勉強する音　有機化学篇,/watch?v=7WsnG5OD4xg,186,ZUBORA ASMR,29,5か月前,218,85
【ASMR】Dog Eating Sounds | 【音フェチ】犬っころ　咀嚼音篇,/watch?v=Nw53OIUgj_E,1242,ZUBORA ASMR,29,5か月前,218,570
【ASMR】Eating Japanese Breakfast | 【音フェチ】 咀嚼音　いなりずし篇,/watch?v=4RLiZihvklU,178,ZUBORA ASMR,29,5か月前,218,82
