title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR (Whisper) - In N Out with My Husband! | Eating Sounds | Mukbang,/watch?v=ArIl4Wo32bM,859,buds ASMR,17200,1日前,6915,12
ASMR (No Whisper) - Salmon Sashimi | Eating Sounds | Mukbang,/watch?v=Ca5p01TiOw0,1266,buds ASMR,17200,3日前,6915,18
ASMR (Whisper) - Panda Express | Why I've Been Gone | Eating Sounds | Mukbang,/watch?v=pe22UZgBhnw,2401,buds ASMR,17200,5日前,6915,35
ASMR - Rain/Thunder Sounds - Driving (Freeway) on a Rainy Day in Los Angeles,/watch?v=Sms-M6tfGcI,3351,buds ASMR,17200,1年前,6915,48
ASMR | BIG BITES | MESSY EATING - Chipotle Burrito,/watch?v=v8AwIOgyZnI,24865,buds ASMR,17200,1年前,6915,360
ASMR (New Mic) - Munchpak | Trying Snacks From Around the World!,/watch?v=Yy_CK_F3mfE,3303,buds ASMR,17200,1年前,6915,48
Filming this video literally made me decide it's time to move out.,/watch?v=FYqMcgOlWcg,4010,buds ASMR,17200,2年前,6915,58
ASMR | Whisper - Buffalo Chicken and Mashed Potatoes,/watch?v=zn1JnvjK5gQ,3397,buds ASMR,17200,2年前,6915,49
"ASMR | No Whisper - Jack in the Box | Breakfast Platter, Eggrolls, Jalapeno Poppers, Curly Fries",/watch?v=eId9mX12-7g,4419,buds ASMR,17200,2年前,6915,64
ASMR | Whisper - Chicken Tikka Masala,/watch?v=exftaMgSthI,2042,buds ASMR,17200,2年前,6915,30
ASMR | NO Whisper - BBQ Chicken Meal,/watch?v=uDAhCaGfAVQ,1288,buds ASMR,17200,2年前,6915,19
ASMR | Whisper - Pork Carnitas,/watch?v=LF3zWp6U2pU,1890,buds ASMR,17200,2年前,6915,27
ASMR | Whisper - Chicken Shawarma,/watch?v=zBxLC0q3N7g,1428,buds ASMR,17200,2年前,6915,21
ASMR | Whisper - Chicken Marsala Meal,/watch?v=g5sPmrGHlxM,1691,buds ASMR,17200,2年前,6915,24
"ASMR Chew View | No Whisper - Panda Express | Beef and Broccoli, Orange Chicken, Chow Mein",/watch?v=04mKPtuYqRI,10452,buds ASMR,17200,2年前,6915,151
ASMR | Whisper - Carved Turkey Meal,/watch?v=FZy-s6hZ0ZQ,1373,buds ASMR,17200,2年前,6915,20
ASMR | Whisper - Cod Cake Meal,/watch?v=Z1AFoE2ovts,1624,buds ASMR,17200,2年前,6915,23
ASMR | Whisper - Shepherd's Pie,/watch?v=Y5YNNAbMwBs,4844,buds ASMR,17200,2年前,6915,70
ASMR | Whisper - Penne Bolognese | Pasta,/watch?v=oT-4OT4m0q4,4035,buds ASMR,17200,2年前,6915,58
ASMR | Whisper - Southwest Chicken Bowl,/watch?v=kMMMGIJgA5Q,2814,buds ASMR,17200,2年前,6915,41
"Coming Up Next Week.. | ""Freshly"" Chef Prepared Meals (Whisper)",/watch?v=TV5fvWi0JHU,642,buds ASMR,17200,2年前,6915,9
ASMR | No Whisper - Steamed Buns,/watch?v=gCgH-SW1OCs,15601,buds ASMR,17200,2年前,6915,226
"ASMR - Taco Bell | Cool Ranch, Nacho Cheese, and Fiery Doritos Locos Tacos",/watch?v=edU1rL-DLmc,10475,buds ASMR,17200,2年前,6915,151
"ASMR - Garlic Parmesan and Tangy Gold Wings, Sweet Potato Fries, Mac & Cheese",/watch?v=tGcYaofxtMc,2768,buds ASMR,17200,2年前,6915,40
ASMR *AUDIO FAIL* - Extreme Spicy Noodles!,/watch?v=cvdf1J0wNnE,2320,buds ASMR,17200,2年前,6915,34
Just a normal drive through Los Angeles. (Rear ended) *Bad word*,/watch?v=Ipm7dZ9p9Kw,1537,buds ASMR,17200,2年前,6915,22
"ASMR - Steak Teriyaki, California Rolls, Gyoza, Eggrolls, and Salad",/watch?v=xz9Pei4hOic,2767,buds ASMR,17200,2年前,6915,40
"ASMR | Chew View - Jr. Bacon Cheeseburger, Baconator Fries, Chili, and Chicken Nuggets | Wendy's",/watch?v=UrRZIwKy3Dc,4304,buds ASMR,17200,2年前,6915,62
"ASMR - Ribs, Mac and Cheese, Waffle Fries, and Biscuit | Dickey's Barbecue Pit",/watch?v=Jx3naCoeo4k,5634,buds ASMR,17200,2年前,6915,81
"ASMR Chew View - Samyang Mala ""4x Spicy"" Noodles",/watch?v=FsA53AVRE_Y,3949,buds ASMR,17200,2年前,6915,57
ASMR | Chew View | No Whisper - Salmon & Inari Bento Box,/watch?v=CSIq2goe-cg,2382,buds ASMR,17200,2年前,6915,34
ASMR | Chew View | No Whisper - Double Double + Light Lemonade | In-N-Out Burger,/watch?v=7bRCYYntlLE,6598,buds ASMR,17200,2年前,6915,95
ASMR | Chew View | No Whisper - LARGE Poke Bowl | Sushi Bowl,/watch?v=ZK9-eSz6frI,4614,buds ASMR,17200,2年前,6915,67
ASMR | Whisper | Tapping - Color Changing Lamp Review | Homecube,/watch?v=sXnXShxIsi4,1023,buds ASMR,17200,2年前,6915,15
ASMR | Binaural Whisper | Tapping -  Matcha Mud Mask | The Matcha Reserve,/watch?v=R-WvcHOk1RY,1232,buds ASMR,17200,2年前,6915,18
ASMR | Binaural - Strawberry POPROCKS,/watch?v=3JP4vF9GX4Q,1471,buds ASMR,17200,2年前,6915,21
ASMR | Close Up - Tropical Punch POPROCKS,/watch?v=1IMud_4sUPo,2248,buds ASMR,17200,2年前,6915,33
ASMR | Closeup Chewing - Hawaiian and Supreme Pizza,/watch?v=EUHuY3ZYBT4,4814,buds ASMR,17200,2年前,6915,70
ASMR - Black Bean Noodles | Jjajangmyeon,/watch?v=K7IUT75ttcA,3010,buds ASMR,17200,2年前,6915,44
ASMR | Whisper - BBQ Pork on Rice,/watch?v=MIEdJsPawKg,2140,buds ASMR,17200,2年前,6915,31
"ASMR | Chew View - Egg McMuffin, Egg White Delight, Yogurt Parfait | McDonald's",/watch?v=zYH319axM6A,2809,buds ASMR,17200,2年前,6915,41
"Eating at Roll It Sushi - Bento Box | Steak on Rice, Fried Gyoza, California Rolls",/watch?v=hu1YyMnZBG4,1591,buds ASMR,17200,2年前,6915,23
ASMR | Chew View - Deluxe Breakfast Sandwich | McDonald's,/watch?v=FFyXR7nJ1u8,2432,buds ASMR,17200,2年前,6915,35
Eating at Panera Bread - Roasted Turkey & Avocado BLT + Broccoli Cheddar Soup,/watch?v=Z4nOxvHSxKc,1857,buds ASMR,17200,2年前,6915,27
ASMR - Mancala | Marble Play,/watch?v=UQuXVotY_iw,5743,buds ASMR,17200,2年前,6915,83
I Met My Boyfriend Through Online Gaming - ASMR Chew View | Beef Noodle Soup (Pho Dac Biet),/watch?v=yO5D-Ll46hc,2628,buds ASMR,17200,2年前,6915,38
ASMR | SLURPING - Spicy Vietnamese Beef Noodle Soup (Bun Bo Hue),/watch?v=6PEUccp9844,3364,buds ASMR,17200,2年前,6915,49
ASMR | Chew View - Deluxe Breakfast Platter | McDonald's,/watch?v=-alLztDXPSs,6672,buds ASMR,17200,2年前,6915,96
ASMR | Binaural Chewing - Pizza | Papa John's,/watch?v=tCLlMPt1jH4,3283,buds ASMR,17200,2年前,6915,47
ASMR Chew View - Jalapeno Cheese Dog | Wetzel's Pretzels,/watch?v=2MF1VTs8uNk,5432,buds ASMR,17200,2年前,6915,79
Eating at Carl's Jr. - Famous Star Burger,/watch?v=eMiNmkh1VXw,4541,buds ASMR,17200,2年前,6915,66
ASMR Chew View | No Whisper - Chinese Food | General Tso's Chicken and Beef Broccoli,/watch?v=e4S32udye8w,3636,buds ASMR,17200,2年前,6915,53
ASMR | Binaural Chewing - Pizza and Spicy Garlic Wings | Pizza Hut,/watch?v=e8TcnNF4yxg,13337,buds ASMR,17200,2年前,6915,193
Mukbang? - Poke Bowl | AhiPoki,/watch?v=lCeOKcVYHO4,2613,buds ASMR,17200,2年前,6915,38
I Regret My Tattoos,/watch?v=DZfh7C0nfSw,6282,buds ASMR,17200,2年前,6915,91
ASMR Chew View | No Whisper - Salmon on Rice and Inari,/watch?v=x3k7LcmTGeA,2375,buds ASMR,17200,2年前,6915,34
