title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【LIVE】自分の部屋いいかげん片付ける✊,/watch?v=YxE1_xzdHlM,175,ji mojic,13900,,4068,4
【LIVE】セブンで雑談,/watch?v=_galqJI3GHw,3302,ji mojic,13900,,4068,81
【LIVE】モスで普段食べないバーガー食べる,/watch?v=f6i9T05y3PM,2669,ji mojic,13900,,4068,66
すみませんでした,/watch?v=y5BAbqv4rYA,4384,ji mojic,13900,,4068,108
新居ルームツアー,/watch?v=_dgrpn0PPY8,7414,ji mojic,13900,,4068,182
【LIVE】新居で朝ごはん,/watch?v=ojlNG_BgogI,4393,ji mojic,13900,,4068,108
新居で鍋焼きうどん,/watch?v=_FlEnvwWLSY,4344,ji mojic,13900,,4068,107
【萩の月】とセブンの【ふわころ】が似てるらしいので買ってみた,/watch?v=0-BKsfNtaWA,3459,ji mojic,13900,,4068,85
荷物が届いた,/watch?v=myNHxc1XMkA,3360,ji mojic,13900,,4068,83
謎肉でつくるチャパグリ,/watch?v=taGVcut0R3o,3248,ji mojic,13900,,4068,80
【LIVE】畑にきました【雑草抜き】,/watch?v=zrurY0d78Mo,3046,ji mojic,13900,,4068,75
【LIVE】4連休最終日の朝ごはん,/watch?v=Acme8ia_YEs,3425,ji mojic,13900,,4068,84
【LIVE】ちゅぴ昨日はごめんなさい,/watch?v=cMUF-okZ8Wk,4411,ji mojic,13900,,4068,108
【5時間LIVE】連休2日目どーする？,/watch?v=t9evrA_Ct2Q,7526,ji mojic,13900,,4068,185
気がついたら1日おわってる人の連休初日,/watch?v=h7cJIqSOW9c,4725,ji mojic,13900,,4068,116
スーパーで好きなもの好きなだけ買って食べた,/watch?v=0JhBsX97UCs,6729,ji mojic,13900,,4068,165
まぜそば食べながらレジカゴのその後の話,/watch?v=05oYrEGRC64,3964,ji mojic,13900,,4068,97
炭水化物が食べたい,/watch?v=Aw7t1nKjEDE,3569,ji mojic,13900,,4068,88
【LIVE】レインボーチーズハットグ食べる,/watch?v=9JXmMTTjvoo,2912,ji mojic,13900,,4068,72
【LIVE】7.11おはよう☀,/watch?v=WOEzji9tY4U,2703,ji mojic,13900,,4068,66
【LIVE】板チョコアイスたべる,/watch?v=ahgGHQibyjk,2785,ji mojic,13900,,4068,68
レジ袋有料化だし決着つけよう（レジカゴリュックvsマイバスケット）,/watch?v=dFrLVD_CsDQ,5156,ji mojic,13900,,4068,127
畑で収穫した野菜とナス味噌作り,/watch?v=lRksIAuHJRU,2576,ji mojic,13900,,4068,63
日記動画詰め合わせ,/watch?v=cq8Wlous_Po,2027,ji mojic,13900,,4068,50
根室いった翌日すごく眠かった動画,/watch?v=rHg46b-JUNM,2094,ji mojic,13900,,4068,51
晩成温泉キャンプ場で梅雨キャンプ,/watch?v=yCn1CC5YIFI,3349,ji mojic,13900,,4068,82
【LIVE】梅雨キャンプなう,/watch?v=3bXkFnRHKBs,3491,ji mojic,13900,,4068,86
北海道の1番東にいってきた,/watch?v=WRd4W4QiP6o,3306,ji mojic,13900,,4068,81
【LIVE】ちゅぴケーキデコる,/watch?v=kkZiNYKrx_E,3075,ji mojic,13900,,4068,76
1日で【函館】食べ尽くし,/watch?v=QEKXFKL1s2c,4177,ji mojic,13900,,4068,103
帯広【たいやき工房】のたいやきがおいしい,/watch?v=f_sPfCWiryg,2557,ji mojic,13900,,4068,63
道の駅かみしほろに行ってきました,/watch?v=oRfVLRT6mDk,2971,ji mojic,13900,,4068,73
noshのお弁当買ってみました,/watch?v=6raFRGsTVCk,4013,ji mojic,13900,,4068,99
二度寝のあとの納豆ごはん,/watch?v=JLCrEo6MeYA,3460,ji mojic,13900,,4068,85
【LIVE】1週間お疲れ様でした,/watch?v=H7_7cMSx4b8,4104,ji mojic,13900,,4068,101
夏のマスク暑いので冷感マスク買ってみた😷,/watch?v=QhDsch1b6yw,18119,ji mojic,13900,,4068,445
モスのグリーンバーガー/PLANT BASED Mos Burger🍔,/watch?v=0iVDXyww5oc,3300,ji mojic,13900,,4068,81
野菜がおいしい献立,/watch?v=F6HVMG7kRQ8,2408,ji mojic,13900,,4068,59
【LIVE】はや朝（ごまちゃんさんすみません）,/watch?v=jFfWkrdYKco,1892,ji mojic,13900,,4068,47
結構前に撮ったボツ動画２本,/watch?v=Jkvi0JLYEtk,2951,ji mojic,13900,,4068,73
タク配でインデアンカレー食べ比べ/実質これはUberEats,/watch?v=h9HmrCu1rhQ,3228,ji mojic,13900,,4068,79
ホットサンドの会,/watch?v=m8Laxdhu4yE,2515,ji mojic,13900,,4068,62
朝LIVE/バナナジュース作る/筋トレする,/watch?v=9783DbMkZi4,2779,ji mojic,13900,,4068,68
【LIVE】ニチアサ見ながら朝ごはん食べよ🥣,/watch?v=WiJ0Odz5DNU,3835,ji mojic,13900,,4068,94
36歳女休日凄麺食べて農作業,/watch?v=INUn4bsuPAE,3927,ji mojic,13900,,4068,97
『給付金10万円が入金された独身女の夕食がコレ！マジ日本やばすぎたろ…』といった感じの題名でbuzz videoに動画が転載されてた話と吉野家ライザップ食べます,/watch?v=I_zPyF6JPLY,8224,ji mojic,13900,,4068,202
プルダックポックンミョンとヨッポッキ混ぜたら最強ラッポッキ,/watch?v=D2ZD6bOTERo,3671,ji mojic,13900,,4068,90
人生初のウォーターピーリングやってみた感想,/watch?v=LWDmdHK6DI4,6488,ji mojic,13900,,4068,159
【LIVE】こんにちはー,/watch?v=BMnPWlCni5g,3430,ji mojic,13900,,4068,84
コストコ商品が買えるお店『コスパ』Japanese introducing Costco products,/watch?v=tjC-yNtn1bk,3860,ji mojic,13900,,4068,95
給料日の昼ごはん/Lunch on a Japanese payday,/watch?v=2cmqOg3nItY,4030,ji mojic,13900,,4068,99
餃子とビールと雑談🍺🥟Dumplings and beer,/watch?v=t9zYt6v-VwU,3627,ji mojic,13900,,4068,89
"給付金10万円明日入金＆免許更新延長してきました/Benefits 100,000 yen and extension of license renewal(Japan)",/watch?v=vDHKZ50IKyU,5070,ji mojic,13900,,4068,125
貸し畑農場はじめました🍅🥕🥔Small farm in Japan,/watch?v=znElJH_pTtU,2905,ji mojic,13900,,4068,71
カレーピラフおいしいからみんな作って/How to make curry pilaf using Japanese rice cooker,/watch?v=IOnRgDHBw2M,2841,ji mojic,13900,,4068,70
