title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
咀嚼音,/watch?v=DdTw7gUDHgA,8,ka ,3,,7,114
2020年赤羽桜堤緑地,/watch?v=IJsRtxCxjTQ,4,ka ,3,,7,57
河川敷の芝桜,/watch?v=bgEFmrhnq6I,6,ka ,3,,7,86
お友達キターーー❣️🎵,/watch?v=3byhdUoEZUo,2,ka ,3,,7,29
寝言😆,/watch?v=-VFGDaaih1k,0,ka ,3,,7,0
ただ尻尾をフリフリしているだけの動画,/watch?v=UTz9D8hA7s0,0,ka ,3,,7,0
『ドロップ』出せの練習,/watch?v=D-TW52ZwSBo,1,ka ,3,,7,14
桜ふぶきと鳥のさえずり,/watch?v=hvmYaVZFTHc,0,ka ,3,,7,0
咀嚼音,/watch?v=KcTkq4c9zYQ,4,ka ,3,,7,57
パピちゃん17歳,/watch?v=umt-FNi9-eU,2,ka ,3,,7,29
かも～かも～🦆♬,/watch?v=ry2sAf3uvOc,8,ka ,3,,7,114
マカ9歳半 2月27日②,/watch?v=1sEx195LFow,1,ka ,3,,7,14
マカ9歳半 2月27日①,/watch?v=5IZDIWZUyuw,0,ka ,3,,7,0
桜吹雪✨✨,/watch?v=vNBvzWBe8KI,1,ka ,3,,7,14
桜ふぶき✨✨,/watch?v=I7-SLwc-JH8,2,ka ,3,,7,29
いつもの公園 いつものわんプロ友達レミーちゃんと💨,/watch?v=mKsekluef8g,3,ka ,3,,7,43
マカ🐶ミナミの街をぶ〜らぶら🐾,/watch?v=_ToUMw7GwtI,0,ka ,3,,7,0
浜辺でゴロスリ♬,/watch?v=xfoq5NuhK9I,3,ka ,3,,7,43
マカ散歩🐾,/watch?v=WpEgvFYToOs,4,ka ,3,,7,57
マカあさんぽ🐾,/watch?v=8MYITboHO3w,1,ka ,3,,7,14
レミーちゃんと,/watch?v=Jp_7ifOQUIY,1,ka ,3,,7,14
久しぶりの公園で真夏ちゃんと🎵,/watch?v=_OqL5FOWY0c,0,ka ,3,,7,0
デカイのおる！😱,/watch?v=uhrf4dwI0uo,0,ka ,3,,7,0
レミーちゃんと,/watch?v=K_Hhbk1D4Zk,0,ka ,3,,7,0
レミーちゃんと,/watch?v=h2cpYsr5rzg,2,ka ,3,,7,29
公園あさんぽ　ウトウト,/watch?v=5GYwUIRHmpk,0,ka ,3,,7,0
キラちゃんと♡,/watch?v=wrmpH1QO8LE,1,ka ,3,,7,14
ゴロンゴロンあさんぽ,/watch?v=a8awMb9bOV8,1,ka ,3,,7,14
あさんぽ　暑い！,/watch?v=24F6fvdZmdY,0,ka ,3,,7,0
暑くてヘロヘロ(~_~;),/watch?v=s-1TFVRZ5KM,0,ka ,3,,7,0
ブッチパクパク,/watch?v=8_5Z9eLsO20,0,ka ,3,,7,0
台風の次の日！,/watch?v=DwAa5HS1484,1,ka ,3,,7,14
本日9歳になりました🎵byマカ,/watch?v=78sHUS9AHic,1,ka ,3,,7,14
マカ9歳バースデー動画,/watch?v=NMc3E1vrTc8,1,ka ,3,,7,14
今日も公園パトロールだよ。。。zzz zzz,/watch?v=HQeDjU__e3w,3,ka ,3,,7,43
お友達が来た❗️控えめに喜ぶいぬ(((*≧艸≦)ﾌﾟ,/watch?v=gjCXLC5f7es,1,ka ,3,,7,14
さくらんぼ？いらなーい！,/watch?v=b57Ux9Ny8Rk,0,ka ,3,,7,0
納得じょうずに食べるよ(*^o^*),/watch?v=MdJT1KpxBUU,0,ka ,3,,7,0
チャーリーとドッグラン①,/watch?v=4avsNU2HxPQ,0,ka ,3,,7,0
チャーリーと裏庭で💨,/watch?v=19LExy3rsWE,1,ka ,3,,7,14
桜ふぶきの中のお散歩🐾,/watch?v=Ra7g34ef16E,0,ka ,3,,7,0
公園でマイペース犬,/watch?v=--CQd5cJRLA,0,ka ,3,,7,0
公園でワン友と遊ぶマカ8歳,/watch?v=_mhMXEhG6Ss,1,ka ,3,,7,14
すずちゃんlove♡,/watch?v=blwvoYbRTJA,0,ka ,3,,7,0
7月17日リリアパーク②,/watch?v=yvMgsvPwbMg,0,ka ,3,,7,0
7月17日リリアパーク①,/watch?v=4KWvBOjFBIU,2,ka ,3,,7,29
プチプチが好き,/watch?v=cjMj7AO4rGw,2,ka ,3,,7,29
マカ8歳　2019-08-24,/watch?v=Gq8i4_0d1AI,0,ka ,3,,7,0
マカ9歳　2019-09-28,/watch?v=QruCBmL-_Sc,1,ka ,3,,7,14
お宝隠し犬,/watch?v=_68IRczWdQ8,2,ka ,3,,7,29
ゴハンパクパクタイム🎵,/watch?v=A5B1i7sUMoU,0,ka ,3,,7,0
かあしゃんおかえり〜❗️,/watch?v=UpBcI7gm4CE,0,ka ,3,,7,0
ゴハンモグモグタイム🎵,/watch?v=6m9TY7x2108,1,ka ,3,,7,14
マカ9歳 チャーリーとランラン🎶,/watch?v=AsdKXBVDCg8,5,ka ,3,,7,71
寝てたらマメタがやってきた❗️,/watch?v=oVxNrJwXZFI,11,ka ,3,,7,157
オヤツのためならどこまでも〜,/watch?v=J9dlZrZCAEM,1,ka ,3,,7,14
フォトムービー,/watch?v=VRlaThplcXw,0,ka ,3,,7,0
ただの休憩時間,/watch?v=2Aq8dD5SSTM,1,ka ,3,,7,14
マカ8才 あいかわらず果物は食べません😅,/watch?v=t7Ep7tYqxQE,2,ka ,3,,7,29
チャーリー🐶とハナちゃん🐶とマカ🐶,/watch?v=ve50Iz-n4Kc,5,ka ,3,,7,71
ゴロリンスリスリ❗️,/watch?v=RlJEfTb3Igc,1,ka ,3,,7,14
マカちんただいま♡,/watch?v=1PDQPY9g_MA,3,ka ,3,,7,43
マカちんただいま〜🎶,/watch?v=9PGR9TYErew,2,ka ,3,,7,29
マカ🐶ドッグランでランラン💨,/watch?v=1dzRkDG4mwU,7,ka ,3,,7,100
マカともみじちゃん♡,/watch?v=OiVOJK_xVyI,1,ka ,3,,7,14
ドッグラン🎶,/watch?v=YOQbwVrxxyU,7,ka ,3,,7,100
マカとレイ(現セレ)ちゃん♡,/watch?v=8qk2-Tl_vCg,1,ka ,3,,7,14
マカ 8才10ヶ月 チャーリーと遊ぶ🎶,/watch?v=DHONEv3P4Og,1,ka ,3,,7,14
大好きなお友達のママに会えた〜♬,/watch?v=Pv0CnQ6TG6c,1,ka ,3,,7,14
マカ 生骨をくらう,/watch?v=2OWqa5BcXpE,3,ka ,3,,7,43
もみじ＆マカ＆ルーツ,/watch?v=LPFH7dceSIk,11,ka ,3,,7,157
納豆ぺろぺろ♫,/watch?v=6IAX85Y6Gvk,6,ka ,3,,7,86
マカ8才,/watch?v=189CNrK3QVw,173,ka ,3,,7,2471
桜ふぶき,/watch?v=i8HzBpF7oH4,1,ka ,3,,7,14
マカ8才,/watch?v=VgZQFFBN7VY,3,ka ,3,,7,43
マカ、柴ちゃんと♬,/watch?v=e_W7QuxNcT4,22,ka ,3,,7,314
2015-05-06マカ,/watch?v=19OdWJsSIRY,1,ka ,3,,7,14
2014-08-23マカ,/watch?v=MBUKz1GF9mw,1,ka ,3,,7,14
マカ６才の記録　2016-09-22,/watch?v=dXoSxiUuV-8,57,ka ,3,,7,814
サクラハナビラマイチル,/watch?v=S69g9_espIM,28,ka ,3,,7,400
川に降るサクラフブキ,/watch?v=p1agqkxc2L8,21,ka ,3,,7,300
マカ&桜吹雪,/watch?v=V5-wbk7uJLA,6,ka ,3,,7,86
さくらふぶきとマカ,/watch?v=FRcCo0QFpE8,32,ka ,3,,7,457
sakura hubuki,/watch?v=piEe5rzmbiI,35,ka ,3,,7,500
ウグイス鳴いてるよ♪,/watch?v=UWhm3ac4W7U,5,ka ,3,,7,71
JIBJAB,/watch?v=t-4PXN9S908,30,ka ,3,,7,429
ハナちゃんとオスモウ♪,/watch?v=KD6nyHsp29E,25,ka ,3,,7,357
マカ、ハナちゃんと遊ぶ♪,/watch?v=Lmv-YYZyqb8,23,ka ,3,,7,329
マカがおうちにやってきた！,/watch?v=KERVbzlgqUA,8,ka ,3,,7,114
あばれんぼうmaka,/watch?v=UGFkXN01xWo,31,ka ,3,,7,443
