title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【RUST】松本清張スペシャル？ルミ子はアタリ！,/watch?v=Acvi5pnYqbY,274,uniko Channel,,11か月前,66,415
RUST　今年もやります　盆のカッパ問題　2019,/watch?v=x-HvHb6zFPY,61,uniko Channel,,1年前,66,92
RUST  みなさん　お久しぶり！おげんこ？,/watch?v=MIlLkhv73oI,86,uniko Channel,,1年前,66,130
【飯動画】ひとり北海道フェア,/watch?v=86Xhe-g3OCY,205,uniko Channel,,1年前,66,311
【RUST】心の壁はガッチガチだよ　2日目【season6】,/watch?v=ri0P_74iA6c,76,uniko Channel,,1年前,66,115
【RUST】バーで紳士が見る動画♥　1日目【season6】,/watch?v=AkcJRr2O4KA,98,uniko Channel,,1年前,66,148
【PUBG】PLAYERUNKNOWN'S BATTLEGROUNDS　#11,/watch?v=p84pgLNBWaY,58,uniko Channel,,1年前,66,88
【RUST】season5　4日目【steam】,/watch?v=ga3US56prKs,69,uniko Channel,,1年前,66,105
【RUST】season5　3日目【steam】,/watch?v=ax-gHC1IZ-c,65,uniko Channel,,1年前,66,98
【お菓子】揚げだし豆腐のまんまとプチバルーン,/watch?v=FS0YLJs4iYk,84,uniko Channel,,1年前,66,127
【RUST】season5　2日目【steam】,/watch?v=_wamKFgbO3o,48,uniko Channel,,1年前,66,73
【RUST】season5　1日目【steam】,/watch?v=SDXbGlyIEi8,62,uniko Channel,,1年前,66,94
【RUST】season4　13日目【steam】,/watch?v=Mw5QSy0IN0U,59,uniko Channel,,1年前,66,89
【RUST】season4　12日目【steam】,/watch?v=5LrsAq6cvNk,76,uniko Channel,,1年前,66,115
【RUST】season4　11日目【steam】,/watch?v=yoZkQbcqZm0,31,uniko Channel,,1年前,66,47
【RUST】season4　10日目【steam】,/watch?v=ekL07BblLGk,55,uniko Channel,,1年前,66,83
【RUST】season4　9日目【steam】,/watch?v=PzYZSE34PeU,58,uniko Channel,,1年前,66,88
【読み聞かせ】山の背比べ【マニア向け】-Storytelling-,/watch?v=6HaOL8sn7QU,48,uniko Channel,,1年前,66,73
【RUST】season4　8日目【steam】,/watch?v=DpmV9i_wOVM,53,uniko Channel,,1年前,66,80
【おやつ】ミルフィーユ食べるとこ見てね！,/watch?v=25igtH3xdgU,84,uniko Channel,,1年前,66,127
The Lonely Gorilla　#2　【音量注意】※4分過ぎの像が出てきた当たりからうるさいです,/watch?v=Wrnr--Qc47g,33,uniko Channel,,1年前,66,50
【昼食】ピザトーストとサラダ,/watch?v=28HhS5jPQiU,75,uniko Channel,,1年前,66,114
【RUST】season4　7日目【steam】,/watch?v=VkY4Sjncnnw,42,uniko Channel,,1年前,66,64
【朝食】アサメシ#12　あんこを包んだお餅　Bean jam rice cake,/watch?v=Mp5UEUPpLFM,44,uniko Channel,,1年前,66,67
【朝食】アサメシ　#11,/watch?v=ORCTqIh6Hbc,35,uniko Channel,,1年前,66,53
The Lonely Gorilla,/watch?v=ixKx5DvcD6Q,56,uniko Channel,,1年前,66,85
【朝食】アサメシ　#10,/watch?v=i4borwr_uyo,37,uniko Channel,,1年前,66,56
【朝食】アサメシ　#9,/watch?v=9WFKTIEXDdU,30,uniko Channel,,1年前,66,45
【RUST】season4　6日目【steam】,/watch?v=pRjwsN0zlzg,47,uniko Channel,,1年前,66,71
【朝食】アサメシ　#8,/watch?v=zB-cv9p_-Uk,19,uniko Channel,,1年前,66,29
【朝食】アサメシ　#7,/watch?v=GGEeLChPVbE,34,uniko Channel,,1年前,66,52
【朝食】アサメシ　#6,/watch?v=lTHMnn8cUpU,38,uniko Channel,,1年前,66,58
【RUST】season4　5日目【steam】,/watch?v=_4v9dQL-TTw,61,uniko Channel,,1年前,66,92
