title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
20200819 001,/watch?v=ylgBsPL_caM,3,usumu miyagaw,135,,19,16
20200816 002,/watch?v=9VNmcIYbV1w,9,usumu miyagaw,135,,19,47
隣の庭の、月見草は、・・・？,/watch?v=HqJRHLLXC5Q,9,usumu miyagaw,135,,19,47
20200813 001,/watch?v=FLBjts94Zwc,10,usumu miyagaw,135,,19,53
彼らの「安心」にとっては、私がそこに「いない」ことの方が、望ましい、という事実。,/watch?v=BfCqpMvqhJk,16,usumu miyagaw,135,,19,84
何にでも「依存」する「依存症」患者は、「依存」することをや・め・て・い・る・状態にすら、「アディクト」出来るのだ(笑)。,/watch?v=N0lsW5vbYVA,19,usumu miyagaw,135,,19,100
あの、そんなとこ吸っても、やっぱり(笑)、何も出ませんけど？,/watch?v=OfKAgcG_FkM,10,usumu miyagaw,135,,19,53
「上弦」、から、「立待」、まで。,/watch?v=b0QumJUP7Gk,6,usumu miyagaw,135,,19,32
20200721 002,/watch?v=TpbVEL-aKZQ,18,usumu miyagaw,135,,19,95
「田草取るなら十六夜月夜」、続編、その名の通り、「更待」は、月の出が待ちきれずに眠ってしまった、だから、翌朝の「有明」になったけれども。,/watch?v=hojsUQcp7QU,11,usumu miyagaw,135,,19,58
午睡の途中に。,/watch?v=PWyGhug0bZE,37,usumu miyagaw,135,,19,195
重力の拘束をしばし忘れ、「等張液」に囲まれていると、二足歩行獣もまた、もともとは(笑)、「海」からやってきたのだ、という事実(笑)を、思い出す。,/watch?v=rZyiuXMtRx8,15,usumu miyagaw,135,,19,79
その後の、「アニュージュアルな、組み合わせ」。,/watch?v=idlp82aKIQI,16,usumu miyagaw,135,,19,84
「田草取るなら十六夜月夜」、草取りにかこつけあいびきと思ってた。あいびきもしたんだろうが(笑)、昼間は機織りに忙殺、夜しか時間がなかった、それに気づくのに二〇年もかかるとは赤面の至りだね(笑)。,/watch?v=luuWZ0odvgM,19,usumu miyagaw,135,,19,100
本日の、「ディナー・メニュー」の、スープは？,/watch?v=fwPpvdTrDRk,20,usumu miyagaw,135,,19,105
馬の尻尾が、背中の虻を追い払うのに、「有効」である、従・っ・て・、馬の尻尾は、背中の虻を、追い払う為・に・、「発生」した、に違いない、という型の推論によれば、(笑)、・・・。,/watch?v=KucOH1B3awI,26,usumu miyagaw,135,,19,137
一体、どこでどうやって「聞きつけて」、来られるのか、それが不思議でならないが。,/watch?v=vj5zGGcXfYI,18,usumu miyagaw,135,,19,95
短い、「お散歩」。,/watch?v=kOtxqq9JS7g,19,usumu miyagaw,135,,19,100
2020年6月25日,/watch?v=PZuPgffMBoM,19,usumu miyagaw,135,,19,100
もう、散会してもいいのに、何か、「立ち去りがたく」しているのは、きっと、「名残惜しい」、みたいな感じが、しているからなんだろう。,/watch?v=IUDnCY-q4Dk,28,usumu miyagaw,135,,19,147
「アニュージュアルunusual」な、組み合わせ。,/watch?v=VSYiVYOnfvw,23,usumu miyagaw,135,,19,121
20200615 001,/watch?v=E1PW7Q1X4wc,17,usumu miyagaw,135,,19,89
「無関心」であることが、相互にとって、「居心地がよい」条件でありうることは、ええ、よくわかりますよ（笑）。,/watch?v=jYYEOa7I7Po,22,usumu miyagaw,135,,19,116
「ここにいる方が、あ・な・た・に・と・っ・て・、しあわせなのです」、などと断定するとしたら、それは、「パターナリズム」以外のなにものでもないだろう？,/watch?v=F51lovXGTi4,24,usumu miyagaw,135,,19,126
「懐手をする」、というほどまでには、くつろいでくださっているわけではないけれども、・・・。,/watch?v=VSuUEh51trY,20,usumu miyagaw,135,,19,105
「足蹴にする」、と、申しますが、・・・、続編。,/watch?v=iQ1Dg536kQA,16,usumu miyagaw,135,,19,84
「アンドロイドも夢を見るか」だったっけ(笑)？燕も、また、欠伸をするか？,/watch?v=ZAnBDTNiCD0,16,usumu miyagaw,135,,19,84
人間が、どんなに頑張っても100年しか生きられないのに、それより長い年月を、誰・が・、記憶にとどめ、記録する、というのだね？,/watch?v=4W_LCT0TBlE,15,usumu miyagaw,135,,19,79
「足蹴にする」、などと申しますが、・・・。,/watch?v=DzdizG-QWGI,13,usumu miyagaw,135,,19,68
「薔薇のように華やかに」、なんだって！,/watch?v=zEVOVI87rwI,15,usumu miyagaw,135,,19,79
20200525 001,/watch?v=sPEdDgbzi3Y,14,usumu miyagaw,135,,19,74
「シーサー」というのは、両側の門柱の上にのっかっている一対の、ネコ科の動物(笑)、なんだろ？,/watch?v=SxI08UFSBC4,16,usumu miyagaw,135,,19,84
二十年前の、「作業療法」、Do It Yourself(笑)の、「作品」。,/watch?v=mbwA96BjGJw,17,usumu miyagaw,135,,19,89
20200518 001,/watch?v=Hut4QemKP7U,17,usumu miyagaw,135,,19,89
20200517 001,/watch?v=mAZce4uEgTM,10,usumu miyagaw,135,,19,53
20200516 001,/watch?v=9XCrApjxDuk,10,usumu miyagaw,135,,19,53
こうして、いわゆる「一安心」、の、記念撮影。,/watch?v=EsbYrHdbNWA,13,usumu miyagaw,135,,19,68
それは、こちらが、「無害」であることが、理解されたことを意味するだろう、「愛」とは、「他者」の「弱さ」を「志向」することである、ってさっき読んだ本に書いてあったぞ(笑)。,/watch?v=pepE5fPDDic,12,usumu miyagaw,135,,19,63
声がずっと聞こえるから心配、かといって聞こえなくなったらなお心配、じゃあ「外」から聞こえるから心配だから「内」に入れたら、単に「心配」が「内」に移っただけだった(笑)。,/watch?v=bh2C_eYo-Eg,25,usumu miyagaw,135,,19,132
読んだことのないジャック・ラカンを引くまでもなく(笑)、または、頭が左向きゃ尾は右、の道理。,/watch?v=eZc48H5W3d8,30,usumu miyagaw,135,,19,158
「いて欲しくない」でも、「いて欲しい」でもなく、「いてもか・ま・わ・な・い・」、と判断されるのが、一番好ましいことではないのだろうか、とかね。,/watch?v=-ujLulrzkCM,12,usumu miyagaw,135,,19,63
危機は人を強くする(笑)、腰を痛めて手すりがなければ階段も登れないご老体が、隣家の塀をひらり(笑)と乗り越え、・・・。,/watch?v=qzgUOJA8IiI,12,usumu miyagaw,135,,19,63
何か「手持無沙汰」でもいうふうにその場に佇んでいる。だからこちらは全然変わり映えのしない絵柄であったとしても「被写体」がそこにある限りシャッターを押し続けなければ気が済まないことになる。,/watch?v=-RAorubkpEw,12,usumu miyagaw,135,,19,63
「きっと人が少ないに違いない」と狙いすました「人」(笑)、これもひとつの、「自己言及パラドックス」。,/watch?v=f0P_pghwk5o,18,usumu miyagaw,135,,19,95
やはり、「ガラス越し」、でない方が、好ましい(笑)。,/watch?v=SGfNwH7Js9g,14,usumu miyagaw,135,,19,74
識別する対象が存在するからこそ「名前」は必要、漱石には猫が一匹しかいなかったから「まだなく」てよかった、そうして「喪失」を知ることになる。,/watch?v=Ks7Nc0CyB7g,12,usumu miyagaw,135,,19,63
「大雨注意報」下では、なおさら曇ったガラス越しに、おや、何やら、「語り」かけて(笑)、いるよ？,/watch?v=tPYgYU9FtCA,11,usumu miyagaw,135,,19,58
依然として、少し汚れた(笑)、ガラス越しの「面会」。,/watch?v=O1IQHkKypX0,13,usumu miyagaw,135,,19,68
「人が少なくていいね」、なんて喜んでんだろ？と悪態つくあなた、あなたもまた「人」ですからね(笑)。,/watch?v=rYWY-eIFVxw,16,usumu miyagaw,135,,19,84
だから、「そして、人生はつづくAnd the Life Goen On」、というわけなので、・・・。,/watch?v=TrVQc07dVX8,14,usumu miyagaw,135,,19,74
「人間」の「母性」に対する、正当な尊重さえ、こんな「無繁殖個体」にも、学ぶことができたのだから、・・・。,/watch?v=IqamxXiDHKs,21,usumu miyagaw,135,,19,111
「亜熱帯の楽園」の、それらしからぬ（笑）陰鬱な「冬」がようやく終わって、・・・。,/watch?v=xld2iYI9v58,16,usumu miyagaw,135,,19,84
「世界が終わる」と口にすることで人は自分だけはまだ「終わってない」と確認するのかも？,/watch?v=4AbKj2DjDvQ,17,usumu miyagaw,135,,19,89
一日にただ一度だけ、扉を開けて、「外」に出る、月を見るために、え、別に、それ、普通じゃん(笑)？,/watch?v=PCz5YHIwzn4,13,usumu miyagaw,135,,19,68
朝日のようにさわやかに、Softly Like a Morning Sunshine(笑),/watch?v=I7NWfKIyVpQ,10,usumu miyagaw,135,,19,53
「孤高を気取って」、いた訳でもなかろうが(笑)、・・・。,/watch?v=gx0rpgTIiLY,13,usumu miyagaw,135,,19,68
当の「引きこもり」にとって、面映ゆいことでもあるが(笑)、・・・。,/watch?v=QEIcyne9fWk,22,usumu miyagaw,135,,19,116
「雛人形のように」、いや、「雛人形」などというものを、見たことはないのですけれど(笑)。,/watch?v=J17cJZ9d930,22,usumu miyagaw,135,,19,116
漱石の「猫」が、雑煮の餅を噛み締めたまま「踊った」(笑)様に、・・・。,/watch?v=x7BC1ri8KuE,28,usumu miyagaw,135,,19,147
そんなことは、誰でも知っている、だって？そんな物言いを、真似てみたかった「時代」も、あった(笑)。,/watch?v=vtyeS9G9BCI,32,usumu miyagaw,135,,19,168
どんな「遺伝子的記憶」、が、そうさせるのかは知らないけれども。,/watch?v=0B8Beg3-dtY,22,usumu miyagaw,135,,19,116
「逆光」が、「あまり美しくないもの」を、覆い隠してくれているから、ありがたいね(笑)。,/watch?v=2PbgnWn7630,29,usumu miyagaw,135,,19,153
"「ちょっと」、とは言いかねる、「ピンぼけ」、ではありますが、・・・、more than ""slightly"" out of focus、ということで。",/watch?v=LTSvU6XrcdI,28,usumu miyagaw,135,,19,147
寝過ごしてしまったが、寝過ごしてな・く・て・も・、見れなかっただろうことを知って、「胸を撫で下ろす」、話。,/watch?v=DbPYclxB5l0,30,usumu miyagaw,135,,19,158
つまり「季節感」ないことおびただしいが、空が明るいことだけは分かるでしょう？,/watch?v=UfkthznzY48,16,usumu miyagaw,135,,19,84
「スコップを動かす」ことが出来ないのならせめて「黙って」いようと決めた、ことについて。,/watch?v=ZXWWrMj9kDI,20,usumu miyagaw,135,,19,105
昨日も今日も曇天なのに、夜中にだけ、雲間が見えるとは、どういうことだ？,/watch?v=sUOAkIUEHaI,20,usumu miyagaw,135,,19,105
「太陽の塔」に似ている気がして、写真探してみたが、それほどでもなかった(笑)話。,/watch?v=nuz877GKO3U,21,usumu miyagaw,135,,19,111
では、奮発して、ご馳走させていただきますね、その代わり、「被写体」になって頂きましょう。,/watch?v=7Ghmuc4-NQ8,17,usumu miyagaw,135,,19,89
というか、「因果」が「存在」する、というのが、「こちら」＝「人間」の「思い込み」に過ぎないわけだから、・・・。,/watch?v=P4mO5jYpKrs,21,usumu miyagaw,135,,19,111
「しなければならない」と急き立てられることを、「しない」でいることがストレスとなり、「しなくてもよい」ことがわかって安心する、ならば、それは、ちっとも「したい」ことでは、なかったのである(笑)。,/watch?v=muufFHZEQ-0,16,usumu miyagaw,135,,19,84
こうして「老人」同士、まだ当分は、「いたわりあって」(笑)生きていく、という訳さ。,/watch?v=fxD8iAMMozo,17,usumu miyagaw,135,,19,89
十年もやっているんだから、もう、なんでも知っている筈だ、などという「自信」が、たちまち揺らいでしまう(笑)。,/watch?v=Qr4FATDIXPo,20,usumu miyagaw,135,,19,105
「永久に」ある、と目されているものが、永・久・に・、失われてしまったことを知ったとき。,/watch?v=h8kfKfFC6uA,22,usumu miyagaw,135,,19,116
湯たんぽ・生活、または、「湯湯婆 」と書いて「湯たんぽ」と読む、それでは「湯」が重複しているではないか？,/watch?v=RVoN09FRPAE,22,usumu miyagaw,135,,19,116
たちまち、そ・れ・を、約37度セルシウス、の「熱源」として(笑)。,/watch?v=RVjlh74eTu0,26,usumu miyagaw,135,,19,137
あなたが敢えて夢・見・た・ところの「夢」、・・・。,/watch?v=vrWez7mOdS4,28,usumu miyagaw,135,,19,147
ね、やることが極端なんだよ、まあ、そういうとこ、嫌いじゃないけどね(笑)。,/watch?v=Sqn0Bxbcjq4,27,usumu miyagaw,135,,19,142
これでは猫と月の写真しか撮るな、と言われているようなもの、だから言われた通りにした(笑)。,/watch?v=JgIPLyvXi8k,17,usumu miyagaw,135,,19,89
どんなに「手」を伸ばしても、つるつるひっかくばかりだからね。,/watch?v=j_yi-FiowHs,11,usumu miyagaw,135,,19,58
そんな風に歓迎していただけると、こちらも、「やりがい」がある、というものだ(笑)。,/watch?v=DLWqu9ieWUg,12,usumu miyagaw,135,,19,63
月と、鵯（ひよどり）と、マルベリー、・・・、え、そのままじゃないか(笑)？,/watch?v=P_6nWZjznNs,11,usumu miyagaw,135,,19,58
その、「幸福そのもの」、とも言うべき心持は、遺伝子組成の90パーセント以上を同じくする「動物種」として、ちゃんと、想像できるじゃないですか？,/watch?v=iB55mEobn4s,14,usumu miyagaw,135,,19,74
ただ、「生きる」というのは、大変な事業、それこそ熱力学第二法則、「乱雑さ」へ向かおうとする圧力に抗して、「秩序」を組み立てる、という、そもそも、理に反した(笑)、無茶な、試みなのであって、・・・。,/watch?v=2zrzCBaJMoE,14,usumu miyagaw,135,,19,74
お芋畑、で、つかまえて。,/watch?v=PEq_xf08m7s,18,usumu miyagaw,135,,19,95
「犬の●●」、という名前の(笑)、花を、探して。または、「生きる目標」、などについて(笑)。,/watch?v=AMbHzgGImkQ,18,usumu miyagaw,135,,19,95
なにせ「気まぐれ」がDNAに刻み込まれている、とも言われる動物であるから、・・・。,/watch?v=W4DVrF_tDiA,16,usumu miyagaw,135,,19,84
それが「サービス」の、つもりなんだろう(笑)？,/watch?v=mOB55r5xVJE,12,usumu miyagaw,135,,19,63
J・L・ゴ●ダールに、「万事快調」、ってのがあっただろ？それほどでも、ないけどな。,/watch?v=CxcEjR_qxkc,34,usumu miyagaw,135,,19,179
リンゴ・スターに「You're Sixteen」、ってのがあったろ？その伝で(笑)、I'm Sixty-Two.、で、どうだ？,/watch?v=SXzLpBL8WLA,37,usumu miyagaw,135,,19,195
「南」の珍奇な風物に「北」の資本主義が(笑)注ぐ視線を、エキゾチズムまたはオリエンタリズムと言います(笑)。,/watch?v=p-seSowFjNg,18,usumu miyagaw,135,,19,95
溶けかけた、「シェイク」並みの柔らかさ、の、記憶。,/watch?v=Jd9-hZIYE2U,20,usumu miyagaw,135,,19,105
ちゃんと、「早起きは三文の得」、があったじゃないか？,/watch?v=VIevhVHtmq0,20,usumu miyagaw,135,,19,105
喜びのあまり、一筆啓上、というところ。,/watch?v=i9K9s1D2wUI,18,usumu miyagaw,135,,19,95
さすがに、次の「四半世紀」まで、生きている気はしないからね（笑）,/watch?v=k1_nJ97zDWM,16,usumu miyagaw,135,,19,84
「月はどっちに出ている？」、という映画が、ありましたな。,/watch?v=ebXb38HRT7E,60,usumu miyagaw,135,,19,316
「常夏」の「南の島」と思っているでしょう？、とんでもない、ちゃんと、「寒い冬」を、「克服」する、必要が、あるのです。,/watch?v=wBFQ4iKoaqs,19,usumu miyagaw,135,,19,100
「外部」、に対して、探し求めていたも・の・が、実は、始めから、「内部」に、すでに存在していた、ことを発見するのが、「青い鳥」の、物語の含意なんだろう？,/watch?v=YKPrC3ZtzF4,21,usumu miyagaw,135,,19,111
もう、思い出せない、思い出せなくても、「差し支え」ないことじゃないか？、ならば、思い出せなくて「差し支え」る・ことって、あるのか(笑)？、などと、・・・。,/watch?v=Rx1bbEuADKA,17,usumu miyagaw,135,,19,89
長い影が左上に伸びているから、夕陽が右後方から射しているのがわかる、という訳だ。,/watch?v=bvkrOeWeLMQ,31,usumu miyagaw,135,,19,163
なるほど、その「言いつけ」は、ちゃんと守られているようで、・・・。,/watch?v=ZsIu_UdK4tI,24,usumu miyagaw,135,,19,126
いや、「人間」を見るときだって、ある種「擬人化」(笑)している、と、言えなくもないじゃないか？,/watch?v=FG9c5l6LpFg,28,usumu miyagaw,135,,19,147
歳をとると性格が丸くなる、などということがあるのだろうか(笑)？,/watch?v=XetjJnDibc4,25,usumu miyagaw,135,,19,132
いやなにも、「承認欲求」、とかばかり(笑)言っている「人間」に、何か当てこすっている、訳ではないけれども。,/watch?v=EHiC9Q_pOAo,30,usumu miyagaw,135,,19,158
いや、「失った」という「もの」は、実は、はじめから持っていなかったものだったかもしれないじゃないか？,/watch?v=9auwctp4ctM,36,usumu miyagaw,135,,19,189
今までに何度かあったから、今日もまた、そんな感じになるんじゃないの？と思っていたら、まさにそうなった訳で(笑)、・・・。,/watch?v=fsg5k6R6I1Y,25,usumu miyagaw,135,,19,132
そういうところで休憩するのが、どうも「好き」みたいなのだ(笑)。,/watch?v=D__a0zUnQ6k,26,usumu miyagaw,135,,19,137
ともあれ、「過去」は、「水に流して」、くれたようである(笑)。,/watch?v=mab5dc9T2pE,27,usumu miyagaw,135,,19,142
おやおや、「のど自慢」、「歌合戦」が始まったぞ？,/watch?v=NujHYQE1Kw4,18,usumu miyagaw,135,,19,95
見事な「無関心」、と言う他ないね。,/watch?v=OEZMUZYAd1s,18,usumu miyagaw,135,,19,95
make you think all the world' a sunny day(笑)とはいかなくとも、ね。,/watch?v=IIBxhpnaAzY,19,usumu miyagaw,135,,19,100
この旅先でも、そろそろ「恋の季節」が、はじまるのだ。,/watch?v=JXauqsv6fQw,14,usumu miyagaw,135,,19,74
「遠近法」、パースペクティブ、とも言います、の、実験みたい。,/watch?v=upVaxKq98cg,16,usumu miyagaw,135,,19,84
ま、私の人生(笑)、ずっと、そんな感じだったから、・・・。,/watch?v=WvztuVGQjec,12,usumu miyagaw,135,,19,63
どこかで見たことがあると思ったら(笑)、・・・。,/watch?v=DWwNpUT_f6g,17,usumu miyagaw,135,,19,89
そんな姿勢でよく眠れるもんだ、なんてことは言わない方がいい（笑）、横にだらりと長く伸びて、お腹を無防備にさらして眠る生き物の方が、ずっと「異常」なんだから。,/watch?v=ex6A6n5vgPc,14,usumu miyagaw,135,,19,74
こんな色の空を見ると、不・覚・に・も・(笑)、ああ、生きていてよかった、とか、思ってしまうね。,/watch?v=XNt3KO31Zvo,12,usumu miyagaw,135,,19,63
こうして十年たっても、その「評価」は、変わっていないらしいのだな（笑）。,/watch?v=Y1TkDMq3B2c,16,usumu miyagaw,135,,19,84
決してこちらの「思い通り」にはさ・せ・な・い・、という、はっきりとした「意志」さえ(笑)感じられる。,/watch?v=jUUsvrrSRDk,16,usumu miyagaw,135,,19,84
