title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【女性向けボイス】いじわる君「犬になりきってアピールしてみてよ」【ASMR/四方木ふみ】,/watch?v=6z_w7iCK9Go,1833,【ASMR】四方木ふみ Yomogi Fu,,,33442,5
【女性向け/添い寝ボイス】目を閉じると聞こえてくる11次元の彼の声【ASMR/四方木ふみ】,/watch?v=QCwU6cvM2EI,9651,【ASMR】四方木ふみ Yomogi Fu,,,33442,29
伊勢谷四方木翁丸🎐夏ノ浴衣小話座談会🍧,/watch?v=wNi7UzmLPdI,28511,【ASMR】四方木ふみ Yomogi Fu,,,33442,85
【女性向けボイス】エアコン壊れちゃって溶けそうな2人【ASMR/四方木ふみ】,/watch?v=WxG7q0nLmCs,14294,【ASMR】四方木ふみ Yomogi Fu,,,33442,43
【女性向け/添い寝ボイス】もし、好きな推しの家に行ったらなにするんだろうね【ASMR/四方木ふみ】,/watch?v=EOOgvYxSncI,25254,【ASMR】四方木ふみ Yomogi Fu,,,33442,76
【ASMR】囁き声で寝かしつけ配信⑥ Whispering【寝落ち配信】,/watch?v=M4NTeZpCUS8,20956,【ASMR】四方木ふみ Yomogi Fu,,,33442,63
【女性向け/嫉妬ボイス】君が仲良くしてた他の男の子のこと気になっちゃって【ASMR/四方木ふみ】,/watch?v=xQhoOczs9i4,29586,【ASMR】四方木ふみ Yomogi Fu,,,33442,88
【ASMR】囁き声で寝かしつけ配信⑤ Whispering,/watch?v=335Fc0_ypHY,24315,【ASMR】四方木ふみ Yomogi Fu,,,33442,73
【女性向けボイス】幼馴染が振り向いてくれないから告られたって言ってみた【ASMR/四方木ふみ】,/watch?v=xrspzR_KTlM,33937,【ASMR】四方木ふみ Yomogi Fu,,,33442,101
【ASMR】囁き声で寝かしつけ配信④ Whispering,/watch?v=LMCx2uvC8_s,18294,【ASMR】四方木ふみ Yomogi Fu,,,33442,55
【女性向け/添い寝ボイス】酔っぱらった男の子を寝かしつけてあげてください【ASMR/四方木ふみ】,/watch?v=0_DttCqgdcM,43588,【ASMR】四方木ふみ Yomogi Fu,,,33442,130
"【ASMR】炭酸 ゼリー シャーベット 氷 の咀嚼音🍧 Sparkling Water, Jelly, Ice Cubes, Eating Sounds",/watch?v=1e4FonLgOJ8,12355,【ASMR】四方木ふみ Yomogi Fu,,,33442,37
【女性向け/寝落ち通話】ホームシックになったから実家のおとうとくんに電話で励ましてもらう【ASMR/添い寝ボイス】,/watch?v=V81FihhNa_s,7567,【ASMR】四方木ふみ Yomogi Fu,,,33442,23
【ASMR】心音と囁き声と添い寝💤 Heart Beating Sounds & Whispering【ロールプレイ】,/watch?v=iv4lNjSpT_E,33354,【ASMR】四方木ふみ Yomogi Fu,,,33442,100
【女性向け/通話ボイス】家に着くまで電話してくれる男の子【ASMR/添い寝ボイス】,/watch?v=RHhudVlJawo,15547,【ASMR】四方木ふみ Yomogi Fu,,,33442,46
【ASMR】囁き声で寝かしつけ配信③ Whispering,/watch?v=beLfsmMH32o,17236,【ASMR】四方木ふみ Yomogi Fu,,,33442,52
【囁き声/女性向けボイス】修学旅行の深夜。仲いい男の子の部屋にもぐりこむ女の子【ASMR/四方木ふみ】,/watch?v=3WhsQ7mLZow,23405,【ASMR】四方木ふみ Yomogi Fu,,,33442,70
【ASMR】囁きながら梵天耳かきでガサゴソ👂 Ear cleaning whispering【ロールプレイ】,/watch?v=GZ9Rly0JIaw,19835,【ASMR】四方木ふみ Yomogi Fu,,,33442,59
【女性向けボイスドラマ】#0 保健室の先生「勉強に疲れた女の子とだらしない先生」【ASMR/四方木ふみ】,/watch?v=cIBYLdC3VL0,10129,【ASMR】四方木ふみ Yomogi Fu,,,33442,30
【ASMR】囁き声で寝かしつけ配信② Whispering,/watch?v=HptOf7DJPHw,20013,【ASMR】四方木ふみ Yomogi Fu,,,33442,60
【女性向けボイス】#6 となりの四方木ふみ「となりに引っ越してきたふみリスと久しぶりに再会」【ASMR/四方木ふみ】,/watch?v=nNAPbDvjDec,12538,【ASMR】四方木ふみ Yomogi Fu,,,33442,37
【ASMR】キネティックサンドを切る🔪 Crunchy kinetic sand cutting,/watch?v=5bQWOetWAQM,10772,【ASMR】四方木ふみ Yomogi Fu,,,33442,32
【女性向け/寝落ち通話】Twitterで知り合った女の子と初めて通話するぎこちない男の子【添い寝ボイス/ASMR】,/watch?v=bI4A_fBN_fQ,33169,【ASMR】四方木ふみ Yomogi Fu,,,33442,99
【ASMR】囁き声で寝かしつけ配信 Whispering,/watch?v=90mZbb00KSw,27160,【ASMR】四方木ふみ Yomogi Fu,,,33442,81
【ASMR】囁き声でそうめんを食べる🎐咀嚼音 料理 Whispering Cooking,/watch?v=n0bJGP6DtrU,11829,【ASMR】四方木ふみ Yomogi Fu,,,33442,35
【女性向け/寝落ち通話】ちょっと塩対応な男の子が寝れるまでお話ししてくれる【ASMR/添い寝ボイス】,/watch?v=YRDQNBimBMg,75927,【ASMR】四方木ふみ Yomogi Fu,,,33442,227
【女性向けボイス】せっかくの休みだけど何もせずにだらだらしてるのもいいよね【ASMR/四方木ふみ】,/watch?v=ralrNkw0hM4,15991,【ASMR】四方木ふみ Yomogi Fu,,,33442,48
【コラボ配信】伊勢谷/翁丸/四方木ふみ【雑談+○○】,/watch?v=X6PfvnrCXkc,78839,【ASMR】四方木ふみ Yomogi Fu,,,33442,236
【女性向け/筋トレカウントアップ】ちゃんと最後までできたらご褒美上げるね。【ASMR/四方木ふみ】,/watch?v=jHAqQOA-KsE,10011,【ASMR】四方木ふみ Yomogi Fu,,,33442,30
【オリジナル曲】「おおきなまる」翁丸くんテーマソング【弾き語り】,/watch?v=YenCzQ9RZSM,16235,【ASMR】四方木ふみ Yomogi Fu,,,33442,49
【コラボ配信】翁丸×四方木ふみの眠れる世界【四方木丸】,/watch?v=EfJxmYFQobE,30386,【ASMR】四方木ふみ Yomogi Fu,,,33442,91
【#うちで過ごそう】さぼてん鬼コーチの筋トレカウントアップ！50本×4セット【ASMR/四方木ふみ】,/watch?v=arIS4fM4YHc,10657,【ASMR】四方木ふみ Yomogi Fu,,,33442,32
【オリジナル曲】「28才」【弾き語り】,/watch?v=KCUmGRDRZjs,14947,【ASMR】四方木ふみ Yomogi Fu,,,33442,45
【女性向けボイス】ご機嫌取りに必死な男の子のいつもの食卓【ASMR/四方木ふみ】,/watch?v=oHriiVqu9a8,11577,【ASMR】四方木ふみ Yomogi Fu,,,33442,35
【女性向け/添い寝ボイス】うざいくらい過保護な男の子が寝れない君を寝かしつけてくれるよ【ASMR/四方木ふみ】,/watch?v=ZOYQEU69jJA,83778,【ASMR】四方木ふみ Yomogi Fu,,,33442,251
【女性向けボイス】ご機嫌取りに必死な男の子のいつもの日常【ASMR/四方木ふみ】,/watch?v=cT-GsG3DssU,24818,【ASMR】四方木ふみ Yomogi Fu,,,33442,74
【ASMR/四方木ふみ】囁き声でオノマトペ【whispering/onomatopoeia】,/watch?v=1BVQSxcrIyE,9978,【ASMR】四方木ふみ Yomogi Fu,,,33442,30
四方木ふみ誕生祭！【ASMR/四方木ふみ】,/watch?v=BehDcwXqSGU,9205,【ASMR】四方木ふみ Yomogi Fu,,,33442,28
料理配信,/watch?v=8GOGxWkvtcg,16760,【ASMR】四方木ふみ Yomogi Fu,,,33442,50
第19回 四方木ふみのライブ配信「タイトルはまだ決めてません!」【ASMR/四方木ふみ】,/watch?v=_HqMLcDY840,9053,【ASMR】四方木ふみ Yomogi Fu,,,33442,27
【女性向けボイス】治験くん「お金に釣られて怪しいバイトに来たらひたすらこちょこちょされちゃった治験くん」【ASMR/四方木ふみ】,/watch?v=9LLLGUjnczo,15949,【ASMR】四方木ふみ Yomogi Fu,,,33442,48
【オリジナル曲】「キャラメル」保健室の先生 ED【弾き語り】,/watch?v=12vjlfM-_o4,19158,【ASMR】四方木ふみ Yomogi Fu,,,33442,57
ホワイトデーライブ！,/watch?v=70qbNhDdAqo,9608,【ASMR】四方木ふみ Yomogi Fu,,,33442,29
【女性向けボイスドラマ】#fin 保健室の先生「卒業」【ASMR/四方木ふみ】,/watch?v=qODcR-VklSA,23411,【ASMR】四方木ふみ Yomogi Fu,,,33442,70
【女性向けボイス】クズ男くんとなんだかんだそれを許しちゃう女の子　【ASMR/四方木ふみ】,/watch?v=1d_ZHNoQKhI,21624,【ASMR】四方木ふみ Yomogi Fu,,,33442,65
【女性向けボイス】いじわる君「いい匂いのするお風呂上がりの女の子の匂いを嗅ぎたがる」　【ASMR/四方木ふみ】,/watch?v=ackrDuGPVZc,57319,【ASMR】四方木ふみ Yomogi Fu,,,33442,171
【女性向け/寝落ち通話】通話つなげたまま寝落ちしちゃってた2人の朝【ASMR/添い寝ボイス】,/watch?v=-xuSXA4KqNE,27318,【ASMR】四方木ふみ Yomogi Fu,,,33442,82
【女性向けボイスドラマ】#12保健室の先生「受験結果を報告しに来た女の子」　【ASMR/四方木ふみ】,/watch?v=gPY_Bgf2NwQ,11824,【ASMR】四方木ふみ Yomogi Fu,,,33442,35
チャーハン作る,/watch?v=0Q6h-jEisBw,17144,【ASMR】四方木ふみ Yomogi Fu,,,33442,51
【女性向けボイス】休みの日に暇を持て余す男女がゴロゴロだらだらするだけ　【ASMR/四方木ふみ】,/watch?v=lbkDp1a7ySU,18741,【ASMR】四方木ふみ Yomogi Fu,,,33442,56
【女性向けボイスドラマ】#11 保健室の先生「久しぶりに図書室で2人きりになって…」　【ASMR/四方木ふみ】,/watch?v=FI_VAqvRyeM,14303,【ASMR】四方木ふみ Yomogi Fu,,,33442,43
バレンタイン配信,/watch?v=hlnU2eyrI8M,20179,【ASMR】四方木ふみ Yomogi Fu,,,33442,60
【女性向けボイスドラマ】＃10保健室の先生「保健の先生にコートを返しに来た女の子」【ASMR/四方木ふみ】,/watch?v=9yI7zLS44MU,12747,【ASMR】四方木ふみ Yomogi Fu,,,33442,38
【女性向け/嫉妬ボイス】すぐ疑っちゃう心配性な男の子は些細なことでも嫉妬しちゃう【ASMR/四方木ふみ】,/watch?v=zMLtK5kp_G4,78425,【ASMR】四方木ふみ Yomogi Fu,,,33442,235
第18回 四方木ふみのライブ配信「タイトルはまだ決めてません!」【ASMR/四方木ふみ】,/watch?v=_ZZGK1LBwnM,7053,【ASMR】四方木ふみ Yomogi Fu,,,33442,21
第17回 四方木ふみのライブ配信「タイトルはまだ決めてません!」【ASMR/四方木ふみ】,/watch?v=qDxt9OLtn6o,5312,【ASMR】四方木ふみ Yomogi Fu,,,33442,16
【ASMR/生活音/料理音】しゃべりながら朝ごはんの作り方【四方木ふみ】,/watch?v=tnQK0DPEpXA,16962,【ASMR】四方木ふみ Yomogi Fu,,,33442,51
【女性向け/添い寝ボイス】#4　耳かきサロンの新人君「お姉さん家で…」【ASMR/四方木ふみ】,/watch?v=tD5hhNCvEEQ,18436,【ASMR】四方木ふみ Yomogi Fu,,,33442,55
【女性向け/寝落ち通話】「眠そうにしてるのに最後まで寝落ち通話に付き合ってくれる男の子」【ASMR/添い寝ボイス】,/watch?v=NFAQW6dDw_o,49599,【ASMR】四方木ふみ Yomogi Fu,,,33442,148
第16回 四方木ふみのライブ配信「タイトルはまだ決めてません!」【ASMR/四方木ふみ】,/watch?v=e330pE0zs_g,7760,【ASMR】四方木ふみ Yomogi Fu,,,33442,23
【寝息/女性向け/ロールプレイ】お風呂上りにソファでアイス食べてたらそのままねちゃった四方木【ASMR/四方木ふみ】,/watch?v=hYvh_LkrmQY,49719,【ASMR】四方木ふみ Yomogi Fu,,,33442,149
