title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
こーにゅーひんしょーかい,/watch?v=l9pgnTfZU-M,41,【共犯者】かのちゃ!,99,1年前,58,71
こーにゅーひんしょーかいがちゃがちゃ,/watch?v=EnsdPVNmjWc,55,【共犯者】かのちゃ!,99,1年前,58,95
クリアスライムにラメ入れて触るだけ,/watch?v=Lp7pW-v2ZxQ,80,【共犯者】かのちゃ!,99,1年前,58,138
ポテチの咀嚼音,/watch?v=ZTWG_k-fRws,100,【共犯者】かのちゃ!,99,1年前,58,172
おすすめ動画紹介説明欄,/watch?v=P2UYnRHPH7g,17,【共犯者】かのちゃ!,99,1年前,58,29
【音フェチ】マイクをスライムで包み込む音,/watch?v=R8CSS_DP14g,30,【共犯者】かのちゃ!,99,1年前,58,52
【スライム】マーメイドスライム,/watch?v=cKHfC5LYei4,38,【共犯者】かのちゃ!,99,1年前,58,66
【小声で】もちもちスライムを作る,/watch?v=iykMvjIo_AI,26,【共犯者】かのちゃ!,99,1年前,58,45
ざ、つ、だ、ん🍋,/watch?v=SqsFMIbUqgM,27,【共犯者】かのちゃ!,99,1年前,58,47
【セブンイレブン】のスクイーズで音フェチ,/watch?v=o2KbJ4blviI,86,【共犯者】かのちゃ!,99,1年前,58,148
【セブンイレブン】購入品紹介,/watch?v=gD5BsHgQCbE,67,【共犯者】かのちゃ!,99,1年前,58,116
【ASMR】市販のスライム(リメイク済み）にシェービングフォームを入れる🦋。*,/watch?v=c99nCYipI7c,30,【共犯者】かのちゃ!,99,1年前,58,52
久しぶりにライブ,/watch?v=p0YX-NImQW4,60,【共犯者】かのちゃ!,99,1年前,58,103
【オルゴール】スクイーズで音フェチ,/watch?v=o-qFc18RrBo,39,【共犯者】かのちゃ!,99,1年前,58,67
YouTubeアプリ落ちたからもう一回ライブ←【説明欄】,/watch?v=9lsrqo7YcgA,41,【共犯者】かのちゃ!,99,1年前,58,71
【ラジオ】ライブ！,/watch?v=ugY5506mEaY,32,【共犯者】かのちゃ!,99,1年前,58,55
【リメイク】撮影場所紹介【説明欄】,/watch?v=kT10c2BMYUw,64,【共犯者】かのちゃ!,99,1年前,58,110
スクイーズからスライムの音が！？,/watch?v=GnvjIMBD9o8,68,【共犯者】かのちゃ!,99,1年前,58,117
【無言】勉強ライブ,/watch?v=4Rp-mkGPfl4,21,【共犯者】かのちゃ!,99,1年前,58,36
買ってよかったスクイーズ紹介,/watch?v=3yyfn5wLip0,89,【共犯者】かのちゃ!,99,1年前,58,153
すくいーずでおみみのまっさーじ,/watch?v=7WyhC7-b0Us,38,【共犯者】かのちゃ!,99,1年前,58,66
棚の整理ライブ👼🏻💞,/watch?v=3t3gpz1YK5c,37,【共犯者】かのちゃ!,99,1年前,58,64
台風怖い,/watch?v=_Y0nE0KAwrc,31,【共犯者】かのちゃ!,99,1年前,58,53
生配信で質問コーナー♪,/watch?v=tjsoJLrLYbU,45,【共犯者】かのちゃ!,99,1年前,58,78
レミリア・スカーレット,/watch?v=KtZ4sk6XacE,67,【共犯者】かのちゃ!,99,1年前,58,116
おはよ,/watch?v=5ts8R3bK684,59,【共犯者】かのちゃ!,99,1年前,58,102
暇人の暇人による暇人のための動画,/watch?v=MzcYfGk-1z0,47,【共犯者】かのちゃ!,99,1年前,58,81
新しい撮影場所,/watch?v=RPIW3RR1lw0,61,【共犯者】かのちゃ!,99,1年前,58,105
最近我東方しか見てない気がする（皆さん東方知ってまふか？）,/watch?v=seeKCcTpecA,40,【共犯者】かのちゃ!,99,1年前,58,69
妹のお友しゃんとおらいぶ( ˙꒳​˙  )ʕ´•(▼)•`ʔ,/watch?v=AqsY8AKE0yc,28,【共犯者】かのちゃ!,99,1年前,58,48
(＾ω＾)皆の衆これを見るがよい！└(┐ﾞ’ωﾞ’ωﾞ`┘)┌モニャフーニャップスッポコホニャーオンンンィイ゛イ゛ェエ゛エ゛ァア゛ッッッッッポォオ゛ォオ゛,/watch?v=YStPGUbP12s,49,【共犯者】かのちゃ!,99,1年前,58,84
［この動画は再生できません］,/watch?v=OB332n4vLu4,76,【共犯者】かのちゃ!,99,1年前,58,131
アイスバーグスライム(         ´･∀･`         ),/watch?v=zug7INdJ648,25,【共犯者】かのちゃ!,99,1年前,58,43
家族構成決めるよ♡,/watch?v=U8jMRj2lu8s,86,【共犯者】かのちゃ!,99,1年前,58,148
恋バナ💘アイス君との関係🍨,/watch?v=dsfX61nn0Gk,42,【共犯者】かのちゃ!,99,1年前,58,72
チャンネル登録者100人あざす！！,/watch?v=KxyKklmkaMY,27,【共犯者】かのちゃ!,99,1年前,58,47
【ロキ】歌って見た,/watch?v=rKotYWlF6nc,53,【共犯者】かのちゃ!,99,1年前,58,91
