title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
睡眠導入に長編　繰り返しバージョン ささやき品名当てクイズ　ASMR,/watch?v=cQoPLWDY0Ss,132,あきねねちゃんねる/akinene3,4230,1か月前,799,17
ささやき 品名当てクイズ？　ASMR　お試し ラジオ感覚,/watch?v=cDwmjXG6Dw8,146,あきねねちゃんねる/akinene3,4230,1か月前,799,18
ディズニーストア　オンラインストア限定福袋を開封(*´▽｀*) 【あきねねちゃんねる】,/watch?v=qdyPE4psXfI,865,あきねねちゃんねる/akinene3,4230,2か月前,799,108
サンリオ　ドーリーケース開封 パート２【あきねねちゃんねる】,/watch?v=1ANHjhEkhP4,331,あきねねちゃんねる/akinene3,4230,3か月前,799,41
すみっコぐらし　ロールメモテープ　ぷっちょ 【あきねねちゃんねる】,/watch?v=2N7Xr2nLyDo,432,あきねねちゃんねる/akinene3,4230,3か月前,799,54
(１) サンリオ　ドーリーケース開封 【あきねねちゃんねる】,/watch?v=nzesdfcACG0,288,あきねねちゃんねる/akinene3,4230,3か月前,799,36
福袋を3つ開封　何が入ってる？ 【あきねねちゃんねる】,/watch?v=a3mEfGSrKto,294,あきねねちゃんねる/akinene3,4230,3か月前,799,37
神兎ロペ　可愛いお顔のガチャガチャ　コンプ組み立て 【あきねねちゃんねる】,/watch?v=ZBoUC_MkOkA,332,あきねねちゃんねる/akinene3,4230,3か月前,799,42
ポケモン　フローラルカップコレクション&プチフルール開封 【あきねねちゃんねる】,/watch?v=SsSZRFsm3jY,375,あきねねちゃんねる/akinene3,4230,3か月前,799,47
1万円企画　確率機カリーノでSwitchゲットできる？ 【あきねねちゃんねる】,/watch?v=oPAch0GZHnM,1077,あきねねちゃんねる/akinene3,4230,6か月前,799,135
みなさんに'ご報告'とアニメイトの3000円福袋開封☆ 【あきねねちゃんねる】,/watch?v=Ud5XURMCiOs,899,あきねねちゃんねる/akinene3,4230,7か月前,799,113
アミューズメント福袋開封！女の子フィギュアなどなど☆ 【あきねねちゃんねる】,/watch?v=f2CY0X3kQ7Q,411,あきねねちゃんねる/akinene3,4230,7か月前,799,51
スターバックス福袋2020 反省をいかして再開封！ 【あきねねちゃんねる】,/watch?v=0Ve2XIvNl6w,1516,あきねねちゃんねる/akinene3,4230,7か月前,799,190
ネタバレ スターバックス福袋2020 開封【スタバ福袋】 【あきねねちゃんねる】,/watch?v=17cCogfR99o,17416,あきねねちゃんねる/akinene3,4230,7か月前,799,2180
まるまるたまごちゃんから美味しいプレゼント,/watch?v=YCuS5QYswHs,1020,あきねねちゃんねる/akinene3,4230,1年前,799,128
ドラゴンボール色紙7【あきねねちゃんねる】,/watch?v=Sqjasrn8558,691,あきねねちゃんねる/akinene3,4230,1年前,799,86
インテリアにも♪ ポケットモンスターテラリウムコレクション５ 【あきねねちゃんねる】,/watch?v=l0p-LY4-R8c,431,あきねねちゃんねる/akinene3,4230,1年前,799,54
キャラクター系スクイーズ紹介 【あきねねちゃんねる】,/watch?v=zBcKT9eaAIU,595,あきねねちゃんねる/akinene3,4230,1年前,799,74
スナックワールド　デンジャラスワールド　ステッカー 【あきねねちゃんねる】,/watch?v=CpF4Rkj8EGQ,533,あきねねちゃんねる/akinene3,4230,1年前,799,67
ささやき　シャドウバースウエハース　開封&食べる動画　咀嚼音 【あきねねちゃんねる】,/watch?v=nCxkyOIdATg,965,あきねねちゃんねる/akinene3,4230,1年前,799,121
新玉ねぎを使ったお肉どんぶりを食べる動画 咀嚼音 【あきねねちゃんねる】,/watch?v=au2DcUnUpZs,1270,あきねねちゃんねる/akinene3,4230,1年前,799,159
モーリーファンタジーでゲットしてきたスクイーズ紹介 【あきねねちゃんねる】,/watch?v=7eeT_HNrUps,649,あきねねちゃんねる/akinene3,4230,1年前,799,81
まどか☆マギカ　クリアカードガム　可愛い女の子だらけ 【あきねねちゃんねる】,/watch?v=MWMrbDl8MAE,687,あきねねちゃんねる/akinene3,4230,1年前,799,86
