title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
髪色変えましたグダグダゆるゆるの短めなVLOG💇‍♀️,/watch?v=u3aIASvGHMc,7608,えみんちゃんねる___ 에밍채널,19200,6日前,17188,44
写真映えする韓国顔summer makeup🍹このメイクで人生写真とっちゃいましょ、、💫！,/watch?v=iWKw_eM5qzk,11202,えみんちゃんねる___ 에밍채널,19200,2週間前,17188,65
新しい家族がやってきました🐶大きな赤ちゃんかわいいなあ,/watch?v=FZ6G8YkuiHA,7005,えみんちゃんねる___ 에밍채널,19200,3週間前,17188,41
韓国語で自己紹介🌷韓国語６級修了者が一年ぶりに自己紹介を撮って見ました☺︎,/watch?v=fYFEqEXVNpg,8420,えみんちゃんねる___ 에밍채널,19200,1か月前,17188,49
カールがよれない！湿気にも負けないまつげの作り方☁️（マスクつけるときには必須です。）,/watch?v=WrqI0L5B-Dc,6658,えみんちゃんねる___ 에밍채널,19200,1か月前,17188,39
ちょっぴり辛めなOrange make🍊話題の泡パックも使ってみました！！,/watch?v=vmXi8KkmzH0,11273,えみんちゃんねる___ 에밍채널,19200,1か月前,17188,66
H&M購入品でlook book🌟コスパ最高すぎて、、最高,/watch?v=4c8HcelPFbU,35172,えみんちゃんねる___ 에밍채널,19200,1か月前,17188,205
GRWM✨一緒に準備しましょう！with.Hapa Kristinカラコン,/watch?v=vJcFXtfrcJM,12397,えみんちゃんねる___ 에밍채널,19200,1か月前,17188,72
韓国系YouTuberのゆるゆるnight routine🌙肌が綺麗になるクレンジングからスキンケアも！,/watch?v=1qROQnZFVG4,9263,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,54
日本で買える韓国ストリートファッションコーデ🦋girly hiphop look book feat.FEKETE,/watch?v=Wk24kycwmO8,18382,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,107
cute pink makeup!🎀韓国コスメで夏感あるピンクな韓国顔を作りましょう...  💖,/watch?v=DRxgHJNY7l0,12397,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,72
morning routine☀️ゆっるゆるな私のリアルな朝。スキンケアも！,/watch?v=WMCCWB6y-KU,8912,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,52
最近ホットな韓国カラコン「Hapa kristin」６色リビュー🎀お得な情報あり！要チェック✔︎,/watch?v=Kdfh_JxmEZM,98899,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,575
MONSTA X(몬스타엑스) FANTASIA dance cover,/watch?v=geO6aMUgrj8,11152,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,65
春から夏に向けて☀️韓国メイクをゆるゆるにしてみましたwith優秀韓国コスメ,/watch?v=9Q-uDiPa5S4,12743,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,74
148cm 2020 SS LOOK BOOK🦋日本から買える韓国通販のお洋服多め！！,/watch?v=UXCyzmuRIvg,23634,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,138
韓国で矯正始めて8ヶ月！経過の様子やアクシデントも、、、！？韓国の矯正のあれこれについて🎀,/watch?v=l-Cns5O8H9s,5621,えみんちゃんねる___ 에밍채널,19200,2か月前,17188,33
KPOPアイドル風簡単にできるヘアアレンジ🎀ライブや夏のイベントごとにも！！（KPOPごっこつき）,/watch?v=9Y40dhwrL3U,16211,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,94
今ホットなビーズリングここにあります💍！完全ハンドメイドのリング紹介から作る様子まで！,/watch?v=7NGaFIUpI6I,7775,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,45
韓国男子と付き合いたい願望がある人は絶対見て👀！韓国に住んでた元留学生が韓国男子について語ります！,/watch?v=cKr6cXse8R4,13199,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,77
【整形級】イマドキな韓国顔メイク🍒これをみたら簡単にマスターできます。성형급 메이크업!!!!!,/watch?v=QompxLzwfic,35430,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,206
selfcut!✂️失敗しない前髪の切り方こうすれば韓国っぽさも出るはず！,/watch?v=LBDISSP41x8,11453,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,67
rose lavender make up🌹春らしい韓国メイクしてみました。,/watch?v=wtPzm2U9lcI,8865,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,52
"［한국어/日本語字幕］韓国語で話しながらASMRに挑戦！！탕후루,,,,다시 도전해봤습니다,,,,,",/watch?v=9TAzaEhMhIg,4526,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,26
［韓国語］会話でもっと自然に喋れる、上手だと思わせれる文法教えます📚韓国語勉強中の方必見,/watch?v=xkfsPWxV7T4,5209,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,30
敏感肌の人絶対見て！ニキビ跡も！最強なスキンケアとクッションファンデと出会いました。＃ドクターエルシア [Dr.Althea],/watch?v=EInvKFZgwNI,6849,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,40
[한일커플]コロナで会えないから今までのデート動画集👼우리의 데이트 비하인드,/watch?v=Z6EAXVun7A4,11443,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,67
［한국어/日本語字幕] what's in my bag🦋韓国語でカバンの中身紹介！왓츠인마이백,/watch?v=Jnz7b5LeGBI,12609,えみんちゃんねる___ 에밍채널,19200,3か月前,17188,73
［韓国留学］語学堂について6級修了者がただただ語ります📚悩んでる方は絶対に見てください！！,/watch?v=V7-6Gh_pwfo,13976,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,81
girls crush makeup!!🦋韓国人顔になれるクールメイクを韓国コスメで！힙한 메이크업 도전해보기!!!,/watch?v=CAyjf1wOrrg,16916,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,98
［한국어/日本語字幕] 韓国顔ガーリーメイク🎀韓国人彼氏の実況つき＃日韓カップル,/watch?v=Gp6_mLBT2-Q,18182,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,106
room tour 🌱 毎日を過ごしている私のお部屋大公開！！,/watch?v=NGSxQcozWRk,26786,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,156
ゆる〜く私のオタク人生辿りながらグッズ達と共におしゃべり💓,/watch?v=txS3Vo0CTfg,7761,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,45
ストレートアイロンで出来る簡単巻き髪🎀ヨシンモリ風（超簡単）,/watch?v=iDniXmS4mVY,22221,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,129
ピアスのあれこれ💭韓国でピアス開けたい方必見！！,/watch?v=wRswAmlIQyw,7441,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,43
spring fashion haul!/韓国春服で1週間コーディネート🦋,/watch?v=GmQJqiOvpQw,12090,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,70
韓国コスメで整形級毎日メイク✨성형급 일상 메이크업!!,/watch?v=alrKsZAy0II,23580,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,137
超簡単！誰にでもでもできる前髪アレンジ🎀（伸びかけ前髪.前髪に飽きた人にオススメ！）,/watch?v=VKSvvkUv_Bs,7493,えみんちゃんねる___ 에밍채널,19200,4か月前,17188,44
クッションファンデに悩んでる人必見！クッションファンデ厳選して紹介してみました🎀 my favorite cushion!!,/watch?v=DpLAghiwX6Y,29497,えみんちゃんねる___ 에밍채널,19200,5か月前,17188,172
日韓カップルの平凡なデートVLOG in Deajon/한일커플 노잼도시 대전에서 데이트브이로그🎀【韓国語/한국어】,/watch?v=2YLdhW_d_pY,20448,えみんちゃんねる___ 에밍채널,19200,5か月前,17188,119
