title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMRマイク】みんなからの質問に答えてみた【はすトーク】,/watch?v=ba40gDxEROo,1360,おとはすちゃんねる,5830,2日前,4587,30
【ドッキリ】アイドルのカバンの中身チェック中に、半年前の○○が出土しました…【ガチ魔境】,/watch?v=NLHgH1gc0XY,2606,おとはすちゃんねる,5830,3週間前,4587,57
何問わかる？自作PC好きなら読めて当然なパーツメーカー＆ブランドクイズ【フィロソフィーのダンス 十束おとは】,/watch?v=qLybdF8ryow,1856,おとはすちゃんねる,5830,3週間前,4587,40
【おすすめキャンプ飯】ゆるキャン△のトマトすき焼き再現して優勝したった【お料理動画】,/watch?v=pvedozy7oE4,2228,おとはすちゃんねる,5830,1か月前,4587,49
【ポケモン剣盾】セイボリーさんとダイマックス対決で大草原wwww【DLC】＃３,/watch?v=Javl_rG4AZM,974,おとはすちゃんねる,5830,1か月前,4587,21
【ポケモン剣盾】鎧の孤島でヤドンとたわむれてキノコ狩り【DLC】＃2,/watch?v=LnDrpHULU4k,898,おとはすちゃんねる,5830,1か月前,4587,20
【ポケモン剣盾】鎧の孤島に乗り込むアイドルとヲタク【DLC】＃１,/watch?v=TSDihErToOM,1300,おとはすちゃんねる,5830,1か月前,4587,28
【へやキャン】メスティンと固形燃料で自動炊飯にチャレンジしたら炎上(物理)しかけた,/watch?v=lxFzATBzhz8,2957,おとはすちゃんねる,5830,1か月前,4587,64
【量産型メイク】プチプラコスメだけでできる地雷メイクで優勝【セザンヌ・キャンメイク・ちふれ・マジョリカマジョルカ】,/watch?v=RMz5nmuhank,2219,おとはすちゃんねる,5830,2か月前,4587,48
【アイドル】ファンの方が他にどんな方にファボしてるか気になります...【フィロソフィーのダンス 十束おとは】,/watch?v=IyNGw2Wjwng,5369,おとはすちゃんねる,5830,2か月前,4587,117
【あつまれどうぶつの森】コミュ障ヲタクアイドルが島流しにあいました【フィロソフィーのダンス 十束おとは】＃１ あつ森,/watch?v=ZNup7Lc1mmI,3061,おとはすちゃんねる,5830,2か月前,4587,67
【LoL】MSS2020タッグトーナメントを試合見ながら解説します。十束おとは【Streamathon】,/watch?v=ThGgxaEvEc4,11770,おとはすちゃんねる,5830,2か月前,4587,257
【Japanese tea ceremony】How to 茶道【持ち物・服装編】,/watch?v=-YXeUmc9N4g,4149,おとはすちゃんねる,5830,2か月前,4587,90
【ASMR】いちご飴を作ろうと思ったら覇王の卵が爆誕した...【フルーツ飴・音フェチ】,/watch?v=m5krOoCcGPQ,3391,おとはすちゃんねる,5830,2か月前,4587,74
