title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
手を作ってパワーアップしてみた！My new hand. Cyborg Hand. Japanese toy,/watch?v=tnv0ZAnGE-4,682075,おもしろ雑貨コレクター,90300,3週間前,2275639,30
トラフグ解体パズルで部位を学ぶ！食べる！Pufferfish Dissection Puzzle. Fugu! Japanese toy. Eating sashimi,/watch?v=7amny75y8gs,854463,おもしろ雑貨コレクター,90300,2か月前,2275639,38
おもしろ文房具コレクション（２）Funny Stationery Collection. Cooking Giant Hamburger. Japanese,/watch?v=QHc_OOWmgGY,1526625,おもしろ雑貨コレクター,90300,3か月前,2275639,67
牛解体パズルで部位を学ぶ。英語で！Piece o' Steak. cow demolition puzzle. Japanese cooking. sukiyaki. gyudon,/watch?v=KEAdvK-3tRo,1221518,おもしろ雑貨コレクター,90300,4か月前,2275639,54
業務用で天然たい焼きに挑戦！Taiyaki. Japanese fish-shaped cake. Japanese Street Food,/watch?v=M_iMxkVN5zc,699700,おもしろ雑貨コレクター,90300,5か月前,2275639,31
荒ぶる餅！昭和の餅つき機2020 / Japanese Rice Cake Machine（Mochi Maker）,/watch?v=Sc6RvPsN9zE,3705447,おもしろ雑貨コレクター,90300,7か月前,2275639,163
かわいい柴犬グッズ大量。Shiba Inu Goods. Cute & Kawaii. Japanese Dog,/watch?v=Qv8nq_74kJg,977578,おもしろ雑貨コレクター,90300,7か月前,2275639,43
新しい包丁を持ち（料理の）扉を開く。New kitchen knife. Japanese unique products,/watch?v=Je6I2CO-5bo,767549,おもしろ雑貨コレクター,90300,8か月前,2275639,34
おもしろ文房具コレクション（１）Funny Stationery Collection. Japanese food ?,/watch?v=8aPQtIafQjI,3681810,おもしろ雑貨コレクター,90300,9か月前,2275639,162
別のスライサーでキャベツの千切り！Cabbage Slicer machine. japanese kitchen gadgets,/watch?v=PT8WqLjQp8s,13452426,おもしろ雑貨コレクター,90300,10か月前,2275639,591
業務用キャベツくんで千切り！Cabbage Slicer machine. japanese kitchen gadgets,/watch?v=cLqgTSsNxH8,4759390,おもしろ雑貨コレクター,90300,10か月前,2275639,209
ニワトリ解体！焼き鳥パズルで部位を学べ！Chicken Yakitori demolition puzzle. Japanese toy,/watch?v=-mYvJDs3Wlk,25308567,おもしろ雑貨コレクター,90300,11か月前,2275639,1112
究極のMYO焼きペヤングを作る！Ultimate Mayonnaise Maker & Peyoung Yakisoba Maker,/watch?v=WEM62MsfxCw,2357720,おもしろ雑貨コレクター,90300,11か月前,2275639,104
究極のMYO（マヨネーズ）マシン。ULTIMATE MAYONNAISE MAKER. Japanese Cooking Gadgets,/watch?v=V_uYzr5yDws,1357706,おもしろ雑貨コレクター,90300,1年前,2275639,60
恐竜を解体して何食べる？T-Rex & Stegosaurus Anatomy Model. Dinosaur puzzle,/watch?v=tFySi1ieAWQ,5714982,おもしろ雑貨コレクター,90300,1年前,2275639,251
テーブルで焼けるミニピザ窯！ Mini Pizza Oven. Miniature Cooking,/watch?v=0L447wHlFrs,2510283,おもしろ雑貨コレクター,90300,1年前,2275639,110
業務用で高速に大根おろし！Electric High Speed Grater Machine. Grated Japanese Radish Daikon,/watch?v=jCx7sFOAw1g,1337006,おもしろ雑貨コレクター,90300,1年前,2275639,59
業務用ネギカッター、早っ！Green onion cutting machine. Japanese leek Automatic slicer,/watch?v=fiOsmZKNJ0s,2312225,おもしろ雑貨コレクター,90300,1年前,2275639,102
マグロケーキ解体ショー / Bluefin Tuna Cake Dismantling Show,/watch?v=_iM2Ln_VDjs,2947806,おもしろ雑貨コレクター,90300,1年前,2275639,130
大量カオナシグッズと令和を迎える / Spirited Away Kaonashi No-Face Goods. Ghibli,/watch?v=ZnKm4iGj6yA,1093409,おもしろ雑貨コレクター,90300,1年前,2275639,48
サメ解剖モデルで遊んだり食べたり / Great White Shark Anatomy Model. puzzle,/watch?v=nMXNFN_xLBc,6051013,おもしろ雑貨コレクター,90300,1年前,2275639,266
424回混ぜる究極納豆マシン / Ultimate Natto Machine. Japanese Cooking Gadgets,/watch?v=4n2uuKD6Nz8,1986404,おもしろ雑貨コレクター,90300,1年前,2275639,87
握ると皿を洗えちゃうマシン / Handheld Automatic Dishwasher. Fun Kitchen Gadgets,/watch?v=5SeWxudKnTA,3187024,おもしろ雑貨コレクター,90300,1年前,2275639,140
