title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
🔴#３【DQ2】今度こそ3人目の仲間を見つける♪ドラゴンクエスト2【女性実況】顔出し、ドラクエ2,/watch?v=Y35M62AMRos,617,おもちまいんチャンネルomoch,6100,,2087,30
🔴#2【DQ2】3人目の仲間を見つける♪ドラゴンクエスト2【女性実況】顔出し、ドラクエ2,/watch?v=oP1IWJRkBMo,915,おもちまいんチャンネルomoch,6100,,2087,44
🔴#１【DQ2】ゆっくりぽんこつプレイ♪ドラゴンクエスト2【女性実況】顔出し、ドラクエ2,/watch?v=NI2adCfVzSk,1166,おもちまいんチャンネルomoch,6100,,2087,56
【飯テロ雑談】超会議2020おつまいん！焼肉大食いパーティ！！のんびり話す:;(∩︎´﹏`∩︎);:♡【初見歓迎】,/watch?v=6ZmFNAr5AaE,2333,おもちまいんチャンネルomoch,6100,,2087,112
🔴#最終回【DQ1】夢オチで絶望😱ラスボス竜王を倒す！ゆっくりぽんこつプレイ♪ドラゴンクエスト１【女性実況】顔出し、ドラクエ１,/watch?v=klFDQ2TYY5k,1196,おもちまいんチャンネルomoch,6100,,2087,57
【飯テロ】『辛ラーメン』で焼そば作ったら大優勝。美味すぎィィイイ！！【おもちまいん】ASMR.咀嚼音🍴大食い.アリ♪,/watch?v=5QXJutMy4KE,1158,おもちまいんチャンネルomoch,6100,,2087,55
🔴#7【DQ1】竜王討伐！ゆっくりプレイ♪初めてのドラゴンクエスト１【女性実況】顔出し、ドラクエ１,/watch?v=u-wf936JguU,795,おもちまいんチャンネルomoch,6100,,2087,38
🔴【リスナー参加型企画】:給付金10万円でかったもの選手権！優勝者には給付金ｱﾏｷﾞﾌ1000円⭐:;(∩︎´﹏`∩︎);:【初見歓迎】,/watch?v=WdH6yG6rS7w,1273,おもちまいんチャンネルomoch,6100,,2087,61
🔴#6【DQ1】ゆっくりプレイ♪初めてのドラゴンクエスト１【女性実況】顔出し、ドラクエ１,/watch?v=41vE33NSsqw,801,おもちまいんチャンネルomoch,6100,,2087,38
🔴#５【DQ1】3Pで『昨夜はお楽しみでしたね』💕wwローラ姫をお姫様抱っこ！！✨ゆっくりプレイ♪初めてのドラゴンクエスト１【女性実況】顔出し、ドラクエ１,/watch?v=1rRh4XD4GqM,831,おもちまいんチャンネルomoch,6100,,2087,40
🔴#4【DQ1】虹をかける！ゆっくりプレイ♪初めてのドラゴンクエスト１【女性実況】顔出し、ドラクエ１,/watch?v=ulfYd_i2J0Y,1159,おもちまいんチャンネルomoch,6100,,2087,56
🔴#3【DQ1】銀の竪琴を求めて！奇跡のプレイ続出wwwゆっくりプレイ♪初めてのドラゴンクエスト１【女性実況】顔出し、ドラクエ１,/watch?v=ee7PnNAMs9o,966,おもちまいんチャンネルomoch,6100,,2087,46
🔴#２【DQ1】太陽の石ゲット！２回死んだけどwww初めてのドラゴンクエスト１【女性実況】ドラクエ１,/watch?v=pPLM7g9CcpU,835,おもちまいんチャンネルomoch,6100,,2087,40
🔴#1【DQ1】初めてのドラゴンクエスト１【女性実況】【顔出し】ドラクエ１,/watch?v=B357VYM0UD4,1277,おもちまいんチャンネルomoch,6100,,2087,61
🔴【顔出し】雑談しよ！『初見です』コメントでおどりますｗ;;(∩︎´﹏`∩︎);:♡【初見歓迎】,/watch?v=Mp7CvJXPqXI,1453,おもちまいんチャンネルomoch,6100,,2087,70
🔴【マーメイドメロディぴちぴちピッチ】ゲーム実況♯3♡【Mermaid Melody PICHI PICHI PITCH ~ e-Pitch mic】中田あすみ様・寺門仁美様・浅野まゆみ様,/watch?v=0uO3r4BHVgs,729,おもちまいんチャンネルomoch,6100,,2087,35
🔴【APEX】順位の数だけ腹筋したら数えぐすぎた🔥リスナー参加型！ぽんこつ初心者女子をチャンピオンに導け！おもちまいん【初見歓迎】,/watch?v=ro3vFesvmSQ,1099,おもちまいんチャンネルomoch,6100,,2087,53
🔴【APEX】順位の数腹筋🔥リスナー参加型！ぽんこつ初心者女子をチャンピオンに導け！おもちまいん【初見歓迎】,/watch?v=2CbJkUFxgAM,1121,おもちまいんチャンネルomoch,6100,,2087,54
🔴【Apex】博多女子2人がチャンピオン目指す！桃井あち×おもちまいん【初見歓迎】,/watch?v=ykmPKS8dsFo,1251,おもちまいんチャンネルomoch,6100,,2087,60
🔴【APEX】リスナー参加型！ぽんこつ初心者女子をチャンピオンに導け！おもちまいん【初見歓迎】,/watch?v=hLTfzvGGro0,1585,おもちまいんチャンネルomoch,6100,,2087,76
🔴【APEX】ぽんこつ３組がチャンピオン目指す！事故の予感wwおもしろwwモロ×ネバダのとまと×おもちまいん【初見歓迎】,/watch?v=dGsZaG9iBKY,1026,おもちまいんチャンネルomoch,6100,,2087,49
🔴【Apex】仲間割れで喧嘩？！放送事故www初心者女子３人がチャンピオン目指す！大天使maa.しゃん×めてち×おもちまいん【初見歓迎】,/watch?v=-GudF8tXBU0,1603,おもちまいんチャンネルomoch,6100,,2087,77
🔴【Apex】初心者女子がチャンピオン目指す！おもちまいん【初見歓迎】,/watch?v=Vg6PYdZ4Im8,1190,おもちまいんチャンネルomoch,6100,,2087,57
🔴【Apex】カワボ女子にスパルタ教育してもらう！佐藤希×おもちまいん【初見歓迎】,/watch?v=jg_OM_0r2p0,3562,おもちまいんチャンネルomoch,6100,,2087,171
🔴【Apex】女子2人でこぶし縛り！サバイバルを生き残る！！！【初見歓迎】,/watch?v=JvJ2jMIJXf4,2711,おもちまいんチャンネルomoch,6100,,2087,130
【美容鍼・小顔】整形級！普通の2倍の鍼🔥結果がヤバイ！！人気サロンに潜入！二重アゴ、クマ解消！ビビりすぎて涙！？【total body salon N 恵比寿】,/watch?v=Z_MdrzoMRa8,5967,おもちまいんチャンネルomoch,6100,,2087,286
🔴【マーメイドメロディぴちぴちピッチ】ゲーム実況♯2♡【Mermaid Melody PICHI PICHI PITCH ~ e-Pitch mic】中田あすみ様・寺門仁美様・浅野まゆみ【初見歓迎】,/watch?v=xMIx4epzrgo,1845,おもちまいんチャンネルomoch,6100,,2087,88
🔴【マーメイドメロディぴちぴちピッチ】ゲーム実況♯1♡【Mermaid Melody PICHI PICHI PITCH ~ e-Pitch mic】中田あすみ様・寺門仁美様・浅野まゆみ様,/watch?v=oO2RSvZhlD0,2908,おもちまいんチャンネルomoch,6100,,2087,139
