title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR音フェチ】キーボードのタイピングとコントローラーの音🎮（囁きあり、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=3FxcxKobGvY,909,きつねASMR,1550,1日前,3090,29
【ASMR音フェチ】囁き雑談／ぼちぼち収益化するってよ🦊（ささやき、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=zatS1b1L6RM,1612,きつねASMR,1550,4日前,3090,52
【ASMR音フェチ】調理器具を噛む音🍜（呼吸音、囁きあり、睡眠、リラックス）【⚠️イヤホン推奨】,/watch?v=Dk5CSUig9OU,1283,きつねASMR,1550,1週間前,3090,42
【ASMR音フェチ】手袋をして耳を触る音、ふさぐ音🧤（囁きあり、マッサージ、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=zkYh_XrUWT8,2213,きつねASMR,1550,1週間前,3090,72
【⚠️閲覧注意／ASMR音フェチ】リラックス用長編マウスサウンド（mouth sounds、口の中の音、睡眠、癒し、囁きあり）【⚠️イヤホン推奨】,/watch?v=5BAI_iD0fsc,4554,きつねASMR,1550,2週間前,3090,147
【ASMR音フェチ】お皿を噛む音☕️（呼吸音、囁きあり、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=X7WQFLg7iJ4,1495,きつねASMR,1550,2週間前,3090,48
【ASMR音フェチ】ヘッドマッサージとブラッシングをする音✨（囁きあり、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=0R4tGQJkaoM,1199,きつねASMR,1550,3週間前,3090,39
【ASMR音フェチ】ティファールのケトルを噛む音☕️🦊（呼吸音、囁きあり、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=hw5ktFeS-LU,2023,きつねASMR,1550,3週間前,3090,65
【ASMR音フェチ】少年っぽい声でオノマトペやってみた🦊寝落ち用長編（小声、囁き、ロールプレイ？、睡眠、癒し）⚠️イヤホン推奨,/watch?v=_yBqQQp55to,3034,きつねASMR,1550,4週間前,3090,98
【ASMR音フェチ】囁き雑談✖️六角レンチの音（ささやき、金属音、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=vnJJ38wHGHg,1602,きつねASMR,1550,1か月前,3090,52
【ASMR音フェチ】ハンガーを噛む音👕（呼吸音、囁きあり、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=Ph62mgKhBfc,3807,きつねASMR,1550,1か月前,3090,123
【ASMR音フェチ】炭酸をシュワシュワブクブクさせる音（夏の音、涼しい音、爽やか、睡眠、癒し、囁きあり）【⚠️イヤホン推奨】,/watch?v=MYP5M41-ZoQ,1382,きつねASMR,1550,1か月前,3090,45
【ASMR音フェチ】砂の音☀️サラサラ🎵ザッザッ🎵（睡眠、癒し、夏の音、ささやきあり）【⚠️イヤホン推奨】,/watch?v=irl3qZW53oM,993,きつねASMR,1550,1か月前,3090,32
【ASMR音フェチ】コルクを使った耳かき👂（鼓膜、梵天、綿棒、囁きあり、睡眠、癒し）⚠️イヤホン推奨,/watch?v=6F4Pzw9ONVg,1921,きつねASMR,1550,1か月前,3090,62
【ASMR音フェチ】ゲーム機を噛む音🎮（PS4、Wii、3DS、コントローラー、囁きあり、呼吸音、睡眠、癒し）【⚠️イヤホン推奨】,/watch?v=Jj3ZDtPeKsQ,6478,きつねASMR,1550,1か月前,3090,210
【⚠️イヤホン推奨】ゆるすぎる囁き雑談🦊※なんでも許せる方向け（音フェチ、睡眠、癒し）【ASMR】,/watch?v=2AeJl7XbaNw,1587,きつねASMR,1550,1か月前,3090,51
【ASMR】アップル製品を噛む音🍎（囁きあり、呼吸音、音フェチ、睡眠、癒し、iPad、pc、ペンシル）【⚠️イヤホン推奨】,/watch?v=DIoZknMWiOA,5489,きつねASMR,1550,1か月前,3090,178
【ASMR小声】本気で睡眠音声ガイドやってみた❗️※ガチナレーション（ロールプレイ、音フェチ、睡眠、）【寝落ち用】,/watch?v=MBrSzQP9h7M,9240,きつねASMR,1550,1か月前,3090,299
【音フェチ】100均セリアで○っぱい見つけた‼️⚠️イヤホン推奨、開封音、ギュッギュッ、タッピング、癒し、睡眠【ASMR】,/watch?v=0ddHTPX_9Vk,2059,きつねASMR,1550,2か月前,3090,67
【⚠️イヤホン推奨】いろんなプレートをタッピングする音（コルクの音、石の音、木の音、アルミの音）Tapping 、音フェチ、睡眠【ASMR】,/watch?v=DulCW3i4hs8,1372,きつねASMR,1550,2か月前,3090,44
【ASMR音フェチ】筒を使ったマウス🐭サウンド（口の中の音、睡眠、mouth sounds 、タッピング、ストロー、トイレットペーパーの芯）【⚠️イヤホン推奨】,/watch?v=FeCzhje5JcM,4100,きつねASMR,1550,2か月前,3090,133
【⚠️イヤホン推奨】いろんなお菓子の咀嚼音（たけのこの里、ポテトチップス、芋けんぴ、せんべい）音フェチ、食べ物、タッピング、eating sounds【ASMR】,/watch?v=V3I1GEfaXh0,1107,きつねASMR,1550,2か月前,3090,36
【⚠️イヤホン推奨】きつねメイクをしてあげる🦊（メイクアップ、ロールプレイ風？、音フェチ、睡眠、タッピング、ハンドムーブメント、囁き、make up)【ASMR】,/watch?v=Qq8fSZrnFa0,3442,きつねASMR,1550,2か月前,3090,111
【⚠️イヤホン推奨】脳を刺激する❗️ゼロ距離リップ音（音フェチ、睡眠、破裂音、パッパッパッパッ、マウスサウンド、lip sound）【ASMR】,/watch?v=n_ZyBfX0koA,3702,きつねASMR,1550,3か月前,3090,120
【ASMR】雑な窓掃除、遊び心を添えて（ハンドムーブメント、タッピング、窓拭き、擦る音、スプレーボトル、囁き、音フェチ、睡眠）window cleaning【癒し】,/watch?v=K8EA2qwd3Mg,1491,きつねASMR,1550,3か月前,3090,48
【ASMR音フェチ】ゼロ距離マウス🐭サウンド追加したら脳がfaaaaaa（口の中の音、リップ音、mouth sounds、音フェチ、睡眠）【⚠️イヤホン推奨】,/watch?v=2l1HyqFk70g,7656,きつねASMR,1550,3か月前,3090,248
