title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【知育菓子】たのしいおまつりやさん【嘘でしょ】,/watch?v=VEEYPsTF6AY,2784,きゅうりのキューチャンネル!,2770,2か月前,12324,23
【クソ動画】すまん【小学生】,/watch?v=2jeknO8s134,5207,きゅうりのキューチャンネル!,2770,2か月前,12324,42
【無念】ダルゴナコーヒーとやらが飲みたかった【ASMR】,/watch?v=uSPDh7zZDpw,1540,きゅうりのキューチャンネル!,2770,2か月前,12324,12
【ASMR】源氏パイを作る！【咀嚼音】,/watch?v=iUxp1NRiWeA,1531,きゅうりのキューチャンネル!,2770,3か月前,12324,12
【ASMR】手作り感満載ポテトチップスとあつ森と雑談【咀嚼音】,/watch?v=UQLdCoi4zs8,3603,きゅうりのキューチャンネル!,2770,3か月前,12324,29
ねるねるねるね一緒に作ろうぜ！,/watch?v=qMusqMlAWMQ,5054,きゅうりのキューチャンネル!,2770,3か月前,12324,41
スコーン作った【すこし咀嚼音】,/watch?v=KKF8Qp_9O0s,2649,きゅうりのキューチャンネル!,2770,3か月前,12324,21
【スライム初心者】しおうすにもらったスライムを開封する【ASMR】(BGM有り),/watch?v=Mmqa9130Fdg,90521,きゅうりのキューチャンネル!,2770,8か月前,12324,735
【ASMR】りんごとさつまいものパイを頑張って作る【ハロウィン】,/watch?v=kVFvlmoE1-s,7206,きゅうりのキューチャンネル!,2770,9か月前,12324,58
【咀嚼音】りんごとさつまいものパイがサクサク幸せの舞【EatingSounds】,/watch?v=hEHsK6KeGf0,19292,きゅうりのキューチャンネル!,2770,9か月前,12324,157
【咀嚼音】無印良品のお菓子3種【EatingSounds】,/watch?v=KHWs3IzErmI,5230,きゅうりのキューチャンネル!,2770,9か月前,12324,42
【魔法少女きゅうり】魔法でお鍋を作ったの😆🌸🥒【ごめん】,/watch?v=GtidsTnMf4Q,3996,きゅうりのキューチャンネル!,2770,10か月前,12324,32
【咀嚼音？】黄金桃のタルトで咀嚼音をキメたかったのに【ボツ】,/watch?v=dy_5xa6NSJI,7096,きゅうりのキューチャンネル!,2770,10か月前,12324,58
【質問コーナー】黄金桃でタルトをつくる【回答編】,/watch?v=49RmbqLfQHs,17168,きゅうりのキューチャンネル!,2770,10か月前,12324,139
【質問募集します！！！】きゅーちゃんきゅうりを食べる【咀嚼音】【共食い】,/watch?v=NNs19KWuBcg,6877,きゅうりのキューチャンネル!,2770,11か月前,12324,56
【咀嚼音】ビスコッティとスノーボールを作って食べちゃう【EatingSounds】,/watch?v=s7D3mdn2kks,5827,きゅうりのキューチャンネル!,2770,11か月前,12324,47
【咀嚼音】秋だし紅いも味のちんすこうを食べよう【ASMR】,/watch?v=VAOAdRu40QA,8251,きゅうりのキューチャンネル!,2770,11か月前,12324,67
【咀嚼音】夏はスイカ食べないとやってられないよね【ASMR】【Eating Sounds】,/watch?v=fFw1DRZC1Ko,11279,きゅうりのキューチャンネル!,2770,1年前,12324,92
【咀嚼音】ぶどう飴が成功したので憧れの咀嚼音【ASMR】,/watch?v=E5JIsYjM5Qw,29052,きゅうりのキューチャンネル!,2770,1年前,12324,236
