title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
口だけでシャルル / バルーン やってみた【歌ってみた】Charles / Balloon Acapella Cover,/watch?v=6O0eebXL2Y8,411,きりしまきょうま / KK,151,1年前,498,83
口だけでアイネクライネ / 米津玄師 やってみた【歌ってみた】Eine Kleine / Kenshi Yonezu Acapella Cover,/watch?v=9Y9--BPx_io,251,きりしまきょうま / KK,151,1年前,498,50
口だけで朝礼体操 やってみた(かった)【ドラマ『3年A組-今から皆さんは、人質です-』朝礼ダンスビートボックス アカペラカバー】,/watch?v=34Nl-0ah7M0,389,きりしまきょうま / KK,151,1年前,498,78
【検証】みたらし団子を凍らせて食べるとどんな味がするの？【食べてみた】,/watch?v=bLZD5YXipYk,612,きりしまきょうま / KK,151,1年前,498,123
ローソンのたまご蒸しパンが美味しすぎる！！！【食べてみた】,/watch?v=grvrwwdvUl8,420,きりしまきょうま / KK,151,1年前,498,84
【検証】音楽未経験者でもおもちゃのギターなら余裕で弾ける説【弾いてみた】,/watch?v=1NqgtX25JV0,837,きりしまきょうま / KK,151,1年前,498,168
口だけで小さな恋のうた / MONGOL800 やってみた(かった)【歌ってみた】Acapella Cover,/watch?v=FFdAngdFWRo,331,きりしまきょうま / KK,151,1年前,498,66
口だけでロキ / みきとP やってみた(かった)【歌ってみた】 ROKI / mikitoP Acapella Cover,/watch?v=LBXBx4-5h0o,421,きりしまきょうま / KK,151,1年前,498,85
【特技？】机と拳だけで太鼓の達人の演奏を再現できるのでやり方を解説！！！,/watch?v=dbQAzfdKwT8,1827,きりしまきょうま / KK,151,1年前,498,367
【黒歴史】地声低い音痴が一発撮り無加工で シャルル 歌ってみた / きりしまきょうま (cover),/watch?v=auOt1olS7Co,666,きりしまきょうま / KK,151,1年前,498,134
口だけでLemon / 米津玄師 やってみた【歌ってみた】TBS金曜ドラマ「アンナチュラル」主題歌,/watch?v=Wxygkcua9kg,1544,きりしまきょうま / KK,151,1年前,498,310
【しょぼい】第1回質問コーナー！by 底辺YouTuber,/watch?v=BZ9nLXVd6d8,1038,きりしまきょうま / KK,151,1年前,498,208
口だけでクリスマスソング /  back number やってみた【歌ってみた】フジテレビ系月曜9時ドラマ「5→9～私に恋したお坊さん～」主題歌,/watch?v=yxeYg68VeO8,290,きりしまきょうま / KK,151,1年前,498,58
口だけでピースサイン /  米津玄師 やってみた（かった）【歌ってみた】TVアニメ ヒロアカOP   Peace Sign / Kenshi Yonezu  Acapella Cover,/watch?v=7mKAYb3QJuU,278,きりしまきょうま / KK,151,1年前,498,56
口だけでYouTubeテーマソング / ヒカキン＆セイキン やってみた（かった）【歌ってみた】,/watch?v=9uwFzohgE3Y,260,きりしまきょうま / KK,151,1年前,498,52
【検証】底辺YouTuberが質問コーナーの質問を募集したら質問くるの？？？チャンネル登録者43人(撮影当時),/watch?v=V8QExzUVkHg,169,きりしまきょうま / KK,151,1年前,498,34
口だけでU.S.A. / DA PUMP やってみた（かった）【歌ってみた】,/watch?v=h89qyzOi5SU,345,きりしまきょうま / KK,151,1年前,498,69
口だけでTEENAGE RIOT / 米津玄師 やってみた（かった）【歌ってみた】,/watch?v=BB13QEkqSQA,87,きりしまきょうま / KK,151,1年前,498,17
口だけでFlamingo / 米津玄師　やってみた（かった）【歌ってみた】,/watch?v=XygwLfbVMgY,377,きりしまきょうま / KK,151,1年前,498,76
これから顔出し動画を投稿していきます（予定）,/watch?v=Tnl7nTsppHI,190,きりしまきょうま / KK,151,1年前,498,38
料理経験無しの俺がケチャップライスを作って食べてみたよ,/watch?v=H86wDDBvcPM,218,きりしまきょうま / KK,151,1年前,498,44
地声低い音痴男wwwwwwwが 今 / ヒカキン＆セイキン 歌ってみたwwwwwwwww,/watch?v=J-QOAJKJf6w,197,きりしまきょうま / KK,151,1年前,498,40
【初投稿】地声低い音痴男wwwwwwwがLemon 歌ってみたwwwwwwwww,/watch?v=kgY97mJr5hs,318,きりしまきょうま / KK,151,1年前,498,64
新チャンネル開設！！これからこちらのチャンネルで活動します！,/watch?v=sM6FK7flXJc,466,きりしまきょうま / KK,151,1年前,498,94
