title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
CS前の雑,/watch?v=-4ykfdD5y4Q,707,すめらぎちゃんねる,1900,3時間前,2969,24
第1356回　カンテラ勢によるデュエルマスターズ　青緑ジョラゴンVSアナカラーデッドダムド,/watch?v=KTSOhI4ZEsA,1371,すめらぎちゃんねる,1900,6時間前,2969,46
第1355回　カンテラ勢によるデュエルマスターズ　マーシャルループVS赤青クラッシュ覇道,/watch?v=xHSqEzUSduE,2116,すめらぎちゃんねる,1900,1日前,2969,71
第1354回　カンテラ勢によるデュエルマスターズ　赤白GRビートVSオボロティガウォック,/watch?v=fw5ZNRKCUxU,3933,すめらぎちゃんねる,1900,2日前,2969,132
すこし,/watch?v=5ydi3d4yByI,439,すめらぎちゃんねる,1900,3日前,2969,15
第1353回　カンテラ勢によるデュエルマスターズ　赤青ジョー星ループVSリースバーンメア,/watch?v=CaGS2-XDU18,3539,すめらぎちゃんねる,1900,3日前,2969,119
第1352回　カンテラ勢によるデュエルマスターズ　零龍ギャスカVSアナカラーデッドダムド,/watch?v=gT1hvTSyo1Y,5117,すめらぎちゃんねる,1900,4日前,2969,172
第1351回　カンテラ勢によるデュエルマスターズ　シータバーンメアVSトリーヴァバジリスク,/watch?v=eAJPH1nUK8I,4779,すめらぎちゃんねる,1900,5日前,2969,161
第1350回　カンテラ勢によるデュエルマスターズ　マーシャルループVS赤白レッドゾーン,/watch?v=a8gbPci-UW0,3334,すめらぎちゃんねる,1900,6日前,2969,112
第1349回　カンテラ勢によるデュエルマスターズ　青白ギャラクシールドVSマニフェストデリート,/watch?v=2nCMlAlWg3M,3558,すめらぎちゃんねる,1900,1週間前,2969,120
ざつだん,/watch?v=sbPw9IVRUAA,735,すめらぎちゃんねる,1900,1週間前,2969,25
第1348回　カンテラ勢によるデュエルマスターズ　赤青クラッシュ覇道VSリースバーンメア,/watch?v=8XXYzaQlK6U,3826,すめらぎちゃんねる,1900,1週間前,2969,129
ざつだん,/watch?v=DdEnT2n8ZqQ,209,すめらぎちゃんねる,1900,1週間前,2969,7
雑談,/watch?v=IsXIqcpT-ZQ,515,すめらぎちゃんねる,1900,1週間前,2969,17
第1347回　カンテラ勢によるデュエルマスターズ　シータバーンメアVSアナカラーデッドダムド,/watch?v=sJb2VeElOQY,4419,すめらぎちゃんねる,1900,1週間前,2969,149
第1346回　カンテラ勢によるデュエルマスターズ　クレバスワンショットVSマニフェストデリート,/watch?v=A29KpqIhLFc,4047,すめらぎちゃんねる,1900,1週間前,2969,136
久々の開封動画,/watch?v=GTjHSUq7118,2915,すめらぎちゃんねる,1900,1週間前,2969,98
