title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
田舎暮らし🔴愛犬とのんびり散歩の風景動画8月の自然探索,/watch?v=M79pH9J0HTU,177,ちょんまげ犬ヨーキーcheerio TV,1030,19時間前,814,22
神様トンボのスピリチュアル風景動画 🔴田舎者ヨークシャテリアの散歩,/watch?v=Vk0PX0UQ-gA,417,ちょんまげ犬ヨーキーcheerio TV,1030,1週間前,814,51
真夏に向かって虫たちが密です🔴田舎者の愛犬目線カメラの風景動画,/watch?v=YwJOo9mcWU0,353,ちょんまげ犬ヨーキーcheerio TV,1030,2週間前,814,43
廃線跡を歩く🔴ヨークシャテリアと夏の風景動画,/watch?v=osNXRtqCEcc,455,ちょんまげ犬ヨーキーcheerio TV,1030,2週間前,814,56
実は…いつも散歩しているあの小川に大きなネズミがいた【観覧注意】,/watch?v=EVELyZrFGgQ,370,ちょんまげ犬ヨーキーcheerio TV,1030,3週間前,814,45
田舎暮らし🔴愛犬とのんびり散歩の風景動画7月の花を探索,/watch?v=Y2RKf1orzyE,290,ちょんまげ犬ヨーキーcheerio TV,1030,3週間前,814,36
ドックランはちょっと怖いけど夕飯を美味しく食べる為にそれなりに楽しむヨーキー,/watch?v=GslDuYMgkIw,473,ちょんまげ犬ヨーキーcheerio TV,1030,3週間前,814,58
田舎者ヨーキーが行く夏の思い出🔴ひまわり畑の風景動画,/watch?v=H_ito4nzrQE,341,ちょんまげ犬ヨーキーcheerio TV,1030,1か月前,814,42
愛犬のルーティン🔴毎日の日課ごはんと散歩が大好きなヨークシャテリア,/watch?v=N9tHk_M39Uc,495,ちょんまげ犬ヨーキーcheerio TV,1030,1か月前,814,61
手作り冷凍作り置きご飯🔴散歩大好きちょんまげ犬ヨークシャテリア,/watch?v=7KarJVYNxjU,609,ちょんまげ犬ヨーキーcheerio TV,1030,1か月前,814,75
田舎者ヨークシャテリア🔴あじさいロードを見に行く風景動画,/watch?v=xHkWoGCJIYs,360,ちょんまげ犬ヨーキーcheerio TV,1030,1か月前,814,44
ドッグランの遊び方が下手くそなヨークシャテリア,/watch?v=KwulmasKtbc,1071,ちょんまげ犬ヨーキーcheerio TV,1030,1か月前,814,132
