title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
あなたを、すぐに寝かせる、高速、タッピング,/watch?v=PqXHvCzYnm0,1126,ねむりん ASMR,1960,1か月前,2659,42
ASMR動画　久々にやってみた,/watch?v=Fp8s8LgrGBA,764,ねむりん ASMR,1960,1か月前,2659,29
【ASMR】 革ブーツ 少し雑なブラッシング～ワックス仕上げ,/watch?v=RQVA4dg1NNk,671,ねむりん ASMR,1960,3か月前,2659,25
ASMR　タッピング　革靴,/watch?v=sudewZSZ2-U,774,ねむりん ASMR,1960,3か月前,2659,29
マイクをブラシしながら雑談/ASMR,/watch?v=v_efMsYIehg,771,ねむりん ASMR,1960,5か月前,2659,29
【ASMR・音フェチ】[囁き声]で昔話を朗読,/watch?v=WlbrHv_0nps,454,ねむりん ASMR,1960,6か月前,2659,17
【ASMR・音フェチ】シンプルサウンド,/watch?v=fj5_aoQaor0,883,ねむりん ASMR,1960,6か月前,2659,33
【ASMR・音フェチ】高速タッピング　高音質,/watch?v=5-FsLmgutTY,1417,ねむりん ASMR,1960,6か月前,2659,53
【ASMR・音フェチ】タッピング音　(ペタペタ、コンコン♫),/watch?v=nPMQQQxZ89Q,758,ねむりん ASMR,1960,6か月前,2659,29
Daily ASMR,/watch?v=zZsFG4gGN0c,658,ねむりん ASMR,1960,6か月前,2659,25
【ASMR】高速タッピング,/watch?v=DeIsHVDpDGc,1108,ねむりん ASMR,1960,6か月前,2659,42
[ASMR] 朝ごはんを作る日常,/watch?v=Zjwm_J16MzY,755,ねむりん ASMR,1960,7か月前,2659,28
Worst ASMR Ever　【最悪なASMR】,/watch?v=ytvxOjOPxQg,1320,ねむりん ASMR,1960,8か月前,2659,50
ASMRやってみた,/watch?v=qJ_cAFcYAuM,1535,ねむりん ASMR,1960,8か月前,2659,58
【タッピング】昔ながらのASMR,/watch?v=97YUU_758_U,1516,ねむりん ASMR,1960,8か月前,2659,57
