title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【Lexus】RX450hLのECOモードで箱根ドライブ！！燃費は！？まさかの結果に驚いた！！,/watch?v=rSAvrtbxO-c,1689,ぴらたび,1640,2週間前,10171,17
【中田　彩】マレーシアのローカル市場をご案内します！！,/watch?v=lg90Ew2cR-I,666,ぴらたび,1640,3週間前,10171,7
【高級旅館】箱根で人生一度は泊まってみたい憧れの高級旅館,/watch?v=Bu9YAbzTYgA,2897,ぴらたび,1640,3週間前,10171,28
目を細めて夢中でチュールを食べるノラ猫が可愛すぎる,/watch?v=pBUh8C7hrFY,233,ぴらたび,1640,4週間前,10171,2
【中田彩】マレーシアのマクドナルドのメニューがありえなかった！！,/watch?v=EPsFNvk0E7Y,761,ぴらたび,1640,1か月前,10171,7
在住４年目のタレント中田彩がロックダウン中のマレーシアの様子をお伝えします！！,/watch?v=zx1rW-Yr5iI,1075,ぴらたび,1640,1か月前,10171,11
【新型RX450hL】江ノ島〜三浦半島ドライブ,/watch?v=WPo7mOtNRbw,1465,ぴらたび,1640,4か月前,10171,14
【高級旅館】最高のロケーションとおもてなしの大人の隠れ家に行ってみた,/watch?v=8-zUTGH0RcU,4732,ぴらたび,1640,4か月前,10171,47
【新型RX450hL】雪の残る絶景谷川岳をドライブしてみました,/watch?v=ZL_12bNtFHo,3172,ぴらたび,1640,5か月前,10171,31
【新型RX450hL】納車後半年乗ってみた正直な感想を言います。,/watch?v=YWpdozFjuIw,6148,ぴらたび,1640,5か月前,10171,60
【猫とドライブ】しっかりシートベルトをしてドライブする猫が可愛すぎる,/watch?v=K-Ex6ooia44,1292,ぴらたび,1640,5か月前,10171,13
【LEXUS】旧型RX450hと新型RX450hL乗り比べてみた！！乗りごごちは？サイズ感は？,/watch?v=7D7yCtzOcf0,11621,ぴらたび,1640,5か月前,10171,114
毎日家に来てめちゃくちゃ甘えてくる野良猫ミニーちゃん,/watch?v=Ke_kVg3SIhM,225,ぴらたび,1640,5か月前,10171,2
家にエサを食べに来るノラ猫を優しく見守る家猫ちゃん,/watch?v=1gdvqq-cJ0A,177,ぴらたび,1640,5か月前,10171,2
【RX450hL】某国産車メーカーの技術者が運転してみた正直な感想,/watch?v=j-sMmSMwqQE,5563,ぴらたび,1640,5か月前,10171,55
【コスメ好き必見】韓国オススメシートマスクをお得にゲットする方法教えちゃいます！,/watch?v=DH9KcKfuAR8,207,ぴらたび,1640,6か月前,10171,2
【絶対行くべき】韓国で最強に美味しい焼肉！！ドラム缶焼肉！！！,/watch?v=iFgoBy2YCxw,952,ぴらたび,1640,6か月前,10171,9
１０万ウォン持って韓国行ったらこんなに沢山買い物できました！！,/watch?v=PQq3kkScry8,292,ぴらたび,1640,6か月前,10171,3
【超簡単】昔ながらの美味しい型抜きクッキーの作り方,/watch?v=uJyjOujbY7Y,196,ぴらたび,1640,6か月前,10171,2
【大人女子旅】韓国で激安オススメ商品を１０万ｳｫﾝ（9288円）以内でどれだけ買えるか！？第二弾！,/watch?v=9ZqpXvL4jV8,133,ぴらたび,1640,6か月前,10171,1
【韓国大人女子旅】買い物天国韓国では１０万ウォン（約９２８８円）でどれだけ買えるのか！？,/watch?v=AO1jatFdAHU,233,ぴらたび,1640,6か月前,10171,2
【韓国女子旅】絶対行くべき！！可愛すぎる美味しすぎる穴場カフェ紹介します！！,/watch?v=HAXFt1GaOv0,139,ぴらたび,1640,6か月前,10171,1
【LEXUS】RX450hLの荷台にはスーツケースが何個乗るか検証してみた！,/watch?v=kSTOnFIjJIc,3239,ぴらたび,1640,6か月前,10171,32
【咀嚼音】野良猫が夢中でカリカリを食べる音が可愛すぎる,/watch?v=VMb5R8sLKCA,306,ぴらたび,1640,6か月前,10171,3
【新型RX450hL】女二人で羽田空港まで夜のドライブしてきました,/watch?v=O0DHQf1X6gE,3077,ぴらたび,1640,6か月前,10171,30
まるで猫食堂！？野良猫ミニーちゃんの毎日のルーティン,/watch?v=7E_Z2aNYLdw,192,ぴらたび,1640,6か月前,10171,2
弟のいない間に甘えまくる先輩にゃんこ「いっちゃん」,/watch?v=H0fIGabBMgU,118,ぴらたび,1640,7か月前,10171,1
だんだんと距離が近づく飼い猫と野良猫,/watch?v=DIModBkF3Rw,235,ぴらたび,1640,7か月前,10171,2
レクサスオーナーの特権を活用してみた,/watch?v=JD1MvcyRIJU,7807,ぴらたび,1640,7か月前,10171,77
毎日餌を食べに来る野良猫に対する飼い猫の反応が面白い。,/watch?v=vC6s9c5LOA4,515,ぴらたび,1640,7か月前,10171,5
毎日遊びに来る野良猫の餌の食べ方が可愛すぎる,/watch?v=0MCCzrUbUVI,283,ぴらたび,1640,7か月前,10171,3
【韓国グルメ】絶対に食べて欲しい！！新大久保で本場韓国より美味しいお店に出会った！！,/watch?v=QXQXngYS3BE,6398,ぴらたび,1640,7か月前,10171,63
うちの猫にはじめてちゅーるを与えてみたら反応が意外過ぎた,/watch?v=Uzj_MBFVolE,164,ぴらたび,1640,7か月前,10171,2
突然来た野良猫が庭でくつろぐ瞬間,/watch?v=wsO5N9F0DcU,279,ぴらたび,1640,7か月前,10171,3
突然うちの庭に野良猫が来たので観察してみた！！,/watch?v=aMU-S0sPHgo,356,ぴらたび,1640,7か月前,10171,4
【新型RX450hL】便利な機能ベスト５発表します！！！,/watch?v=ezpLot8Q52M,28923,ぴらたび,1640,7か月前,10171,284
ママのお膝（特等席）を隙あらば奪い合うネコ,/watch?v=AB41TlnKY6g,128,ぴらたび,1640,7か月前,10171,1
保護猫ピャアの歴代マイブーム,/watch?v=Tgi_NzQKVHQ,126,ぴらたび,1640,7か月前,10171,1
不器用すぎるウチの猫の水飲みをご覧ください,/watch?v=la-I24mzh-4,226,ぴらたび,1640,7か月前,10171,2
おデブちゃん猫のごめん寝が面白すぎる,/watch?v=SI8jrKc-16A,325,ぴらたび,1640,7か月前,10171,3
レクサスディーラーでRX450hlスタッドレスタイヤ交換！！費用は？？？工賃は？？,/watch?v=pi5cBSljavY,18786,ぴらたび,1640,7か月前,10171,185
ママとのラブラブタイムを邪魔されてキレる猫。,/watch?v=xxe0iyq3hFA,630,ぴらたび,1640,7か月前,10171,6
ママが大好き過ぎてじっと行動を見つめる猫,/watch?v=k7LWlD-G5pE,259,ぴらたび,1640,7か月前,10171,3
デレから突然ツンになる究極のツンデレ猫,/watch?v=UD7naGTzH8M,130,ぴらたび,1640,7か月前,10171,1
猫が出てる番組を特等席で見る猫,/watch?v=RzdtKDFYzwg,180,ぴらたび,1640,7か月前,10171,2
【猫とドライブ】車が大好きな猫とドライブしてみた！,/watch?v=TDb07xqCfG0,5628,ぴらたび,1640,8か月前,10171,55
【LEXUS】RX450でイルミネーションドライブしてみました！！,/watch?v=XoTKQ9H1SGM,4668,ぴらたび,1640,8か月前,10171,46
【ハプニング】ビックリしてとんでもない行動に出る猫,/watch?v=MkB3BH-uYCA,568,ぴらたび,1640,8か月前,10171,6
うちの猫は◯◯が大の苦手なんです。。。,/watch?v=17ZF3Os5IlU,702,ぴらたび,1640,8か月前,10171,7
猫の庭散歩に付いて行ってみた！！,/watch?v=v-thVlJRlsc,553,ぴらたび,1640,8か月前,10171,5
【猫のいる生活】子猫時代とは比べ物にならないくらい元気に成長した飼い猫,/watch?v=26XrcSuNcA8,682,ぴらたび,1640,8か月前,10171,7
イチとピャアは仲良し！？仲悪い！？多頭飼い生活です。,/watch?v=DD5rgeVXTfI,3745,ぴらたび,1640,8か月前,10171,37
カラスに襲われていた子猫を救出したら、こんなになりました。,/watch?v=3EjDkIxvoF4,383532,ぴらたび,1640,8か月前,10171,3771
【女子旅ハワイ】ハワイのローカルグルメからおすすめスポット紹介します！！,/watch?v=QOP6wWJMydk,641,ぴらたび,1640,8か月前,10171,6
【ハワイ女子旅】一度は食べてみたい！！！ワイキキおすすめビュッフェ！,/watch?v=eX2pcUMro-Y,348,ぴらたび,1640,8か月前,10171,3
【ハワイ女子旅】あのCMで有名な最高のパワースポットでピクニックしてみた！！,/watch?v=EkTL8N7iKps,181,ぴらたび,1640,8か月前,10171,2
【ハワイ旅行】ワイキキのおすすめレストラン紹介します！！トロリーバスでダウンタウン観光！,/watch?v=MXnhvx-0qIk,2529,ぴらたび,1640,8か月前,10171,25
女子６人、憧れのロイヤルハワイアンホテルに泊まってみた！！！,/watch?v=qVLCpRbsHag,1722,ぴらたび,1640,8か月前,10171,17
【LEXUS】新型RXで秋のいろは坂ドライブ！！,/watch?v=4YrMr-hbZHI,4757,ぴらたび,1640,8か月前,10171,47
【新型RX450hl】レクサスで紅葉真っ盛りの日光までドライブ！！,/watch?v=v0lHHUQrdnE,12138,ぴらたび,1640,9か月前,10171,119
【絶景】ザイオン国立公園のドライブルートがとんでもなかった！！！,/watch?v=0lCjlcqI5Hk,367,ぴらたび,1640,9か月前,10171,4
映画の舞台モニュメントバレーで馬に乗ってみた！！,/watch?v=Ed_GTC_GimM,229,ぴらたび,1640,9か月前,10171,2
【絶景ホテル】ナバホ居留地に１件しかないとんでもないホテルに泊まってみました！！,/watch?v=__h1X17qLEI,121,ぴらたび,1640,9か月前,10171,1
【絶景】ラスベガスからホースシューベンドまでドライブしてみたら、嘘みたいな景色でした！,/watch?v=frY2VyoCKh4,186,ぴらたび,1640,9か月前,10171,2
幽霊が出るという有名レストランに行ってみた！！！,/watch?v=yCq_VLYvHbk,103,ぴらたび,1640,9か月前,10171,1
【Delta A350】デルタプレミアムセレクトシートに乗ってみた！！！,/watch?v=X1sG1CRPlkE,1677,ぴらたび,1640,9か月前,10171,16
新型RX450hlで葉山のお気に入りレストラン、ラ・マーレまでドライブしてみました！,/watch?v=HJKvSwONy8M,9004,ぴらたび,1640,9か月前,10171,89
大人の遠足！高尾山のビアガーデン、高尾山ビアマウントに行ってみた！,/watch?v=UZNWSGNxka0,450,ぴらたび,1640,10か月前,10171,4
新型RXでコキアが見頃のひたち海浜公園までドライブしてみました！！,/watch?v=XW9yEopYi9o,5634,ぴらたび,1640,10か月前,10171,55
江ノ島〜葉山まで、絶景の海沿いをドライブしてみました！！,/watch?v=_xUN95YGNcg,4824,ぴらたび,1640,10か月前,10171,47
東京から江ノ島までRXでドライブしてみました！！,/watch?v=B9v656965uo,12168,ぴらたび,1640,10か月前,10171,120
購入後初めての点検に行ってきました！！待ち時間も楽しいオーナーズサロンです！,/watch?v=ydQaiZzfBvY,6399,ぴらたび,1640,10か月前,10171,63
【後編】ここがすごい！！本場のディズニー！姉妹でアメリカのディズニーに行ってみた！！,/watch?v=Mjy_acSN41o,184,ぴらたび,1640,10か月前,10171,2
【前編】姉妹でアメリカのディズニーに行ってみた！！カーズランドがすごい！！,/watch?v=97DZrhcAGfg,329,ぴらたび,1640,10か月前,10171,3
アメリカの巨大スーパーで日本人にオススメの商品・紹介！！！,/watch?v=TsoxFvtcSf0,305,ぴらたび,1640,10か月前,10171,3
３年間お世話になったIS300でラストドライブしてきました！！！,/watch?v=EqHh1OPMKq8,4073,ぴらたび,1640,10か月前,10171,40
【高級旅館】一度は泊まってみたい憧れの宿へ行ってみました！！！,/watch?v=ppnYZIJi-1w,23184,ぴらたび,1640,10か月前,10171,228
【新型RX４５０hl】夜の首都高ドライブをiphon11proで撮影してみた！！,/watch?v=AP4yC_m0BnY,14551,ぴらたび,1640,10か月前,10171,143
【LEXUS】新型RX４５０hlでドライブしてみた！２列目３列目シートも紹介します！,/watch?v=jLJutZGSBGc,27107,ぴらたび,1640,10か月前,10171,267
【絶景】グルメから絶景まで１日で楽しむ台中旅行！！！,/watch?v=C8ukkYzwSY0,534,ぴらたび,1640,11か月前,10171,5
【台北旅行】食べ歩き女子旅！！！オススメグルメご紹介！,/watch?v=E3ARPzvPXls,1063,ぴらたび,1640,11か月前,10171,10
台湾の中秋節がすごすぎた！！！,/watch?v=6XOHllhF_lA,297,ぴらたび,1640,11か月前,10171,3
