title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ベランダでニャルソック中の猫がこちらです-Here is the cat guarding on the balcony,/watch?v=D8EThs3ytXw,158,ふくすけ,2800,2日前,624,25
大好きなお母さんもキレイキレイしてあげる猫,/watch?v=NP5UQuSniQk,180,ふくすけ,2800,4日前,624,29
散歩猫ふくすけ思い出日記-Walking Cat Fukusuke's Memory Diary,/watch?v=8lCNNnNdMrk,152,ふくすけ,2800,6日前,624,24
真夏に愛猫とシソジュースを飲むだけ…。Just drink your cat and perilla juice in the middle of summer...,/watch?v=n8jdJIOZvKY,162,ふくすけ,2800,1週間前,624,26
"【悲報】耳掃除が大好きだったうちの猫に、初めて嫌がられました。My cat, who loved ear cleaning, hated me for the first time.",/watch?v=N0X22lGLdYw,521,ふくすけ,2800,1週間前,624,83
野良猫出身ふくすけの華麗なるジャンプがこちらです…(笑)-Here is the gorgeous jump of Fukusuke from Stray Cat…,/watch?v=LL1lXz6aAnE,149,ふくすけ,2800,1週間前,624,24
苦手なブラッシングを克服した猫がこちらです-Here is the cat that overcomes poor brushing,/watch?v=Lb2KE_3tGRM,260,ふくすけ,2800,2週間前,624,42
うちの猫に猫草をデリバリーしました！-Delivered cat grass to my cat!,/watch?v=oUhJDXru3t0,186,ふくすけ,2800,2週間前,624,30
うちの猫のひげ袋をマッサージした結果…The result of massaging my cat's whisker pad...,/watch?v=MkAobWHaeAM,355,ふくすけ,2800,2週間前,624,57
お母さんに甘えて離れない猫がかわいい-Cute cats that don't leave their mothers,/watch?v=D-qNrpMAL8g,304,ふくすけ,2800,2週間前,624,49
薬をつけられるのは嫌だけど健気に耐える猫がかわいい-Cute cats that don't like medicine,/watch?v=KWv0C5vBRIU,165,ふくすけ,2800,3週間前,624,26
【猫ケア】大人しい猫の体と肉球拭いたら嫌がられましたw-Cat body and paws care,/watch?v=kWirG_6OZq8,214,ふくすけ,2800,3週間前,624,34
甘えんぼ猫が数時間お留守番するとこうなります…If the spoiled cat is away for a few hours...,/watch?v=FaOUu3V4QvQ,237,ふくすけ,2800,3週間前,624,38
猫に白いとうもろこしをあげた結果…The result of giving the cat white corn...,/watch?v=eTxW6DENpts,179,ふくすけ,2800,3週間前,624,29
実は甘えん坊！腕に抱きつく猫がかわいい-Want to spoil⁉ The cat that hugs her arm is cute,/watch?v=a-wZsk_FkS4,267,ふくすけ,2800,4週間前,624,43
お返事上手な猫がかわいい-The cat who is good at replying is cute,/watch?v=WW2R8dt3pLE,236,ふくすけ,2800,1か月前,624,38
ソファーでくつろぐ猫の隣で歌を歌ったら…If you sing a song next to a cat relaxing on the sofa...,/watch?v=T4FxuJV1oAM,249,ふくすけ,2800,1か月前,624,40
猫にマッサージをねだられました！-The cat asked me for a massage!,/watch?v=2-8eBzNB6dE,747,ふくすけ,2800,1か月前,624,120
眠気に負けてしまった甘えんぼ猫がかわいい-The cat that lost sleepiness is cute,/watch?v=i2PFr-fjpU0,245,ふくすけ,2800,1か月前,624,39
頑張ってグルーミングする猫がかわいい-The cat that does its best to groom is cute,/watch?v=ylk7Lk1kLmc,193,ふくすけ,2800,1か月前,624,31
猫とお昼寝しちゃいます-Take a nap with a cat,/watch?v=BX6w1FvTyjM,205,ふくすけ,2800,1か月前,624,33
カリカリの後ちゅーる水をがぶ飲みする猫-Crispy water-slurping cat,/watch?v=hY9iBtqB2Oo,354,ふくすけ,2800,1か月前,624,57
猫を歯ブラシで撫でて癒してみます-Heal a cat with a toothbrush,/watch?v=wAadrYHKsHY,598,ふくすけ,2800,1か月前,624,96
うちの猫とシャッフルゲームした結果…。If you play a shuffle game with a cat...,/watch?v=9o1WZ_1lp1s,247,ふくすけ,2800,1か月前,624,40
朝ごはんの時間に起きない猫を起こしに行ったら…If you go to wake up a cat that doesn't get up at breakfast time...,/watch?v=MEEGCmRS0wE,378,ふくすけ,2800,1か月前,624,61
赤ちゃんみたいに寝かしつけられる猫がかわいい-Cat sleeping like a baby,/watch?v=2lAYFfqYv1Y,468,ふくすけ,2800,1か月前,624,75
布団にもぐって甘える猫がかわいい-A cute cat that hangs on a futon,/watch?v=hXRtmPtbGZg,397,ふくすけ,2800,1か月前,624,64
香箱座りを褒められちゃう猫-Catloaf,/watch?v=mMPaiy3HVYU,269,ふくすけ,2800,1か月前,624,43
かわいい鳴き声で猫が話しかけてきます-The cat talks with a cute bark,/watch?v=xzkrd_c87yI,523,ふくすけ,2800,1か月前,624,84
猫のマッサージサロンopenしました！Relaxing cat,/watch?v=udWoD8XiXVU,544,ふくすけ,2800,1か月前,624,87
初めてささみを食べた猫はこうなります…笑,/watch?v=t3XOkJzq7zw,312,ふくすけ,2800,2か月前,624,50
うちの猫が喜ぶ新マッサージはこれです-Cat massage,/watch?v=bucTn4vPFrQ,864,ふくすけ,2800,2か月前,624,138
もふ玉ボールで上手に遊ぶ猫がかわいい,/watch?v=lJYw2pD9Tbg,211,ふくすけ,2800,2か月前,624,34
これは猫の愛情表現「ゆっくりまばたき」なのだろうか…,/watch?v=jZ2SsTFw73E,430,ふくすけ,2800,2か月前,624,69
うちの猫がニャーニャー鳴いて困っています！【猫の鳴き声】My cat is squeaking and I'm in trouble!,/watch?v=K4lKqm_aiGM,338,ふくすけ,2800,2か月前,624,54
お昼寝するなら猫と一緒に限ります【猫のいる暮らし】,/watch?v=ThlLw8zmpLo,438,ふくすけ,2800,2か月前,624,70
うちの猫に肩甲骨マッサージしてみました！【かわいい寝相付き】,/watch?v=B_hn9KpyQio,667,ふくすけ,2800,2か月前,624,107
久しぶりの留守番がきっと寂しかった猫-A cat that was sure to be lonely after a long absence,/watch?v=aTTbImp-rCc,431,ふくすけ,2800,2か月前,624,69
換毛期の猫をブラッシングした結果…,/watch?v=CelPgmwCyWs,405,ふくすけ,2800,2か月前,624,65
猫のふくすけ今度はぷちぷちロードに挑戦！Bubble Wrap Challenge！,/watch?v=xe_8dr08k1U,256,ふくすけ,2800,2か月前,624,41
お母さんに抱っこさせてあげる猫,/watch?v=qt_Y6BdHjng,346,ふくすけ,2800,2か月前,624,55
ニャーと鳴いてコップの水を飲む猫がかわいい,/watch?v=sG20cUfY4Rk,461,ふくすけ,2800,2か月前,624,74
遠慮がちだった保護猫が甘えん坊猫になりました,/watch?v=HI7wfNOKoM4,496,ふくすけ,2800,3か月前,624,79
鳴いている猫を無視した結果は…,/watch?v=xX4lI8dkMac,529,ふくすけ,2800,3か月前,624,85
猫のふくすけトランプの道に挑戦！,/watch?v=JzUOKoOy7Vw,350,ふくすけ,2800,3か月前,624,56
【猫の鳴き声】強気なニャーと控えめなニャー Bullish meow and unobtrusive meow,/watch?v=fHTRTEyfrqk,607,ふくすけ,2800,4か月前,624,97
息子に励まされノミダニ予防のお薬を頑張る猫【ご褒美付き】,/watch?v=5esWZOWNjUA,288,ふくすけ,2800,4か月前,624,46
猫に家での過ごし方を聞いてみたら…【おいなりさん付き】,/watch?v=kB1-jcP2jpI,359,ふくすけ,2800,4か月前,624,58
お風呂は苦手なのに我慢する猫がかわいい,/watch?v=Qu0SpW9tjVE,367,ふくすけ,2800,4か月前,624,59
ぎゅ～！飼い主に甘える猫の様子がかわいい-The appearance of a cat that is sweet to its owner is cute,/watch?v=pjVIXUAO3gQ,1489,ふくすけ,2800,4か月前,624,239
ボス猫に遭遇！必死で威嚇、怒って鳴く猫,/watch?v=I5-c7SZUg2U,529,ふくすけ,2800,4か月前,624,85
