title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】お散歩,/watch?v=ZzwG9xmHJbw,14,ぶなしめじ,25,1週間前,123,11
【ASMR】お風呂の音,/watch?v=0CI3ayNf8rM,33,ぶなしめじ,25,2週間前,123,27
【ASMR】ハンドムーブメント,/watch?v=rCgGvnuLWkg,81,ぶなしめじ,25,3週間前,123,66
【ASMR】ポテチ咀嚼音,/watch?v=DHXZzcj2hh8,41,ぶなしめじ,25,3週間前,123,33
【ASMR】コルクボードの音,/watch?v=xxXnhIQzoo8,33,ぶなしめじ,25,3週間前,123,27
【ASMR】マウスサウンド,/watch?v=p0814-kcOzc,109,ぶなしめじ,25,3週間前,123,89
【ASMR】タイピング,/watch?v=IaM1yP7oC1U,79,ぶなしめじ,25,1か月前,123,64
【ASMR】自己紹介（囁き＆質問受付中）,/watch?v=bKLJkUZUI78,155,ぶなしめじ,25,1か月前,123,126
【ASMR】書く音,/watch?v=XzDv9IeD-FI,51,ぶなしめじ,25,1か月前,123,41
【ASMR】夏の音,/watch?v=UTJ4CZHyUUU,59,ぶなしめじ,25,1か月前,123,48
【ASMR】耳かきで引っ掻く音,/watch?v=rS6Yo_xRB7U,332,ぶなしめじ,25,1か月前,123,270
【ASMR】水の音,/watch?v=dnR9nvBAVQU,261,ぶなしめじ,25,1か月前,123,212
【ASMR】タッピング,/watch?v=dA1vrWwFs3s,349,ぶなしめじ,25,1か月前,123,284
