title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
謎動画！,/watch?v=99XOX3mayPU,2,ぶんたときーすと僕,2,3か月前,6,33
勉強する猫,/watch?v=zH0_fkzBx2Y,2,ぶんたときーすと僕,2,3か月前,6,33
シーバ最強説！めっちゃ猫が鳴きます！,/watch?v=dRIxGxFr4WE,1,ぶんたときーすと僕,2,3か月前,6,17
家作ったった,/watch?v=s5JkwIftmOw,0,ぶんたときーすと僕,2,3か月前,6,0
プリンを食べる猫,/watch?v=NVX6z9xz01c,4,ぶんたときーすと僕,2,3か月前,6,67
【ASMR 】猫のご飯の咀嚼音,/watch?v=X2w1e7o7gmw,26,ぶんたときーすと僕,2,3か月前,6,433
ぶんたが体舐めすぎな件について笑笑,/watch?v=rdtR5ciQJzg,1,ぶんたときーすと僕,2,3か月前,6,17
報告,/watch?v=Eh2wZ94e-58,11,ぶんたときーすと僕,2,3か月前,6,183
だらだらする猫はコチラ,/watch?v=XfccQGB2c0w,5,ぶんたときーすと僕,2,3か月前,6,83
【マイクラ】着いてすぐにまさかの〇〇！！,/watch?v=cpF9xyZFpmQ,1,ぶんたときーすと僕,2,3か月前,6,17
本日はきーすの紹介です！,/watch?v=LGlVgnTPkSs,2,ぶんたときーすと僕,2,3か月前,6,33
本日からチャンネルを開設いたします,/watch?v=r0cVb2Hzx80,13,ぶんたときーすと僕,2,3か月前,6,217
