title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】春巻きつくったよー♪【咀嚼音】 /Eating spring rolls,/watch?v=uFY9uhNu4Xg,18,みいさん Meeesan ASMR CHANNEL,,4か月前,38,47
【ASMR】7-ELEVENのSandwichをむしゃります♪【咀嚼音】 /Eating sandwich,/watch?v=Mate3FBfejk,20,みいさん Meeesan ASMR CHANNEL,,4か月前,38,53
【ASMR】コンビニのフライドチキンを制覇します！！【咀嚼音】 /Eating fried chicken,/watch?v=8hg65ze-obg,26,みいさん Meeesan ASMR CHANNEL,,4か月前,38,68
【ASMR】シャキシャキスライムを切ったよ【音フェチ】/Melamine sponge slime,/watch?v=Qoi55ihkxqg,48,みいさん Meeesan ASMR CHANNEL,,4か月前,38,126
【ASMR】Costcoのピクルス食べまーす♪【咀嚼音】 /Eating pickles,/watch?v=EcPWyV0M2do,56,みいさん Meeesan ASMR CHANNEL,,5か月前,38,147
【ASMR】あわもこもこ＆TOPPO【咀嚼音】 /Japanese candy & snacks,/watch?v=h7wvtloQLlA,18,みいさん Meeesan ASMR CHANNEL,,5か月前,38,47
【ASMR】磁石の音が気持ちいい件【音フェチ】/Magnet play,/watch?v=nLVK7PVUA54,12,みいさん Meeesan ASMR CHANNEL,,5か月前,38,32
【ASMR】ごつ盛り焼きそばいただきまーす【咀嚼音】 /Instant fried noodles,/watch?v=L10x435bPOc,103,みいさん Meeesan ASMR CHANNEL,,5か月前,38,271
【ASMR】トルティーヤスナックいただきまーす【咀嚼音】 /Eat Tortilla snack,/watch?v=EcTznjf7EJI,13,みいさん Meeesan ASMR CHANNEL,,5か月前,38,34
【ASMR】スライムつくってみたよ【音フェチ】/Make slime,/watch?v=evChKgAtTpo,15,みいさん Meeesan ASMR CHANNEL,,5か月前,38,39
【ASMR】プチプチをたくさんつぶしてみたよ【音フェチ】/Bubble wrap,/watch?v=8cBw38ngatI,30,みいさん Meeesan ASMR CHANNEL,,5か月前,38,79
【ASMR】Slimy（スライム）で遊んでみたよ(*^^*)【音フェチ】/Slime Video,/watch?v=XRLLxMBFc2I,13,みいさん Meeesan ASMR CHANNEL,,5か月前,38,34
【ASMR】大判えびせんべいを食べてみました【咀嚼音】/Shrimp cracker,/watch?v=8cb1db5eraA,21,みいさん Meeesan ASMR CHANNEL,,5か月前,38,55
【ASMR】いちごアメ！！もどきを食べました【咀嚼音】/Strawberry,/watch?v=KltuPpz0GAI,11,みいさん Meeesan ASMR CHANNEL,,5か月前,38,29
【ASMR】チーズハットッグを作ってみました♡【咀嚼音】/cheese hot dog,/watch?v=34PDCcB8NXw,26,みいさん Meeesan ASMR CHANNEL,,5か月前,38,68
【ASMR】海苔をパリパリ！おにぎりセットをたべました【咀嚼音】/Seaweed＆rice ball,/watch?v=fKtN44ilHAM,24,みいさん Meeesan ASMR CHANNEL,,5か月前,38,63
【ASMR】カルビー/じゃがりこをたべました【咀嚼音】/Japanese snacks,/watch?v=3y2yoVrJmQ8,33,みいさん Meeesan ASMR CHANNEL,,5か月前,38,87
【ASMR】生野菜をたべました【咀嚼音】/Raw vegetables,/watch?v=duzl2VzGZxU,36,みいさん Meeesan ASMR CHANNEL,,5か月前,38,95
【ASMR】DAISOのパチパチパニック！をたべました【咀嚼音】/Japanese  crackling candy by DAISO,/watch?v=KQIgv6N8HyE,20,みいさん Meeesan ASMR CHANNEL,,5か月前,38,53
【ASMR】つけものを白ごはんでいただきます【咀嚼音】/Japanese pickles＆rice,/watch?v=FynIhpfDEBA,65,みいさん Meeesan ASMR CHANNEL,,5か月前,38,171
【ASMR】カプリコ＆ウメトラ兄弟をたべてみたよ【咀嚼音】/Japanese Snacks（Snack shaped like ice cream＆Plum dried snacks）,/watch?v=6bkSk45C6Gs,146,みいさん Meeesan ASMR CHANNEL,,5か月前,38,384
【ASMR】ポリンキーをたべる【咀嚼音】 /Eat Japanese snacks,/watch?v=F3OrIxKZRRw,88,みいさん Meeesan ASMR CHANNEL,,5か月前,38,232
