title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【みこいす】夏恋花火 踊ってみた,/watch?v=zpNjaKQqCYo,316,みこいす/八田 拳,3130,1週間前,2139,15
ぼっち男子と1時間作業しようの動画。【作業用】,/watch?v=2GP1t4qehHs,220,みこいす/八田 拳,3130,2週間前,2139,10
ダンス未経験者踊り手の【オリジナル振付】はどんな風に作ってるの？,/watch?v=wZDtmyTHTGg,409,みこいす/八田 拳,3130,2週間前,2139,19
【みこいす】No.1　踊ってみた,/watch?v=bcUVV-9QpXc,531,みこいす/八田 拳,3130,3週間前,2139,25
【みこいす】MARETU - 失敗作少女　踊ってみた【オリジナル振付】,/watch?v=xovWT5WD514,1097,みこいす/八田 拳,3130,3週間前,2139,51
【ぼっち飯】ひとりで豚の角煮を作って食べる。,/watch?v=wXZQIf00Glo,203,みこいす/八田 拳,3130,1か月前,2139,9
僕のみんなの味方の美容室。,/watch?v=v6kVnZLKAuY,426,みこいす/八田 拳,3130,1か月前,2139,20
【洋裁】いりぽん先生のお洋服をリメイクします。,/watch?v=-Qr3Tpx7Fjo,517,みこいす/八田 拳,3130,1か月前,2139,24
カレーを食べて幸せになろうの会（？）,/watch?v=gqC20rMERJE,191,みこいす/八田 拳,3130,1か月前,2139,9
【元デブ】約70kgが49kgになった男子高校生の頃の話【ダイエット】,/watch?v=mI7vNAwSx1I,1022,みこいす/八田 拳,3130,1か月前,2139,48
料理ができればぼっちでも良い？説。,/watch?v=DRO-74rNZL4,217,みこいす/八田 拳,3130,1か月前,2139,10
ぼっちで陰キャたる由縁。「質問・自己紹介動画」,/watch?v=wmtPYLHPgaI,636,みこいす/八田 拳,3130,1か月前,2139,30
陰キャの時短男子ぼっち飯、ちゃっちゃかオムライス,/watch?v=yNsjOqIDvQg,230,みこいす/八田 拳,3130,1か月前,2139,11
【みこいす】キャラルラ　踊ってみた【オリジナル振付】,/watch?v=mXYDE4kbY6o,1346,みこいす/八田 拳,3130,1か月前,2139,63
【みこいす】サイファイエクスタシー　踊ってみた【オリジナル振付】,/watch?v=0WLExXfSkxI,909,みこいす/八田 拳,3130,2か月前,2139,42
陽キャに負けない？陰キャ男子の一人ご飯。,/watch?v=G3Xn-H-5rjM,566,みこいす/八田 拳,3130,2か月前,2139,26
アンドロイドがアゲリシャスダンス 踊ってみた,/watch?v=fjLxFM81AfY,1324,みこいす/八田 拳,3130,3か月前,2139,62
フリルを説明しながら作っていく。,/watch?v=kqSUCKPbMes,707,みこいす/八田 拳,3130,3か月前,2139,33
【みこいす】Hand in Hand【踊ってみた】,/watch?v=bYkxcI8CF8M,903,みこいす/八田 拳,3130,4か月前,2139,42
【みこいす】孤独の宗教　踊ってみた【オリジナル振付】,/watch?v=liHWoBw6kfQ,14067,みこいす/八田 拳,3130,4か月前,2139,658
【ASMR】初めての耳かき動画【音フェチ】,/watch?v=Lha-yvZQlBo,1302,みこいす/八田 拳,3130,4か月前,2139,61
【にしみ×みこいす×もっちゃぬ】自傷無色　踊ってみた,/watch?v=lBT03iW6xW8,718,みこいす/八田 拳,3130,4か月前,2139,34
【香月杏珠】チューリングラブ　踊ってみた【みこいす 】,/watch?v=ZKfVwfBeLT0,6290,みこいす/八田 拳,3130,4か月前,2139,294
【みこいす×りっくん】なりすましゲンガー　踊ってみた,/watch?v=2F6KetIuJ4k,792,みこいす/八田 拳,3130,5か月前,2139,37
【みこいす】ビターチョコデコレーション【踊ってみた】,/watch?v=PgQUghrsEXA,3351,みこいす/八田 拳,3130,5か月前,2139,157
【みこいす】サラバイサラバイ【踊ってみた】,/watch?v=jz7ryMF_A-g,531,みこいす/八田 拳,3130,5か月前,2139,25
【みこいす】猫猫的宇宙論　踊ってみた【オリジナル振付】,/watch?v=NMp8mOY_Q0Q,5314,みこいす/八田 拳,3130,5か月前,2139,248
【ASMR】甘いのすっぱいの天国の巻-板チョコアイス-【モッパン】,/watch?v=Th-vocQ2Fi4,954,みこいす/八田 拳,3130,6か月前,2139,45
【みこいす】アンヘル【踊ってみた】,/watch?v=UO3sUteyLR8,2449,みこいす/八田 拳,3130,6か月前,2139,114
【みこいす】ぶれないアイで　縦で踊ってみた,/watch?v=g-UQRWkLwLc,695,みこいす/八田 拳,3130,6か月前,2139,32
【ASMR】寝起きで朝ごはん-えのき編-【モッパン】,/watch?v=e-HbD8PKztA,810,みこいす/八田 拳,3130,6か月前,2139,38
【ASMR】20代男性の、睡眠導入おやすみ動画-自己紹介編-【みこいす】,/watch?v=6x4Zx-7VWt0,906,みこいす/八田 拳,3130,6か月前,2139,42
【みこいす】かいしんのいちげき!【踊ってみた】,/watch?v=x8Ef8W-u5Oo,1726,みこいす/八田 拳,3130,7か月前,2139,81
【香月杏珠】子捨て山　踊ってみた【みこいす 】,/watch?v=4V6W3Rpx6lE,1289,みこいす/八田 拳,3130,7か月前,2139,60
【ASMR】みこいす、チーズドッグを作って食べるの巻【モッパン】,/watch?v=KnehjLLyPSc,900,みこいす/八田 拳,3130,7か月前,2139,42
【ASMR】コミュ障が、チキンを食べる動画【モッパン】,/watch?v=4rFj-JM5f0s,970,みこいす/八田 拳,3130,7か月前,2139,45
【みこいす 】ランウェイのファンタジスタ　踊ってみた【自作衣装】,/watch?v=_vhTJlJCDIE,955,みこいす/八田 拳,3130,7か月前,2139,45
【20代男性踊り手】みこいす のモーニングルーティーン,/watch?v=YkdRvejHPX0,1057,みこいす/八田 拳,3130,7か月前,2139,49
【オリジナル振付】才能なんか　踊ってみた【みこいす】,/watch?v=0MDMYR_m-_E,2292,みこいす/八田 拳,3130,8か月前,2139,107
【なひ×みこいす】ゴキブリの味 踊ってみた【オリジナル振付】,/watch?v=6BCyoTLj1aw,12372,みこいす/八田 拳,3130,9か月前,2139,578
【オリジナル振付】ヤミツキ　踊ってみた【みこいす】,/watch?v=HFxlbIP_zDQ,1988,みこいす/八田 拳,3130,9か月前,2139,93
【みこいす 】再会　踊ってみた【夏の夜】,/watch?v=Tu2-AyORR2w,1085,みこいす/八田 拳,3130,10か月前,2139,51
【みこいす】ディスコミュ星人【踊ってみた】,/watch?v=xIaM3UaNURo,2013,みこいす/八田 拳,3130,11か月前,2139,94
【4周年オリジナル振付】さよーならみなさん 歌って踊ってみた 【みこいす】,/watch?v=R4159iPybJ4,1336,みこいす/八田 拳,3130,11か月前,2139,62
