title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[エペ」頑張りたい！！参加不可,/watch?v=DzhGYrUq8Mg,19,みたらし団子。,98,1週間前,57,33
[エペ」頑張りたい！！参加おけ,/watch?v=OEXPX5Fc1sU,22,みたらし団子。,98,1か月前,57,39
シージ　頑張る　参加型,/watch?v=KmuZ2LQs4iE,16,みたらし団子。,98,2か月前,57,28
シージ　頑張る　参加型,/watch?v=4hUR_sNdvCA,46,みたらし団子。,98,2か月前,57,81
シージ　頑張る,/watch?v=a7eKK-tXAFQ,20,みたらし団子。,98,2か月前,57,35
[シージ」頑張りたい！！参加おけ,/watch?v=J9qG4RDRt7Y,26,みたらし団子。,98,2か月前,57,46
レインボーシックス　シージ_20200530163125,/watch?v=zi4nIBUAy1I,19,みたらし団子。,98,2か月前,57,33
レインボーシックス　シージ_20200530162901,/watch?v=OjdUEQ7nmGU,11,みたらし団子。,98,2か月前,57,19
[シージ」頑張りたい！！参加おけ,/watch?v=sx7U0MWnCho,92,みたらし団子。,98,2か月前,57,161
シージ　頑張る,/watch?v=l2luNmidBXk,30,みたらし団子。,98,2か月前,57,53
シージ　頑張る　声なかった.......,/watch?v=LuTR96lAdfo,20,みたらし団子。,98,2か月前,57,35
シージ　頑張る,/watch?v=TTSp72oJE9g,16,みたらし団子。,98,2か月前,57,28
レインボーシックスシージ  ランク頑張る,/watch?v=uUvOtNmuBDs,46,みたらし団子。,98,2か月前,57,81
[シージ」頑張りたい！！,/watch?v=ulcfgmfBg20,53,みたらし団子。,98,3か月前,57,93
[シージ」頑張りたい！！,/watch?v=E07u4gLG4Hc,29,みたらし団子。,98,3か月前,57,51
[シージ」頑張りたい！！,/watch?v=rvaQvEk53Ts,61,みたらし団子。,98,3か月前,57,107
[シージ」頑張りたい！！　酔いつぶれまそー,/watch?v=nqDajn0LVT4,40,みたらし団子。,98,3か月前,57,70
[シージ」弟と二人で練習　さんかふか,/watch?v=xx1h0wIfBH0,18,みたらし団子。,98,3か月前,57,32
