title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ダイソーで買ったネズミちゃんで愛猫を遊ばせてみた,/watch?v=n88bL_x19C4,15,みやネコチャンネル,,3か月前,20,75
愛猫のごはんと呼びかけたときの反応と咀嚼音を撮ってみた,/watch?v=saYAvb2ih50,11,みやネコチャンネル,,3か月前,20,55
ダイソーで売ってた猫じゃらしで愛猫と戯れてみた♪,/watch?v=utDt9fybNJY,13,みやネコチャンネル,,3か月前,20,65
愛猫に健康器具を試してみた！思わぬ反応！？笑,/watch?v=0yR8URBJKZY,45,みやネコチャンネル,,3か月前,20,225
悪戦苦闘！！大っ嫌いなお風呂に入れてみたら壮絶だった！,/watch?v=-VI-19umCik,33,みやネコチャンネル,,3か月前,20,165
大嫌いなブラッシング中に文句を言いつつ一瞬喋る猫,/watch?v=Sple719ibXc,55,みやネコチャンネル,,4か月前,20,275
自宅で簡単DIY 猫のおもちゃ作り,/watch?v=da_VcNm9UbI,37,みやネコチャンネル,,4か月前,20,185
愛猫レンの４種特技！！お手おかわりごろん待て猫動画,/watch?v=SjRKXDGgN_8,43,みやネコチャンネル,,4か月前,20,215
愛猫のしっぽを触ってちょっかいかけてみた結果・・・,/watch?v=Zv1zxLeaLmk,9,みやネコチャンネル,,4か月前,20,45
猫が電子猫じゃらしと遊ぶ面白アプリ,/watch?v=VW4NKAaY98k,14,みやネコチャンネル,,4か月前,20,70
愛猫レンちゃん♂のふみふみ動画,/watch?v=P6euCxtig6s,4,みやネコチャンネル,,4か月前,20,20
愛猫レンのごはん合図,/watch?v=TTclBM4zv1M,2,みやネコチャンネル,,4か月前,20,10
お金をかけずに猫を楽しませる小道具,/watch?v=8xlxusrm7kc,11,みやネコチャンネル,,4か月前,20,55
愛猫レンちゃん♂のご飯時のお手おかわりごろん,/watch?v=jJVsJJP5Mzo,4,みやネコチャンネル,,4か月前,20,20
お風呂上がりのロシアンブルーのレンちゃん,/watch?v=zy6gdXZYtyI,4,みやネコチャンネル,,4か月前,20,20
