title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【3Dお披露目】ありがとう！！！めいでん3Dになりました！！！！！,/watch?v=_Hvk-oc5pCw,15735,めいでん,37700,5か月前,20518,77
【DBD】コラボ🎃悲鳴！？号泣！？恐怖のハロウィンナイト👻,/watch?v=d3gwZxdwGeQ,4975,めいでん,37700,9か月前,20518,24
【DBD】飲んで飲んで逃げる。,/watch?v=nmWCMBo-qdc,7935,めいでん,37700,9か月前,20518,39
一週間はじまりましたね！【雑談】,/watch?v=SCHPZg6pTHE,3318,めいでん,37700,9か月前,20518,16
"🔴最後の【ASMR】浴衣でぬくぬく膝枕♡Ear Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=fVMJFDLfEU8,26740,めいでん,37700,9か月前,20518,130
【DbD】3人のでばでば～～～～！！！,/watch?v=rru6GFQJGIE,1668,めいでん,37700,9か月前,20518,8
"🔴いたずらにゃんこ【ASMR】Ear Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=GgqadDGbY44,24749,めいでん,37700,10か月前,20518,121
【お披露目】浴衣実装！めいでんちゃん💙,/watch?v=oaeHZy_eGoU,2543,めいでん,37700,10か月前,20518,12
【DBD】最初から最後まで本気！,/watch?v=2ZKnfUUDH1w,1870,めいでん,37700,10か月前,20518,9
"【ASMR】嵐の夜に妹が…♡Ear Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=-U4gVnUACXo,35636,めいでん,37700,10か月前,20518,174
【大公開】ぱんちゃまデザイン✨新衣装案発表～！,/watch?v=EfQJR2xfBfs,3081,めいでん,37700,10か月前,20518,15
"🔴【ASMR】あなたに密着♡Ear Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=zkBiPdcpG1Y,43874,めいでん,37700,11か月前,20518,214
"🔴【ASMR】たまにはまったりEarEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=wa8QMFRElEY,28175,めいでん,37700,11か月前,20518,137
【DBD】ご教授願います！枠！！！！！！！！！,/watch?v=MYkWrvclF5k,1457,めいでん,37700,11か月前,20518,7
"🔴うざかわいい耳かきバイノーラルEarEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=THzjSYaLLms,27136,めいでん,37700,11か月前,20518,132
めいでん一周年を迎えました！振り返り放送はしない方がいい。,/watch?v=KMEwZtbb-Wk,3824,めいでん,37700,11か月前,20518,19
🔴【ASMR】一周年前夜祭は花火デート🎆,/watch?v=APGdu6xXYPY,5946,めいでん,37700,11か月前,20518,29
【大公開】バーチャル建築士Raptさんにお部屋を作ってもらった！！！,/watch?v=SBHcpZWL-3k,2239,めいでん,37700,11か月前,20518,11
"🔴【ASMR】３DIOお披露目バイノーラルEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=UH3i9B7mB_w,34022,めいでん,37700,11か月前,20518,166
めいまよ姉妹コラボ🥗⛓姉妹のあれこれ,/watch?v=MGjf8MTQYMU,6270,めいでん,37700,1年前,20518,31
"【ASMR/年齢制限】後半あまえんぼバイノーラルEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=lH-cND1516c,98339,めいでん,37700,1年前,20518,479
"【ASMR】前半～あまえんぼバイノーラルEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=rAUVdBpSPUU,28177,めいでん,37700,1年前,20518,137
"【ASMR】オノマトペバイノーラルEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=Rkw3IIOsubg,23769,めいでん,37700,1年前,20518,116
"【ASMR】はむちゅうバイノーラルお耳お掃除ですEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=Y3KlBBasYz8,59703,めいでん,37700,1年前,20518,291
初コラボ！めいまよ姉妹🥗💙,/watch?v=uOKCMp7qgds,4117,めいでん,37700,1年前,20518,20
"【ASMR】がんばったキミへバイノーラルEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=5uH-qEN7jlE,75966,めいでん,37700,1年前,20518,370
"【ASMR】💙氷に炭酸💙お耳が気持ちいいEar Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=DuHd0XNA4uc,25652,めいでん,37700,1年前,20518,125
【ASMR】💙ご報告と耳元とあまあまトーク【Binaural/whispering/Ear Cleaning】,/watch?v=DnfU8KdNkoA,19896,めいでん,37700,1年前,20518,97
💙ギリギリアウトなおえかきの森コラボ🍼,/watch?v=-USXn5_ZxVI,3174,めいでん,37700,1年前,20518,15
【お知らせ】💙アイドルとショタはすきかあああああ！！！！！！！！！！,/watch?v=PTLZQDMMsaE,3706,めいでん,37700,1年前,20518,18
💙異世界の美少女を探そうよ【バレットガールズ ファンタジア】,/watch?v=fFRjhzXhM4c,2989,めいでん,37700,1年前,20518,15
【桃太郎電鉄】もちろん大富豪ですわ🍑,/watch?v=CeR-DLzTprk,2213,めいでん,37700,1年前,20518,11
💙たまには外に出るのもいい。,/watch?v=9glUm1nqO0U,4466,めいでん,37700,1年前,20518,22
"【ASMR】徹夜明けオタクにお耳お掃除💙Ear Blowing,Triggers For Sleep【Binaural/whispering/ear massage/Ear Cleaning】",/watch?v=VOhhu2jTQUk,21109,めいでん,37700,1年前,20518,103
