title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ご報告】みなさんにお伝えしたいことがあります。,/watch?v=dis6J246nVA,26321,やまもとゆな,73400,2週間前,32675,81
【ASMR】ネイルタッピングしてみた！！,/watch?v=7hHJzceEsPI,17175,やまもとゆな,73400,2か月前,32675,53
最新のカバンの中身紹介します！【What's in my bag】,/watch?v=DaNNUoxzgSU,18788,やまもとゆな,73400,2か月前,32675,57
【未公開】最近すぐ眠くなっちゃうので困ってます。,/watch?v=VFQGswjwcVQ,11550,やまもとゆな,73400,2か月前,32675,35
【簡単】セルフネイルのやり方紹介！【お家サロン】,/watch?v=c11Hp3aVHMo,6617,やまもとゆな,73400,2か月前,32675,20
新しく購入したコスメを紹介！お気に入りコスメも！,/watch?v=oGWwyeEEEnA,10116,やまもとゆな,73400,2か月前,32675,31
【ボブ】私の普段のヘアセット方法~Everyday hairstyle~,/watch?v=6pYTF7H87bE,43350,やまもとゆな,73400,3か月前,32675,133
超ビビリが人生初のピアスを開けてみた,/watch?v=cUs9NvNeBcQ,45813,やまもとゆな,73400,3か月前,32675,140
【おうちカフェ】フルーツたくさんのクレープ作ってみた！,/watch?v=v0EQ6biKC7w,15785,やまもとゆな,73400,3か月前,32675,48
毎日のスキンケア方法紹介するよ〜,/watch?v=oEs0kp37954,20874,やまもとゆな,73400,3か月前,32675,64
【超簡単】材料４つで出来るチョコスコーンを作ってみた【おうちカフェ】,/watch?v=njOV5QtMwAs,11526,やまもとゆな,73400,3か月前,32675,35
ASMR！大好きなケンタッキー食べたよ！,/watch?v=wgVsVrM6UhE,16957,やまもとゆな,73400,3か月前,32675,52
おうちで量産型メイクしてみたらぴえん超えてぱおん🥺💓,/watch?v=8rigj_lGp9o,15847,やまもとゆな,73400,3か月前,32675,48
【学生必見！】学校でバレない！？スクールメイク教えます！,/watch?v=U4yhZGn6MAE,147238,やまもとゆな,73400,4か月前,32675,451
