title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ドッキリ】妻に内緒で高額ゲーム買ったらバレました…,/watch?v=0enaoFsdlEE,76644,るぅきぃ夫婦,34900,1週間前,175266,44
【購入履歴】夫のAmazon履歴調べたらこんなもの買ってたの？,/watch?v=RBUNIeVXDhA,41989,るぅきぃ夫婦,34900,2週間前,175266,24
【子ども編】家で気をつけてる10の事！【るぅきぃ宅】,/watch?v=gYeyCH3MSEY,70959,るぅきぃ夫婦,34900,2週間前,175266,40
あなたと結婚してよかった…♡,/watch?v=9V3xpzEPI8U,140926,るぅきぃ夫婦,34900,1か月前,175266,80
【七夕】家族で短冊作って2人の密かにしてた願い事を…。,/watch?v=22RLiPwhS9g,31881,るぅきぃ夫婦,34900,1か月前,175266,18
【タトゥー】優しい旦那は怒る?!怒らない?!,/watch?v=HLmFBELCAFY,79325,るぅきぃ夫婦,34900,1か月前,175266,45
【GRWM】ゆる〜く一緒に準備しませんか？♡,/watch?v=Wou-yn4IlpY,158483,るぅきぃ夫婦,34900,1か月前,175266,90
2人で協力してどこまで出来る？【ストレッチ】【ペアヨガ】,/watch?v=OHhA9SeHJas,67203,るぅきぃ夫婦,34900,1か月前,175266,38
この際だから嫌な所を言い合おう！！,/watch?v=l71JmfResMA,131098,るぅきぃ夫婦,34900,2か月前,175266,75
旦那が好きなショートに内緒でしちゃいました♡♡,/watch?v=wHd0UYUpbqs,233527,るぅきぃ夫婦,34900,2か月前,175266,133
【紹介】仲良く？夫婦かばんのリアル中身を紹介しましょっ♡,/watch?v=kcnsO3UbKqY,59171,るぅきぃ夫婦,34900,2か月前,175266,34
【再現】お家で簡単に作れるフローズンアイスシェイクが美味しすぎた...❤,/watch?v=EmGXsZboMvg,78197,るぅきぃ夫婦,34900,2か月前,175266,45
【大失敗】【ドッキリ】リモートワークの夫が妻に隠れてゲームばっかりやっていたら…？,/watch?v=W-zYvEC8z8Q,127608,るぅきぃ夫婦,34900,2か月前,175266,73
【書斎】【DIY】在宅ワークの旦那にデスクをプレゼント！！,/watch?v=3NgFMrJ-rmU,106561,るぅきぃ夫婦,34900,2か月前,175266,61
【GU】【通販】夏の激安購入品紹介！！,/watch?v=Nuf65LZTpB0,88457,るぅきぃ夫婦,34900,2か月前,175266,50
【カラオケ】【おうち時間】夫婦で90点は出せるのか…？！,/watch?v=UYBXU12K5O8,117825,るぅきぃ夫婦,34900,3か月前,175266,67
【母の日】【極上】大好きな妻へ、、、♡,/watch?v=BNrhlikf0QI,89962,るぅきぃ夫婦,34900,3か月前,175266,51
【衣替え】【子ども部屋】気分転換にお部屋を模様替え！！,/watch?v=YwxVY6gpeMg,116761,るぅきぃ夫婦,34900,3か月前,175266,67
【1週間コーデ】春夏のおうちコーデをご紹介！！,/watch?v=9V0wHwxNAkg,72866,るぅきぃ夫婦,34900,3か月前,175266,42
【モニタリング】夫が酔っ払って超面倒臭くなった嫁の反応は！？,/watch?v=KHKEJM-U0lg,189996,るぅきぃ夫婦,34900,3か月前,175266,108
私たちとオンライン飲み会しませんか…？♡【お酒】【夫婦】,/watch?v=nshAPLpmVno,88415,るぅきぃ夫婦,34900,3か月前,175266,50
【お家時間】私たち夫婦の家での過ごし方！！,/watch?v=HKnfhYNEwro,109783,るぅきぃ夫婦,34900,3か月前,175266,63
【夫婦】カップルや夫婦の恋愛の悩みを答えていきます！！【質問】,/watch?v=6u1rXRdRLp0,117430,るぅきぃ夫婦,34900,4か月前,175266,67
【仲良し】メイク無知識な夫が奥さんの毎日メイクを大紹介、、！【夫婦】,/watch?v=6_X9Mjm2OGg,60183,るぅきぃ夫婦,34900,4か月前,175266,34
【暴露】夫婦になるとLINEのやりとりはこんなものですよ。。♡【ノロケあり】,/watch?v=gIniNu7CAZM,201949,るぅきぃ夫婦,34900,4か月前,175266,115
【ダルゴナ】【ベビーカステラ】夫婦のおやつタイム…♡,/watch?v=MgwKMtE-GQY,118686,るぅきぃ夫婦,34900,4か月前,175266,68
【モニタリング】くっついて離れない妻！夫はいつドッキリだと気づく！？,/watch?v=803WJrCUsss,328506,るぅきぃ夫婦,34900,4か月前,175266,187
【縫わない】【100均】夫婦で仲良くマスク作り！！,/watch?v=0o7eeQ4EtDM,56701,るぅきぃ夫婦,34900,4か月前,175266,32
【BAD GUY】夫婦で本気で踊ってみました。。【NGあり】,/watch?v=KwqfRtigA5M,511349,るぅきぃ夫婦,34900,4か月前,175266,292
【GU】プチプラの激安パジャマを夫婦で大紹介！【購入品】,/watch?v=JINCvJn6zz0,120349,るぅきぃ夫婦,34900,4か月前,175266,69
【24時間】今日は奥さんがやってることを全て夫がやります！【るぅきぃ夫婦】,/watch?v=BBZ_6OwWY0g,87862,るぅきぃ夫婦,34900,4か月前,175266,50
【ルームツアー】るぅきぃ夫婦の衣装部屋はこんな風に使ってます！【新居公開】【3人家族】,/watch?v=tW-QK1Quc_U,86439,るぅきぃ夫婦,34900,4か月前,175266,49
【お父さん】いつも頑張ってくれてありがとう♡,/watch?v=oN9ssDx5Zhk,100040,るぅきぃ夫婦,34900,4か月前,175266,57
【完全密着】るぅきぃ夫婦の1日の過ごし方を大公開しちゃうよ！【カップル】,/watch?v=8wbcrq-lH3Y,244756,るぅきぃ夫婦,34900,5か月前,175266,140
【チャス】いつもやってる挨拶を何回録り直したら奥さんは切れるのか？【嫁可愛い】,/watch?v=xsCP1VWBE4M,57029,るぅきぃ夫婦,34900,5か月前,175266,33
【大公開】夫婦のインスタ加工はアプリ1個で完成してます…❤️,/watch?v=Q1LU3idXUTg,81497,るぅきぃ夫婦,34900,5か月前,175266,46
【サプライズ】奥さんに感謝の気持ちを改めて伝えました。いつもありがとう。,/watch?v=j3QcPJ6tp18,91716,るぅきぃ夫婦,34900,5か月前,175266,52
【足痩せ】息子が寝た後に毎日してる夫婦簡単な美ボディタイム！！【ダイエット】,/watch?v=JXU19owrjcU,84750,るぅきぃ夫婦,34900,5か月前,175266,48
【大食い】夫婦で1kgものチキンをたいらげてやったぜ！！【コストコ】,/watch?v=KCpK2bLR2E4,81568,るぅきぃ夫婦,34900,5か月前,175266,47
【バレンタイン】いつも頑張ってる夫に手作りサプライズプレゼント♡【解説あり】,/watch?v=K92IV0jkJCc,142426,るぅきぃ夫婦,34900,6か月前,175266,81
【大暴露】るぅきぃ夫婦の出産から１歳までの子育て話！！後半戦！！【若年】,/watch?v=ies2DlYQNRA,132146,るぅきぃ夫婦,34900,6か月前,175266,75
【大暴露】若くして産んだ夫婦の悩みを全て語ります。【初公開】,/watch?v=xf_QX8YfZHQ,305410,るぅきぃ夫婦,34900,6か月前,175266,174
【ルームツアー】リビング編！るぅきぃ宅をご紹介！！,/watch?v=uMNz9IPzlnU,226477,るぅきぃ夫婦,34900,6か月前,175266,129
【モニタリング】普段言わない愛のセリフを突然使ったら夫が…///,/watch?v=E4fH7jqjhu4,282545,るぅきぃ夫婦,34900,6か月前,175266,161
【購入品紹介】韓国に売ってる子供服が可愛すぎるし安すぎて〜！,/watch?v=koZ2M5oVTN8,86126,るぅきぃ夫婦,34900,6か月前,175266,49
【夫婦】Booo! 踊ってみた【るぅきぃ告知？】,/watch?v=7O8se582xhE,209855,るぅきぃ夫婦,34900,6か月前,175266,120
【大食い】100貫食べ切るまで帰れません！！だったのに、、！！！,/watch?v=Qq_7Q5JOONw,189101,るぅきぃ夫婦,34900,6か月前,175266,108
【ルームツアー】るぅきぃの新居の子供部屋完成しました〜！！,/watch?v=IWvXIWOMVgo,142601,るぅきぃ夫婦,34900,7か月前,175266,81
【GU】全てプチプラでコーデ組みます！！,/watch?v=EzUW-sCOdYo,92377,るぅきぃ夫婦,34900,7か月前,175266,53
【モニタリング】嫁を好きすぎる夫がキスをしまくったら嫁は何回で返してくれるの？,/watch?v=bsIv1nE6htQ,895686,るぅきぃ夫婦,34900,7か月前,175266,511
【原因】あんなに仲のいいるぅきぃ夫婦が不満溜まりまくって…,/watch?v=-mEkqKyoMMU,247384,るぅきぃ夫婦,34900,7か月前,175266,141
【お年玉】今年もやっちゃいました///,/watch?v=-6YFgnkMYJo,39351,るぅきぃ夫婦,34900,7か月前,175266,22
あけましておめでとうございます！！,/watch?v=zcue6jYgCJU,271443,るぅきぃ夫婦,34900,7か月前,175266,155
【質問コーナー】今年も1年ありがとうございました！！,/watch?v=ArH--o2gIds,69822,るぅきぃ夫婦,34900,7か月前,175266,40
【密着】夫婦で初のランウェイ！！舞台裏♡,/watch?v=b043R6-SQV8,62859,るぅきぃ夫婦,34900,7か月前,175266,36
【デート】ショッピングデートでめっちゃいいお店見つけちゃいました…♡,/watch?v=bRPzX6tOyMk,53024,るぅきぃ夫婦,34900,7か月前,175266,30
藍/スキマスイッチ MV ～Covered by るぅきぃ夫婦～【歌ってみた】,/watch?v=QZSiiGHVWaE,148160,るぅきぃ夫婦,34900,7か月前,175266,85
【簡単】るい流ヘアアレンジ♡3パターンご紹介！！,/watch?v=QSp5srBOjMM,73032,るぅきぃ夫婦,34900,7か月前,175266,42
【1万円】夫婦でクリスマスプレゼント交換したらセンスの塊すぎて好き…,/watch?v=XwQ5CBJLPAA,117561,るぅきぃ夫婦,34900,8か月前,175266,67
【密着】るいちゃんのお仕事風景をチラ見せと動画の最後に報告あるよ…❤︎,/watch?v=zI2t3C7RHpY,72409,るぅきぃ夫婦,34900,8か月前,175266,41
【爆買い】おうちに巨大なアレが届きました！！,/watch?v=Lzj3I0cly1o,78474,るぅきぃ夫婦,34900,8か月前,175266,45
【ドッキリ？！】夫の髪型を好き勝手にしたら…,/watch?v=W77VSoEFxn8,74248,るぅきぃ夫婦,34900,8か月前,175266,42
【飯テロ】はじめての自宅チーズタッカルビ…❤🇰🇷️,/watch?v=eSFflSOPGrs,100794,るぅきぃ夫婦,34900,8か月前,175266,58
【モーニングルーティン】休日のるぅきぃ家族の朝の様子…☀️,/watch?v=c_DrchzcBtQ,236667,るぅきぃ夫婦,34900,8か月前,175266,135
【コストコ】るぅきぃ夫婦のリピートしてる購入品紹介…🙆‍♂️🙆‍♀️,/watch?v=uaAMR_twU2Y,97909,るぅきぃ夫婦,34900,8か月前,175266,56
【進撃】旦那が急にエ○ン・イェ○ガーになったら…【巨人】,/watch?v=EwdJUVigkOk,65609,るぅきぃ夫婦,34900,9か月前,175266,37
【2019 冬コーデ】るぅきぃ夫婦のみなとみらいデート~1 week code winter version~,/watch?v=hlbE9MbUI1E,94485,るぅきぃ夫婦,34900,9か月前,175266,54
【サプライズ】いつも入ってるお風呂が急に豪華になっていたら…,/watch?v=mlMTxiGOa_8,124028,るぅきぃ夫婦,34900,9か月前,175266,71
【GRWM】息子の誕生日当日❤ディズニーセレブレーションホテルに泊まりました…❤,/watch?v=7d3hmvXQ07M,158734,るぅきぃ夫婦,34900,9か月前,175266,91
【プレゼント】息子への初めての誕生日プレゼント！！,/watch?v=d4dzyddzXwM,139724,るぅきぃ夫婦,34900,9か月前,175266,80
【100の質問】きいちゃんバージョン！！,/watch?v=LpKVErPGAt4,103008,るぅきぃ夫婦,34900,9か月前,175266,59
100の質問！！るいちゃんバージョン♡,/watch?v=Xc7duZdXrxw,146463,るぅきぃ夫婦,34900,9か月前,175266,84
【画質神】iphone11でるぅきぃ夫婦をのぞいてみましょ、、,/watch?v=uoJhWnOQ73g,120222,るぅきぃ夫婦,34900,10か月前,175266,69
できなかったら罰ゲーム！？常識クイズ再び…【クイズ】【ガチ】,/watch?v=NnfY4hLX7ZE,43333,るぅきぃ夫婦,34900,10か月前,175266,25
【生活】夫婦YouTuberのお金ってどうなってるの？？,/watch?v=fkqwCpzoLZA,167676,るぅきぃ夫婦,34900,10か月前,175266,96
【超コラボ】1万円のドーナツ食べながら語り尽くした、、！,/watch?v=dt2GVrVZbCQ,122447,るぅきぃ夫婦,34900,10か月前,175266,70
お喋りしながらメイクします！！【ノロケ】【美容】,/watch?v=T8t2sO9j5ck,186183,るぅきぃ夫婦,34900,10か月前,175266,106
夫婦だったらコンビニの商品一致なんて朝飯前だー！！【セブンイレブン】,/watch?v=eULdcxzxbKw,105040,るぅきぃ夫婦,34900,11か月前,175266,60
ショートが好きな旦那さんにプチサプライズ！！,/watch?v=-T1ecbSRjIw,457335,るぅきぃ夫婦,34900,11か月前,175266,261
食べて、飲んで、語って、、【焼肉】【夫婦】,/watch?v=JKEjg66JTuA,187483,るぅきぃ夫婦,34900,11か月前,175266,107
【ドッキリ】梨狩り中の嫁にりんごだと言いまくったら騙せるか検証してみた…【天然】,/watch?v=yRSFNPTFU_k,84487,るぅきぃ夫婦,34900,11か月前,175266,48
GUで秋服ゲットしてきました！！【紹介】,/watch?v=oWWFmhyOo_k,109497,るぅきぃ夫婦,34900,11か月前,175266,62
【絶叫】いつも優しい夫がいきなりタトゥー入れまくったら…,/watch?v=eeF4nx1mGas,525825,るぅきぃ夫婦,34900,11か月前,175266,300
【HANDCLAP】2週間で10kg痩せるダンス夫婦で踊ってみた,/watch?v=YGHqaXslyBA,214397,るぅきぃ夫婦,34900,11か月前,175266,122
リピーター続出の”無印料理”のおすすめはこれだ！【MUJI】,/watch?v=WNXVfVyldN8,69365,るぅきぃ夫婦,34900,1年前,175266,40
るぅきぃ家族は幸せな家庭すぎて、、♡,/watch?v=clvEpxvd_KY,215670,るぅきぃ夫婦,34900,1年前,175266,123
またまたやっちゃいます！！！,/watch?v=tGDv_zdCKEg,160185,るぅきぃ夫婦,34900,1年前,175266,91
嫁に愚痴を言い続けたら、、、【検証】,/watch?v=Ae1YBtzYHkg,431166,るぅきぃ夫婦,34900,1年前,175266,246
夫が勝手に奥さんのメイクで毎日メイクしたらww,/watch?v=POsXobkdqWA,85585,るぅきぃ夫婦,34900,1年前,175266,49
安すぎ！！アウトレット購入品♡【御殿場】,/watch?v=IFfWXtkMVHY,115282,るぅきぃ夫婦,34900,1年前,175266,66
るぅきぃ夫婦のコーデ紹介♡〜in 逗子マリーナ〜夏ver,/watch?v=w43gDBTj0iw,108971,るぅきぃ夫婦,34900,1年前,175266,62
【Vlog】家族のとある休日♡お買い物！！【アウトレット】【逗子マリーナ】,/watch?v=rEzxt7Kvi5s,157205,るぅきぃ夫婦,34900,1年前,175266,90
【3COINS】300円で買える便利グッズすぎる購入品紹介！！,/watch?v=IAPQppddZkY,111045,るぅきぃ夫婦,34900,1年前,175266,63
【家族デート】二子玉駅の夏限定のビアガーデンがインスタ映え…♡,/watch?v=Xe9Z1dK9O5g,98284,るぅきぃ夫婦,34900,1年前,175266,56
お互いの携帯見せ合ってみました…♡【るぅきぃ】,/watch?v=xM-_WqPyDoA,120748,るぅきぃ夫婦,34900,1年前,175266,69
プチプラ購入品！！H&Mで夏服購入してきた♡,/watch?v=M5KHQf0xobo,150587,るぅきぃ夫婦,34900,1年前,175266,86
【夫婦】るいちゃんのお風呂に突撃してみたら…,/watch?v=RyY9O96mezA,823633,るぅきぃ夫婦,34900,1年前,175266,470
【購入品】フライングタイガー商品が安くて便利…！！,/watch?v=-rfKJ70Pj6g,70994,るぅきぃ夫婦,34900,1年前,175266,41
【モニタリング】久しぶりに旦那に甘えてみたら、、、♡,/watch?v=MP8-wsu0Vc0,2754530,るぅきぃ夫婦,34900,1年前,175266,1572
