title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
メラミンスポンジのスライム【金属音注意⚠ 】,/watch?v=xDOautWI8ow,53,わそ民とら,4,2年前,37,143
咀嚼音,/watch?v=tG0ZyUExgkk,16,わそ民とら,4,2年前,37,43
ガチャガチャで回したスクイーズ紹介😘,/watch?v=F8o5T7FA6iM,30,わそ民とら,4,2年前,37,81
アイロンビーズスライムの音フェチあるよ～,/watch?v=Q5RBNsswikI,23,わそ民とら,4,2年前,37,62
雪猫ちゃんとコラボ☆咀嚼音【始め音量注意】,/watch?v=L0qXql3FTPE,10,わそ民とら,4,2年前,37,27
旅行に行って買ってきたスクイーズの紹介,/watch?v=QgXz1PSIY2Y,22,わそ民とら,4,2年前,37,59
セリアで買った物の紹介最後に音フェチあるよー,/watch?v=e_dKMfZEItg,8,わそ民とら,4,2年前,37,22
コラボ動画でスクイーズ交換、、、、まさかの,/watch?v=dIM-WYg846o,194,わそ民とら,4,2年前,37,524
スライムの購入品,/watch?v=uqFOAsqA3bQ,3,わそ民とら,4,2年前,37,8
手作りフワフワスライム「音フェチ」,/watch?v=UXcpbIMQNCw,19,わそ民とら,4,2年前,37,51
雪猫わそ民さんに貰ったスライム「音フェチ」⚠雑音あり,/watch?v=lILHwu7PEq8,39,わそ民とら,4,2年前,37,105
「初投稿」(≡・x・≡)購入品紹介(≡・x・≡),/watch?v=5RBg26pxpew,22,わそ民とら,4,2年前,37,59
