title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
180430【将棋】将皇の詰将棋　初心者の練習　～盤上に降り立った盆栽～,/watch?v=XW6QwPx8N5Y,405,アガキの挑戦状,207,2年前,273,148
180429【将棋】将皇の詰将棋　初心者の練習　～盤上に降り立った盆栽～,/watch?v=Yt-e9--Ap4A,154,アガキの挑戦状,207,2年前,273,56
180426　【将棋】将皇CPUレベル３　皆さんはこやつに勝てますか？　～盤上に降り立った盆栽～,/watch?v=bqZshCMrxeU,274,アガキの挑戦状,207,2年前,273,100
実際に検証してみた　ライブ中にわからなかった詰め将棋,/watch?v=WaQGMkf5KCc,133,アガキの挑戦状,207,2年前,273,49
180424ライブ　【将棋ウォーズ】友達対戦　～盤上に降り立った盆栽～,/watch?v=7neuPUkjw28,229,アガキの挑戦状,207,2年前,273,84
「こ、こまおぉ…」.˚‧º·(´ฅдฅ｀)‧º·˚.こまおが可愛すぎて勝つのが辛い件,/watch?v=RWa5-E6_xWc,127,アガキの挑戦状,207,2年前,273,47
180420　【将棋ウォーズ】友達対戦　～盤上に降り立った盆栽～,/watch?v=TUET4Xr79B8,219,アガキの挑戦状,207,2年前,273,80
180419　【将棋ウォーズ】友達対戦　～盤上に降り立った盆栽～,/watch?v=zqZPdDWY4R0,195,アガキの挑戦状,207,2年前,273,71
180418　【将棋ウォーズ】友達対戦　盤上に舞い降りた盆栽,/watch?v=BJ2KGWuhxfw,155,アガキの挑戦状,207,2年前,273,57
180413　将棋初心者の練習　将棋ウォーズ友達対戦　四間飛車の定跡,/watch?v=1bcdlj2DqiE,157,アガキの挑戦状,207,2年前,273,58
180412　将棋初心者の練習　将棋ウォーズ友達対戦　初見歓迎～,/watch?v=bDKncKslPrU,206,アガキの挑戦状,207,2年前,273,75
180411　将棋初心者の練習　詰将棋,/watch?v=0RHM-zbWUl0,180,アガキの挑戦状,207,2年前,273,66
180410　将棋初心者の練習　将棋ウォーズ友達対戦,/watch?v=h2skyA2D6SI,277,アガキの挑戦状,207,2年前,273,101
180410　将棋初心者の練習,/watch?v=90uBFuOL3Io,99,アガキの挑戦状,207,2年前,273,36
将棋駒の指し方の練習の成果「これで合ってますか？」上級者から見て,/watch?v=LsYpWzA5M5Y,740,アガキの挑戦状,207,2年前,273,271
180408　チェス初心者の練習　一緒に駒の動きを覚えてみよう,/watch?v=e26DeZgBQxk,158,アガキの挑戦状,207,2年前,273,58
180408　将棋初心者の練習　将棋ウォーズ　友達対戦　詰将棋,/watch?v=tVXKbPFwnkU,120,アガキの挑戦状,207,2年前,273,44
チェスを覚えよう　駒の種類と動き　将棋と比べながら初心者が基本説明,/watch?v=2WFacyda3hA,916,アガキの挑戦状,207,2年前,273,336
180407　将棋初心者の練習　詰将棋　将皇　将棋ウォーズ対戦,/watch?v=pk6CoOhVhU8,145,アガキの挑戦状,207,2年前,273,53
180406　将棋初心者の練習　詰将棋　将棋ウォーズ友達対戦,/watch?v=5kw9rEpwsZg,66,アガキの挑戦状,207,2年前,273,24
amazonで将棋盤と将棋の駒を買った　初めてのmy盤＆駒,/watch?v=afKLeUSqn9M,1428,アガキの挑戦状,207,2年前,273,523
180406　将棋初心者の練習　将皇でCPUと対戦　終盤にチェスの説明,/watch?v=chf79qjJ6S8,121,アガキの挑戦状,207,2年前,273,44
180405　将棋初心者の練習　初見も上級者も大歓迎～,/watch?v=387-J7eldH4,40,アガキの挑戦状,207,2年前,273,15
180404　将棋初心者の練習　初見も上級者も大歓迎～,/watch?v=6d8JaI6wNmo,60,アガキの挑戦状,207,2年前,273,22
180402　将棋初心者の練習　初見歓迎～,/watch?v=7L_SSGIwpmw,41,アガキの挑戦状,207,2年前,273,15
180401　将棋初心者の練習　定跡を覚えるって　初見歓迎～,/watch?v=23UFHeTZuWQ,130,アガキの挑戦状,207,2年前,273,48
180401　将棋初心者の練習　詰将棋と定跡の勉強　初見歓迎～,/watch?v=TribkgTkic8,60,アガキの挑戦状,207,2年前,273,22
180331　将棋４カ月目　将棋初心者の練習　詰将棋,/watch?v=9TBcPuhSrfY,52,アガキの挑戦状,207,2年前,273,19
180330　将棋初心者の練習　詰め将棋,/watch?v=nfI3Ko9J9v4,57,アガキの挑戦状,207,2年前,273,21
将棋初心者の練習　詰め将棋,/watch?v=8s3U8oPda_E,85,アガキの挑戦状,207,2年前,273,31
