title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】ピーマンの肉詰め Stuffed bell peppers COOKING & EATING SOUNDS,/watch?v=Jvs8xpAUoOc,11242,イノン INON ASMR,11500,1か月前,23913,47
【咀嚼音】辛ラーメンとチーズスパム | FIRE NOODLES & CHEESE SPAM MUKBANG COOKING EATING SOUNDS,/watch?v=GPO0fHjI4LE,9970,イノン INON ASMR,11500,1か月前,23913,42
【咀嚼音】キムチ & 豚汁 & 韓国海苔 | ASMR KOREAN KIMCHI MUKBANG COOKING & EATING لكيمتشي,/watch?v=R8mac8TwDZw,22069,イノン INON ASMR,11500,1か月前,23913,92
ASMR COOKING EATING GIANT CHEESE STUFFED BURGER 咀嚼音 巨大チーズハンバーグ MUKBANG RECIPE keju ชีส,/watch?v=PNAZFdvuDqk,8631,イノン INON ASMR,11500,1か月前,23913,36
ASMR RECIPE 咀嚼音 SWEET CHICKEN RICE 韓国チキン ハニーコンボ COOKING EATING MUKBANG ไก่หวาน Ayam manis Gà ngọt,/watch?v=IJzSmAZiosg,14044,イノン INON ASMR,11500,1か月前,23913,59
ASMR RECIPE 咀嚼音 CHEESY FIRE NOODLE チーズブルダック炒め麺 EATING SOUND MUKBANG Mie pedas ก๋วยเตี๋ยวเผ็ด,/watch?v=6p2EJvSOa8Y,24003,イノン INON ASMR,11500,1か月前,23913,100
【咀嚼音】韓国麺と辛いチキン ASMR MUKBANG TRUFFLE OIL BLACK BEAN NOODLES & FRIED CHICKEN EATING SOUND Gà,/watch?v=ril6w83eUGk,11844,イノン INON ASMR,11500,2か月前,23913,50
【咀嚼音】ジョンソンヴィルソーセージ SAUSAGE CHEESY EATING SOUNDS sosis ไส้กรอก,/watch?v=JdCJiCkIIc0,19415,イノン INON ASMR,11500,2か月前,23913,81
【咀嚼音】あんこ餅揚げパン FRIED MOCHI BREAD COOKING & EATING SOUNDS,/watch?v=yS1eQh_WxM4,11700,イノン INON ASMR,11500,2か月前,23913,49
【咀嚼音】韓国の巨大チーズスティック ASMR GIANT HOT CHEETOS MOZZARELLA STICK EATING SOUNDS  keju ชีส,/watch?v=rXzMmWmQHPM,23277,イノン INON ASMR,11500,2か月前,23913,97
【咀嚼音】明太子とご飯 Cod roe【Eating Sounds】,/watch?v=fK7x7r9kbwY,31217,イノン INON ASMR,11500,2か月前,23913,131
【咀嚼音】韓国チキンとはちみつ【Eating Sounds】HONEY & FRIED CHICKEN,/watch?v=o15zmoEnvAk,8942,イノン INON ASMR,11500,2か月前,23913,37
【咀嚼音】豚の角煮 Braised Pork Belly【Eating Sounds】,/watch?v=zey8dXS0glI,41516,イノン INON ASMR,11500,2か月前,23913,174
【咀嚼音】地球ゼリーグミ | ASMR TROLLI PLANET GUMMI JELLY MUKBANG Makanan Gummy bumi,/watch?v=w9LodJWhmyk,8660,イノン INON ASMR,11500,2か月前,23913,36
【咀嚼音】とんかつ定食 ASMR TONKATSU (Pork Cutlet) MUKBANG Babi Goreng Krispi หมูกรอบ กิน,/watch?v=DpE9aqtsgT8,6155,イノン INON ASMR,11500,2か月前,23913,26
【咀嚼音】チーズとチキン ASMR CHICKEN WINGS & STRETCHY CHEESE MUKBANG 직접 만든 치즈퐁듀 &치킨 ayam Keju ไก่ทอด ชีส,/watch?v=JeY899BhRF0,16609,イノン INON ASMR,11500,2か月前,23913,69
【咀嚼音】巨大チーズスティック ASMR GIANT MOZZARELLA CHEESE STICKS MUKBANG 대왕 치즈 스틱 keju ชีส,/watch?v=4xU8eTST7ss,130441,イノン INON ASMR,11500,3か月前,23913,545
【ASMR】ロープキャンディ RAINBOW NERDS ROPE JELLY CANDY【咀嚼音】,/watch?v=UiC3e6NAFak,23784,イノン INON ASMR,11500,3か月前,23913,99
【ASMR】ワックスボトルキャンディーと地球グミ NIK-L-NIPS WAX BOTTLES CANDY DRINKS & PLANET GUMMY JELLY【咀嚼音】,/watch?v=brC9IMrvm9w,16567,イノン INON ASMR,11500,3か月前,23913,69
手作り唐揚げとご飯3合の咀嚼音 | ASMR MUKBANG Fried Chicken 후라이드 치킨 ไก่ทอด Ayam goreng,/watch?v=NLW-GtNQ0uw,22275,イノン INON ASMR,11500,3か月前,23913,93
ジョンソンヴィルソーセージとブルダックポックン麺の咀嚼音 | ASMR SAUSAGES && KOREAN NOODLES MUKBANG 핵불닭볶음면 ไส้กรอก Sosis,/watch?v=s7kXqTDkvog,10236,イノン INON ASMR,11500,3か月前,23913,43
サクサクなディズニー公式チュロスの咀嚼音 | ASMR MUKBANG Disney Park Churros recipe,/watch?v=ZlcEa9dX2lg,9156,イノン INON ASMR,11500,3か月前,23913,38
プルプル巨峰ゼリーの咀嚼音 | ASMR MUKBANG kyoho grape jelly | 쿄호젤리 Thạch nho องุ่นเยลลี่ Jeli,/watch?v=YjOb7TF2IR4,8144,イノン INON ASMR,11500,3か月前,23913,34
極太サーモン麺の咀嚼音 | ASMR MUKBANG RAW SALMON NOODLE 생연어 Cá hồi ปลาแซลมอน,/watch?v=yC5FBE-2_Rs,12037,イノン INON ASMR,11500,3か月前,23913,50
【ASMR】ステーキとチーズの咀嚼音 | STEAKS & CHEESE MUKBANG 소고기 스테이크와 치즈,/watch?v=dVM0ga1QHo4,18671,イノン INON ASMR,11500,3か月前,23913,78
【ASMR】ご飯３合と浅漬け・ぬか漬け・たくあんの咀嚼音【漬物】,/watch?v=k0QxjPp7UO4,20333,イノン INON ASMR,11500,4か月前,23913,85
巨大な韓国マカロン（トゥンカロン ）の咀嚼音【ASMR】,/watch?v=iSjgRooSjEE,19459,イノン INON ASMR,11500,4か月前,23913,81
パリパリ板チョコアイスの咀嚼音【ASMR】,/watch?v=hk6wghvy1ns,29317,イノン INON ASMR,11500,4か月前,23913,123
【韓国料理】ヤンニョムチキンとフライドチキンの咀嚼音【ASMR】                                                Korean chicken 닭다리치킨,/watch?v=c7vjHxSToXs,18490,イノン INON ASMR,11500,4か月前,23913,77
期間限定グミッツェルの咀嚼音【ASMR】,/watch?v=CmhF5vlNDy4,47664,イノン INON ASMR,11500,4か月前,23913,199
【ASMR】ジョンソンヴィルソーセージの咀嚼音 Sausage party,/watch?v=XesqwA4AQJw,38789,イノン INON ASMR,11500,4か月前,23913,162
【ASMR】韓国のいちご飴をマネして作ったらめちゃくちゃ綺麗にできた！【咀嚼音】,/watch?v=o1pL7jFQUnY,7013,イノン INON ASMR,11500,4か月前,23913,29
銀だこのたこ焼きを食べる咀嚼音 ASMR TAKOYAKI MUKBANG EATING SOUNDS 타코야키 리얼사운드먹방 章鱼烧 thức ăn makanan غذا,/watch?v=aDGkPEDLhzs,17512,イノン INON ASMR,11500,6か月前,23913,73
ASMR RAINBOW GUMMY CANDY MUKBANG EATING SOUNDS グミッツェル咀嚼音 젤리 캔디 리얼사운드먹방 No Talking INON EATING SHOW,/watch?v=uR1f2HyPyiI,35163,イノン INON ASMR,11500,7か月前,23913,147
ASMR PICKLES MUKBANG PARTY EATING SOUNDS 巨大な漬物咀嚼音 대왕 절임 리얼사운드먹방 No Talking INON EATING SHOW,/watch?v=7ANUOK4-R24,65176,イノン INON ASMR,11500,7か月前,23913,273
ASMR MUKBANG SAUSAGE AND CHEESY EATING SOUNDSソーセージ 소세지 리얼사운드먹방 INON EATING SHOW,/watch?v=1DFEU8uNElA,41337,イノン INON ASMR,11500,7か月前,23913,173
