title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】冷めた春巻きをパリパリにして、ビールでいただきます！【音フェチ】,/watch?v=KdTQvVyGNrA,456,カボチャの応援チャンネル,6990,6か月前,1464,31
【雑談】今日の晩御飯「肉じゃが」【音フェチ】,/watch?v=vtzNBoYckqY,225,カボチャの応援チャンネル,6990,6か月前,1464,15
【今後のチャンネル運営について】音フェチやボイスシチュエーションが収益化剥奪にされる時代,/watch?v=_LbjS2AkR6g,1046,カボチャの応援チャンネル,6990,7か月前,1464,71
【女性向け】きっと きみは僕がすき【シチュエーションボイス】,/watch?v=iIqMMRr725w,538,カボチャの応援チャンネル,6990,9か月前,1464,37
【女性向け】僕の愛しい奥さんは こうやって可愛がる【シチュエーションボイス】,/watch?v=MXKg-7XLBsI,736,カボチャの応援チャンネル,6990,9か月前,1464,50
【女性向けボイス】泣けない彼女に優しく添い寝してあげる彼氏【ASMR・シチュエーションボイス・バイノーラル】,/watch?v=lT_-HksMG-M,1088,カボチャの応援チャンネル,6990,1年前,1464,74
【生放送】チキンスペアリブとキャベツの千切り【カボチャの晩御飯】ASMR・音フェチ,/watch?v=bdT1cW4aSQ4,633,カボチャの応援チャンネル,6990,1年前,1464,43
【女性向け生放送】シチェーションボイスのフリー台本を読む練習【ASMR・音フェチ】,/watch?v=Dm8kbIQADvg,513,カボチャの応援チャンネル,6990,1年前,1464,35
【生放送】塩焼きそばを作ります！【今日の晩御飯】音フェチ,/watch?v=l7eRfB1w8Ag,328,カボチャの応援チャンネル,6990,1年前,1464,22
【女性向け】ヤンデレ彼氏が彼女を好きすぎて迎えに来ました…【ASMR・シチュエーションボイス・立体音響】,/watch?v=CxpiBHbEEFs,1079,カボチャの応援チャンネル,6990,1年前,1464,74
真夜中の囁き作業生放送！,/watch?v=UNb2bFT-ohQ,253,カボチャの応援チャンネル,6990,1年前,1464,17
【女性向け】想いを寄せる彼女の恋愛相談に乗ってあげる彼の切ない想い【シチュエーションボイス・ASMR・バイノーラル】2,/watch?v=TXh0Tzv1kyY,735,カボチャの応援チャンネル,6990,1年前,1464,50
【女性向け】大好きな彼女と都合のいい関係…切ない片思い【ちょい関西弁・シチュエーションボイス・ASMR】,/watch?v=6Fd_Rnopf0U,799,カボチャの応援チャンネル,6990,1年前,1464,55
【女性向け】寝起きにいじけた彼女を優しくなだめる彼氏【シチュエーションボイス・ASMR・バイノーラル】,/watch?v=ZARAPFbCf9g,12257,カボチャの応援チャンネル,6990,1年前,1464,837
【女性向け】風邪を引いた彼女を優しく介抱する彼氏は仲直りがしたい…【シチュエーションボイス・バイノーラル・立体音響】,/watch?v=1THxYdhNNeQ,9529,カボチャの応援チャンネル,6990,1年前,1464,651
【ASMR】耳が最高に幸せになる耳舐め・耳攻めオススメ5選【バイノーラル・音フェチ】,/watch?v=b0et8QRNPoU,7544,カボチャの応援チャンネル,6990,1年前,1464,515
【女性向け】ヤンデレ彼氏が嫉妬し彼女を問い詰めて興奮…【ASMR・シチュエーションボイス・立体音響】,/watch?v=Tc190o9ODMU,1821,カボチャの応援チャンネル,6990,1年前,1464,124
【女性向け】ヤンデレ彼氏は彼女が好きすぎて彼女にとって「悪」になるものを全て排除する彼氏がヤバイ…【ASMR・立体音響・シチュエーションボイス】,/watch?v=paOg2hxB4Do,2889,カボチャの応援チャンネル,6990,1年前,1464,197
【女性向け】ヤンデレ彼氏の深い愛情と強すぎる束縛がヤバい【シチュエーション・立体音響・ASMR】,/watch?v=Hv68wOF0-9o,1796,カボチャの応援チャンネル,6990,1年前,1464,123
【女性向け】彼女と遊園地デート中に例の薬を飲ませた結果…【シチュエーションボイス・バイノーラル・立体音響】,/watch?v=Ntmd-TpGouE,15422,カボチャの応援チャンネル,6990,1年前,1464,1053
【ASMR 女性向け】ホカホカもわぁ布団で疲れた彼女を癒し甘える彼氏【立体音響・バイノーラル・シチュエーション】,/watch?v=KPX9CP96EOo,600,カボチャの応援チャンネル,6990,1年前,1464,41
【ASMR女性向け】料理初心者の彼氏が彼女の為にご飯作り！その後二人はキッチンで…【シチュエーション・立体音響・バイノーラル】,/watch?v=GCeWyBPdyGE,624,カボチャの応援チャンネル,6990,1年前,1464,43
【女性向けASMR】仕事で疲れた寝起きの彼女を優しく包み込む彼氏【シチュエーション・バイノーラル・立体音響】,/watch?v=LhTP1yhEo0U,949,カボチャの応援チャンネル,6990,1年前,1464,65
【女性向けASMR】遠距離恋愛中の彼氏とデート前日に電話をする彼女【シチュエーション・バイノーラル・立体音響】,/watch?v=kDwAf9ot3RE,446,カボチャの応援チャンネル,6990,1年前,1464,30
【女性向け】彼女が体調不良で帰ってきたので優しく介抱してあげる彼氏【ASMRシチュエーション・立体音響】,/watch?v=xgX4sWOCOd8,2113,カボチャの応援チャンネル,6990,1年前,1464,144
【女性向け】ヤンデレ彼氏と車でドライブデート！家に迎えに来てくれた彼氏だったが…【パート1】シチュエーション,/watch?v=H_ob2Fd27dk,964,カボチャの応援チャンネル,6990,1年前,1464,66
【料理ASMR】卵を入れて混ぜるだけ！超簡単で絶品お好み焼きが作れる最高の商品！【バイノーラル・音フェチ・立体音響】,/watch?v=eHoSpJzTL_g,271,カボチャの応援チャンネル,6990,1年前,1464,19
再収益化もしくは収益化審査を通る為にジャンルを１つに絞った方が良い理由,/watch?v=Dw7h0xSdi0Q,404,カボチャの応援チャンネル,6990,1年前,1464,28
【女性向け】カボチャと今のYouTubeとの関係,/watch?v=gxLHNn-puOc,423,カボチャの応援チャンネル,6990,1年前,1464,29
GWはどう過ごしますか？無駄な１日を過ごさない為の愛用アプリを紹介します！,/watch?v=U7h3nTVzESU,191,カボチャの応援チャンネル,6990,1年前,1464,13
今後のYouTubeで声出しだけのラジオ系動画は収益化無効にされて審査を通れない説！,/watch?v=zk3Qcav0b_w,3471,カボチャの応援チャンネル,6990,1年前,1464,237
【ASMR】カボチャと一緒にベーコンエッグと納豆を食べよう！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=EhwW0JRDaTc,381,カボチャの応援チャンネル,6990,1年前,1464,26
初心者動画投稿者が最初に心掛ける大切な事！,/watch?v=I7fBDqV_EKw,151,カボチャの応援チャンネル,6990,1年前,1464,10
【重要】今後について！YouTubeの収益化無効＆剥奪祭りを乗り越える為に必要な事,/watch?v=ZnD_QGNGOuY,994,カボチャの応援チャンネル,6990,1年前,1464,68
【ＭＨＷ初心者向け】ド素人がクエストを手伝ってもらう方法【救難信号】,/watch?v=zUA8Q-Im2vo,101,カボチャの応援チャンネル,6990,1年前,1464,7
【ASMR】絶品マカロン食べまーーーーーーーーす！【音フェチ・睡眠用・癒し】,/watch?v=rWXV5gm9XNg,887,カボチャの応援チャンネル,6990,1年前,1464,61
【ASMR】鶏カルビ(タッカルビ)を作る音が心地良い！【音フェチ・料理・睡眠BGM】,/watch?v=ysRLjzmJ6IQ,420,カボチャの応援チャンネル,6990,1年前,1464,29
【MHW】ボルボロス防具を一式揃える為に狩りまくった結果ｗｗｗフルボッコされててワロタｗｗｗ【4日目】ゲーム実況,/watch?v=6TPZqsOo7U8,124,カボチャの応援チャンネル,6990,1年前,1464,8
【MHW】モンハンワールド初心者にオススメの武器３選【3日目】ゲーム実況,/watch?v=Bu7yvHyb8-E,88,カボチャの応援チャンネル,6990,1年前,1464,6
【MHW】モンハンワールド初心者にオススメのゲームサイクル３つ！【2日目】ゲーム実況,/watch?v=X5T-2t5d3dU,76,カボチャの応援チャンネル,6990,1年前,1464,5
【ASMR】カレーが好きすぎる問題！カボチャと一緒にご飯を食べるシリーズその6！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=mSuGPUgWffg,703,カボチャの応援チャンネル,6990,1年前,1464,48
【ASMR】グッピー水槽の流水音と雑談【バイノーラル・音フェチ・立体音響】,/watch?v=omEKdFA-rMo,245,カボチャの応援チャンネル,6990,1年前,1464,17
カボチャとまったり年越しライブ！2018年の反省と2019年の抱負,/watch?v=lSNpfbEyMOk,1232,カボチャの応援チャンネル,6990,1年前,1464,84
【ASMR】一人クリスマスはチキンで決まり！カボチャと一緒にご飯を食べるシリーズその5！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=TqRih1f-Tos,1042,カボチャの応援チャンネル,6990,1年前,1464,71
頬袋をパンパンにして幸せそうなキンクマハムスターｗｗｗ,/watch?v=hXXy8horvs4,381,カボチャの応援チャンネル,6990,1年前,1464,26
【ASMR】ファミチが一番美味い！カボチャと一緒にご飯を食べるシリーズその４！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=IEFAWawpp5s,744,カボチャの応援チャンネル,6990,1年前,1464,51
【ASMR】マクドナルドで一番好きなのは何？カボチャと一緒にご飯を食べるシリーズその２！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=kQJMA1CQTrk,781,カボチャの応援チャンネル,6990,1年前,1464,53
【ASMR】カボチャと一緒にご飯を食べるシリーズその２！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=VmcZ8VsIsdk,644,カボチャの応援チャンネル,6990,1年前,1464,44
【ASMR】カボチャと一緒にご飯を食べるシリーズその１！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=NeAhei4GVUw,515,カボチャの応援チャンネル,6990,1年前,1464,35
イライラする人あるあるを聞いてほしい！良い人だけど耐えられないwww,/watch?v=Se0Dmmnhs3M,945,カボチャの応援チャンネル,6990,1年前,1464,65
【アクアリウム】超高画質の最新スマホでレッドビーシュリンプを撮影してみたら綺麗すぎて大興奮！！！,/watch?v=9kYIv8uQJNk,714,カボチャの応援チャンネル,6990,1年前,1464,49
【ASMR】マクドナルドのダブルチーズバーガーは美味い！お食事雑談！咀嚼音【バイノーラル・音フェチ・立体音響】,/watch?v=8gu-HpfIiEw,677,カボチャの応援チャンネル,6990,1年前,1464,46
【カボチャの人生相談】どうしてもやる気が出ない人へ…やる気の出る方法【バイノーラル・声フェチ・立体音響】,/watch?v=567tHU0xJQM,368,カボチャの応援チャンネル,6990,1年前,1464,25
布を引き裂いた犯人はこいつですｗｗｗご飯を欲しがる姿が可愛すぎてヤバイ…【バイノーラル・音フェチ・立体音響】ハムスター日記,/watch?v=B3GODwEUzgo,446,カボチャの応援チャンネル,6990,1年前,1464,30
【ASMR】簡単にハンバーグをふわふわにする方法！焼いている音が最高すぎる！【バイノーラル・音フェチ・立体音響】,/watch?v=MKAaKUWznZY,658,カボチャの応援チャンネル,6990,2年前,1464,45
【ASMR】大量のキュウリを捌きます！日持ちする保存方法【バイノーラル・音フェチ・立体音響】,/watch?v=X8FxCread5U,920,カボチャの応援チャンネル,6990,2年前,1464,63
【ASMR】夏と言えばのスイカを食べながら雑談＆LIVE配信のリクエスト受付中【バイノーラル・音フェチ・立体音響】,/watch?v=3pAw_yckRjI,807,カボチャの応援チャンネル,6990,2年前,1464,55
【簡単時短料理】たった６分で出来る照り焼きチキン！【ASMR・バイノーラル・音フェチ・立体音響】,/watch?v=Zx13GSz3uNw,344,カボチャの応援チャンネル,6990,2年前,1464,23
【簡単料理】紫じゃかいもで作る絶品ポテトサラダ！【ASMR・バイノーラル・音フェチ・立体音響】,/watch?v=p1yyMMfSdog,596,カボチャの応援チャンネル,6990,2年前,1464,41
【ASMR】手袋を擦る音が心地いい【バイノーラル・音フェチ・v】,/watch?v=VnZ501Lj4u0,1715,カボチャの応援チャンネル,6990,2年前,1464,117
