title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【APEX LEGENDS】負けたらガチで命を落とす？！【ココロイチル/花守へるし/塩天使リエル】,/watch?v=pHfTYT05xzU,427,ココロイチル - Kokoro Ichiru ,10800,,2713,16
【ASMR/binaural】安眠耳かき シャリシャリ咀嚼音（Mastication sound/Whispering/ear cleaning）【ココロイチル/Vtuber】,/watch?v=PxW2vjBLho4,943,ココロイチル - Kokoro Ichiru ,10800,,2713,35
【月曜朝定期 #ばうスマ】#5 ココロイチルのばうっとスマイルファンファーレ！【お天気/音楽/トーク/ラジオ番組】,/watch?v=RCgnPqdZehg,369,ココロイチル - Kokoro Ichiru ,10800,,2713,14
【APEX LEGENDS】涼しいお部屋でAPEX！！ランク！！【ココロイチル/WACTOR】,/watch?v=97tf-KaOeFk,299,ココロイチル - Kokoro Ichiru ,10800,,2713,11
【#MUSEDASH】自宅で夏フェス余裕っしょ！【ココロイチル/WACTOR】,/watch?v=EXVieX7_izU,392,ココロイチル - Kokoro Ichiru ,10800,,2713,14
【ASMR/binaural】こしょこしょそわそわ耳かき♡囁き（Whispering/ear cleaning）【ココロイチル/WACTOR】,/watch?v=S4ozKKehxcM,1284,ココロイチル - Kokoro Ichiru ,10800,,2713,47
【月曜朝定期 #ばうスマ】#4 ココロイチルのばうっとスマイルファンファーレ！【お天気/音楽/トーク/ラジオ番組】,/watch?v=wv0mccixZWU,391,ココロイチル - Kokoro Ichiru ,10800,,2713,14
【雑談/歌】デビュー半年ってマ？！【ココロイチル／WACTOR】,/watch?v=mnc-9zip7YQ,396,ココロイチル - Kokoro Ichiru ,10800,,2713,15
【ASMR/binaural】深夜の朗読会『星の王子さま』（The Little Prince to read aloud）【ココロイチル/WACTOR】,/watch?v=VQ7Bs3450W4,520,ココロイチル - Kokoro Ichiru ,10800,,2713,19
【月曜朝定期 #ばうスマ】#3 ココロイチルのばうっとスマイルファンファーレ！【お天気/音楽/トーク/ラジオ番組】,/watch?v=2c-G89YLoqY,505,ココロイチル - Kokoro Ichiru ,10800,,2713,19
【#MUSEDASH】失われたレベルを取り戻せ！レベル耐久配信【ココロイチル/WACTOR】,/watch?v=mB5iXBOsxyY,910,ココロイチル - Kokoro Ichiru ,10800,,2713,34
【ASMR/binaural】メイドと仲良しご飯♡癒しの耳かき♡（Mastication sound/Whispering/ear cleaning）【ココロイチル/WACTOR】,/watch?v=eV8ZIQCACI4,1404,ココロイチル - Kokoro Ichiru ,10800,,2713,52
【月曜朝定期 #ばうスマ】#2 ココロイチルのばうっとスマイルファンファーレ！【お天気/音楽/トーク/ラジオ番組】,/watch?v=G_IeXk1Lw4M,463,ココロイチル - Kokoro Ichiru ,10800,,2713,17
【#ココロイチル誕生祭】はじめての誕生日！感謝♡乾杯♡パーティタイム！【ココロイチル/WACTOR】,/watch?v=3tyDsvuoCGA,728,ココロイチル - Kokoro Ichiru ,10800,,2713,27
【ASMR/binaural】じっくり♡耳かき 睡眠誘導（Relax/Ear Cleaning/Whispering）【ココロイチル/WACTOR】,/watch?v=RDbuFwfAQ20,1586,ココロイチル - Kokoro Ichiru ,10800,,2713,58
【生誕前夜祭】はじめての誕生日！感謝の凸待ち配信！！【ココロイチル/WACTOR】,/watch?v=nEV-9ucPbms,994,ココロイチル - Kokoro Ichiru ,10800,,2713,37
指切りげんまん《勾指起誓》歌ってみた【日文版】ココロイチル / WACTOR,/watch?v=TyK-xrjXs58,1555,ココロイチル - Kokoro Ichiru ,10800,,2713,57
【月曜朝定期 #ばうスマ】ココロイチルのばうっとスマイルファンファーレ！【お天気/音楽/トーク/ラジオ番組】,/watch?v=jySzprdkl8A,522,ココロイチル - Kokoro Ichiru ,10800,,2713,19
【ASMR/binaural】片耳ずつ じっくり耳かき 睡眠誘導（Relax/Ear Cleaning/Whispering）【ココロイチル/WACTOR】,/watch?v=Uxm0cLtz0vk,1590,ココロイチル - Kokoro Ichiru ,10800,,2713,59
【DTMにチャレンジ！】#4 ロックサウンド対よろ！！【ココロイチル/WACTOR】,/watch?v=Jz7M-gV1e5g,512,ココロイチル - Kokoro Ichiru ,10800,,2713,19
【雑談/お知らせ】祝！デビュー５ヶ月！【ココロイチル／WACTOR】,/watch?v=V9_SMSfgQJw,519,ココロイチル - Kokoro Ichiru ,10800,,2713,19
【APEX LEGENDS】初心者、マウスキーボードに戻ってきた【ココロイチル/WACTOR】,/watch?v=6kwOP_IFWQw,461,ココロイチル - Kokoro Ichiru ,10800,,2713,17
【歌雑談】ハバネロと友達大作戦【ココロイチル／WACTOR】,/watch?v=T2gCSV_UE_s,527,ココロイチル - Kokoro Ichiru ,10800,,2713,19
