title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【犬】【耳掃除】世界一適当な犬の耳掃除解説,/watch?v=wwtN8bS8KTs,217,コッペパンちゃん,76,3か月前,457,47
【ASMR】【犬の咀嚼音】愛犬コッペパンのお食事ASMR,/watch?v=ddEcFUdmClU,411,コッペパンちゃん,76,3か月前,457,90
【お風呂】【ルーティン】大嫌いなお風呂で表情が終始どんよりなコッペパンの記録,/watch?v=Brf45OLjxLY,167,コッペパンちゃん,76,4か月前,457,37
【ダックス】ご飯食べる？と言った途端豹変するコッペパン,/watch?v=07hypzUkwp4,119,コッペパンちゃん,76,4か月前,457,26
【犬の皮膚病】【アレルギー】酷い皮膚病を完治させた方法を全て公開します！,/watch?v=2lVB04hKPS0,2379,コッペパンちゃん,76,4か月前,457,521
【ドッキリ】飼い主が急に倒れた時愛犬はどんな反応をするのか検証した結果…【ダックス】,/watch?v=MK2jQ8noU04,436,コッペパンちゃん,76,4か月前,457,95
【保護犬】【雑談】犬に社交性は必ずしも必要か？について。,/watch?v=ln6_xfT7h2I,96,コッペパンちゃん,76,4か月前,457,21
【保護犬】劣悪な繁殖場にいた娘と私の出逢いの話,/watch?v=4ObUGJ2eZL4,505,コッペパンちゃん,76,5か月前,457,111
【ダックス】【保護犬】お手、おかわりを5分で習得する方法,/watch?v=YocpaA0DxNI,878,コッペパンちゃん,76,5か月前,457,192
【ダックス】【保護犬】愛犬の留守番中とんでもない事が起きていた。,/watch?v=8nAEOQEjWfE,210,コッペパンちゃん,76,5か月前,457,46
【ミニチュアダックスフンド】【保護犬】犬好きなら共感頂けるであろう動画〜好きな体の部位〜,/watch?v=-7QNlXjOIZU,260,コッペパンちゃん,76,5か月前,457,57
【ミニチュアダックスフンド】【保護犬】おもちゃで遊ぼうと愛犬を誘った結果～Unfriendly Dog～,/watch?v=d0FxCaJZCUQ,99,コッペパンちゃん,76,5か月前,457,22
【ミニチュアダックスフンド】【保護犬】おやつのサメ骨を食べた後急に静止画になるコッペパン～Still Image Dog～,/watch?v=YrWqU8oBwoQ,163,コッペパンちゃん,76,5か月前,457,36
