title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【サビ猫】日常をVlogにしたら平凡でかわいすぎた!! -tortoiseshell cat's vlog-,/watch?v=xjJ50ATFpIE,106,サビ猫くろまめ -tortoiseshell cat ku,121,,141,75
【サビ猫】ガリガリサークルを湯船にするサビ猫がかわいすぎた!! -Cat hot spring??-,/watch?v=luQ-roif7NQ,68,サビ猫くろまめ -tortoiseshell cat ku,121,,141,48
【ASMR】カリカリを食べるサビ猫の咀嚼音がかわいすぎた!! -Cat's eating sounds-,/watch?v=VsWU9KMypH0,176,サビ猫くろまめ -tortoiseshell cat ku,121,,141,125
【ASMR】猫草を一生懸命食べるサビ猫がかわいすぎた!! -Cat's eating sounds-,/watch?v=5ChIcywhcI4,86,サビ猫くろまめ -tortoiseshell cat ku,121,,141,61
世界一ゆるい？サビ猫のトイレットペーパーチャレンジがかわいすぎた!! -Cat toilet paper challenge-,/watch?v=KjAMVPbkwDo,66,サビ猫くろまめ -tortoiseshell cat ku,121,,141,47
【猫の肉球】寝込みに潜入!!サビ猫の肉球と寝顔がかわいすぎた!! -Cat's paw pads-,/watch?v=8BQHS45Xiko,96,サビ猫くろまめ -tortoiseshell cat ku,121,,141,68
【保護猫】チュールを要求するサビ猫がかわいすぎた!!,/watch?v=156MOjO1B2E,105,サビ猫くろまめ -tortoiseshell cat ku,121,,141,74
【保護猫】本気でボコすサビ猫がかわいすぎた!! -Cat kick-,/watch?v=RgfHeer4bQ0,111,サビ猫くろまめ -tortoiseshell cat ku,121,,141,79
【保護猫】キャットタワーにハマったサビ猫がかわいすぎた!! -Cat and hole-,/watch?v=L82XbJwnZtw,96,サビ猫くろまめ -tortoiseshell cat ku,121,,141,68
【保護猫】スリッパにダイブしたサビ猫がかわいすぎた!! -Cat and slippers-,/watch?v=YxsQTzMYHxo,127,サビ猫くろまめ -tortoiseshell cat ku,121,,141,90
【保護猫】門番となったサビ猫の一部始終と鳴き声がかわいすぎた!! -Cat gatekeeper-,/watch?v=oQFTywaXf8I,111,サビ猫くろまめ -tortoiseshell cat ku,121,,141,79
【保護猫】新居で36時間立てこもったサビ猫の第一声がかわいすぎた！ -Cute cat meows-,/watch?v=21qhRYmNCzA,542,サビ猫くろまめ -tortoiseshell cat ku,121,,141,384
