title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
お昼ごはん、まぁだ？【ジジとバニラとムース】Lunch time!!...When?,/watch?v=Yo6m6J2px2Q,20,ジジとバニラとムース,209,2日前,93,22
ムース参戦！「ねこにすと19 in 有楽町マルイ」に行ってきた！【ジジとバニラとムース】NEKO-NIST in Yurakucho OIOI !!,/watch?v=XU09UTXEkoE,52,ジジとバニラとムース,209,1週間前,93,56
"【短編集】飼い主のスマホにはこんな動画もありました！Part3【ジジとバニラとムース】Short video 3 ""Jiji, Vanilla and Moose""",/watch?v=KR366tbGs14,37,ジジとバニラとムース,209,2週間前,93,40
"【ご報告】祝・採用！猫の祭典にウチの〇〇が！【ジジとバニラとムース】Cats festival ""NEKO-NIST""",/watch?v=lQnWFf4g_yE,92,ジジとバニラとムース,209,3週間前,93,99
【ジバムーの森】#2 スコップを買った！カセキを見つけるぞ！【ジジとバニラとムース】Animal crossing ?... cats crossing ! Find fossils !!,/watch?v=HMnjjUqJN7U,76,ジジとバニラとムース,209,4週間前,93,82
【しゃべる猫】ついにウチの猫がしゃべった!?【ジジとバニラとムース】Talking cat !?,/watch?v=YNdnpQsdRG8,89,ジジとバニラとムース,209,1か月前,93,96
"ウチのアメリカンドッグ、爆睡中w【ジジとバニラとムース】""Corn dog"" cat ??",/watch?v=NtwE6clxtIQ,52,ジジとバニラとムース,209,1か月前,93,56
"【メイキング】3兄弟のごはんはいつもこんなかんじですw【ジジとバニラとムース】Making ""Sounds of cat meal""",/watch?v=Zhl-TSuiQvA,63,ジジとバニラとムース,209,1か月前,93,68
【ASMR】猫の猫による猫のためのASMR ~咀嚼音~【ジジとバニラとムース】Sounds of cat meal,/watch?v=WJfIxgxfNz8,61,ジジとバニラとムース,209,1か月前,93,66
トカゲと僕 ~窓越しの出会い~【ジジとバニラとムース】Lizard & I,/watch?v=8K1NgE_vB0A,63,ジジとバニラとムース,209,1か月前,93,68
"ムースに初めてシャボン玉を見せたら…【ジジとバニラとムース】The first time ""Soap bubbles"" !!",/watch?v=sd1a6szmcuo,98,ジジとバニラとムース,209,2か月前,93,105
【zoom】猫3匹で『zoom(っぽい)会議』してみた！【ジジとバニラとムース】Cats meeting !?,/watch?v=fNaTHEuQP98,171,ジジとバニラとムース,209,2か月前,93,184
きょうのムース ~クンクンムース~【ジジとバニラとムース】sniff... sniff... sniff...,/watch?v=QJlAu5Ga35A,66,ジジとバニラとムース,209,2か月前,93,71
"【短編集】飼い主のスマホにはこんな動画もありました！Part2【ジジとバニラとムース】Short video 2  ""Jiji, Vanilla and Moose""",/watch?v=BM-cfam43js,90,ジジとバニラとムース,209,2か月前,93,97
"あなたは何問正解できる？「クイズ ジジとバニラとムース」！【ジジとバニラとムース】Quiz ! ""Jiji, Vanilla and Moose""",/watch?v=1ai3CxgEfz4,81,ジジとバニラとムース,209,2か月前,93,87
ジジ、実はネコじゃなかった!? はたまた役者だった!?【ジジとバニラとムース】Who is he ? ...Cat !? Really ?,/watch?v=2qjZSUH59ac,92,ジジとバニラとムース,209,2か月前,93,99
【睡眠用】ちょっとお昼寝しよ。休憩も大切だよ。【ジジとバニラとムース】For sleep with Moose.,/watch?v=X5AuIy6-4xE,82,ジジとバニラとムース,209,2か月前,93,88
【ジバムーの森】#1 島生活スタート！つりをしよう！【ジジとバニラとムース】Animal crossing ?... cats crossing ! Let's fishing !,/watch?v=QXB6Gy2etgs,145,ジジとバニラとムース,209,2か月前,93,156
"【新企画】「にゃんこ開発」より無人島移住パッケージプランのご案内です！supported by ""ジジとバニラとムース""【ジジとバニラとムース】New cats project !!",/watch?v=4pYWGQ9i-eE,103,ジジとバニラとムース,209,2か月前,93,111
反省会?! ムースが過去の動画を振り返っていたw【ジジとバニラとムース】Cat watching TV ?!,/watch?v=WDpgTQ_CO1g,107,ジジとバニラとムース,209,3か月前,93,115
【祝】チャンネル登録者100人記念！ジジ・バニラ・ムースの鳴き声100連発〜！【ジジとバニラとムース】Congratulations !! 100 subscribers !!,/watch?v=hih1uSsYqfM,147,ジジとバニラとムース,209,3か月前,93,158
【ドッキリ】ジジに寝起きドッキリ！その理由とは…？【ジジとバニラとムース】Cat owner VS. Jiji !!,/watch?v=51lDKjsHmp8,123,ジジとバニラとムース,209,3か月前,93,132
"【短編集】飼い主のスマホにはこんな動画もありました！Part1【ジジとバニラとムース】Short Video ""Jiji , Vanilla and Moose""",/watch?v=xgqzTLDoOZk,148,ジジとバニラとムース,209,3か月前,93,159
バニラと毛糸玉で遊んでいたらビックリさせられたw【ジジとバニラとムース】Long long cat !!,/watch?v=r4GM6Wcsgf8,167,ジジとバニラとムース,209,3か月前,93,180
けばけばムース！換毛期がやってきた！【ジジとバニラとムース】Brushing time !!,/watch?v=OCCZXdwFZiU,107,ジジとバニラとムース,209,3か月前,93,115
"朝ごはんハンター“ジジ”！【ジジとバニラとムース】Breakfast hunter ""Jiji""",/watch?v=VFcdYGDKh4Y,98,ジジとバニラとムース,209,3か月前,93,105
きょうのムース ~バテバテムース~【ジジとバニラとムース】Hot days continue ...,/watch?v=q8cj1ScOKgw,54,ジジとバニラとムース,209,3か月前,93,58
あそぼ！ごろごろバニラ！【ジジとバニラとムース】Let's play together!!,/watch?v=pnG2lYfqZMc,54,ジジとバニラとムース,209,3か月前,93,58
「甘えん坊のジジ」まで 3…2…1…！【ジジとバニラとムース】Countdown cat Jiji !,/watch?v=z2RZX_0Ajn0,54,ジジとバニラとムース,209,3か月前,93,58
【メイキング】「うちで踊ろう」チャンネル専属ダンサー “ムース”【ジジとバニラとムース】Dancing cat “Moose”,/watch?v=efB2cTr9lCs,48,ジジとバニラとムース,209,3か月前,93,52
おやつ捜査官！果たしておやつを見つけられたのか…？【ジジとバニラとムース】I'm policemen ! Find a snack !!,/watch?v=BunRDBvOUc4,68,ジジとバニラとムース,209,3か月前,93,73
うちで踊ろう / 星野源 feat.バニラ【ジジとバニラとムース】,/watch?v=TQPW2RBxIi0,136,ジジとバニラとムース,209,3か月前,93,146
えっと…だれ？w【ジジとバニラとムース】Who are you??,/watch?v=grksNz5S6Zs,35,ジジとバニラとムース,209,3か月前,93,38
トイレットペーパーで「Cat Challenge」やってみた！【ジジとバニラとムース】Cats VS. Toilet Paper Wall !,/watch?v=JAuSHMFh_Cs,180,ジジとバニラとムース,209,3か月前,93,194
僕たちも自粛してます！【ジジとバニラとムース】Refraining from going out !,/watch?v=fIjOx3m0rFI,48,ジジとバニラとムース,209,4か月前,93,52
3兄弟、初めてプラレールで遊んでみた！【ジジとバニラとムース】Play with Plarail !,/watch?v=6XXLKaSyDns,56,ジジとバニラとムース,209,4か月前,93,60
きょうのムース ~のんびりタイム~【ジジとバニラとムース】Moose for today ~Relaxing time~,/watch?v=01kpwmAi2cg,59,ジジとバニラとムース,209,4か月前,93,63
"はじめましての方へ！ジジとバニラとムースです！short ver.【ジジとバニラとムース】Nice to meet you! Our name is Jiji, Vanilla, and Moose!",/watch?v=9-6n6QK4LHU,243,ジジとバニラとムース,209,4か月前,93,261
おそとであそぼ！【ジジとバニラとムース】Let's play outside !,/watch?v=Zp8kN2YEXAs,84,ジジとバニラとムース,209,4か月前,93,90
Sleepy cat Jiji【ジジとバニラとムース】,/watch?v=lGd153qo0TI,78,ジジとバニラとムース,209,4か月前,93,84
どこまで届くかな？選手権！【ジジとバニラとムース】How far will it reach? Championship !,/watch?v=UKgGlsoz0v8,83,ジジとバニラとムース,209,4か月前,93,89
おやつのじかんだよ〜！【ジジとバニラとムース】It's snack time !,/watch?v=qo_4Y9WnkKs,80,ジジとバニラとムース,209,4か月前,93,86
ご飯の時間だ！いざ勝負だ？【ジジとバニラとムース】Battle of dinner !?,/watch?v=6yox4H2uX0c,82,ジジとバニラとムース,209,4か月前,93,88
【初投稿】ジジとバニラとムース！はじまるよ！【ジジとバニラとムース】Cat's channel ! Start !!,/watch?v=ltX5l9Z2kaQ,205,ジジとバニラとムース,209,4か月前,93,220
