title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】バナナクッキーを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=_FtUf3hC3fA,308,スイッツ【ASMR】,168,4か月前,196,157
【咀嚼音】カントリーマアムを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=A5AjFHLMNEE,234,スイッツ【ASMR】,168,4か月前,196,119
【咀嚼音】ショコラベールを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=Sx-eBgYLDK0,176,スイッツ【ASMR】,168,4か月前,196,90
【咀嚼音】5円チョコを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=J6IbmT3mbYs,215,スイッツ【ASMR】,168,4か月前,196,110
【咀嚼音】くるみを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=kRgKCAFJYFU,191,スイッツ【ASMR】,168,4か月前,196,97
【咀嚼音】さつまいもんを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=yTDcaYkBGMQ,199,スイッツ【ASMR】,168,4か月前,196,102
【咀嚼音】チョコスナックを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=HN78xpJHndY,195,スイッツ【ASMR】,168,4か月前,196,99
【咀嚼音】ビスケットチョコを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=KyNFftIS8a0,340,スイッツ【ASMR】,168,4か月前,196,173
【咀嚼音】紅茶クッキーを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=bHqx_MExZaA,162,スイッツ【ASMR】,168,4か月前,196,83
【咀嚼音】クリームサンドクラッカーを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=hUHIU-LEf_0,131,スイッツ【ASMR】,168,4か月前,196,67
【咀嚼音】きなこウエハースを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=1oU1q1fUC2M,180,スイッツ【ASMR】,168,4か月前,196,92
【咀嚼音】バナナチップスを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=QiKFwFuYS5g,136,スイッツ【ASMR】,168,5か月前,196,69
【咀嚼音】チョコスティックを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=imYhexkG7OA,167,スイッツ【ASMR】,168,5か月前,196,85
【咀嚼音】クランチチョコを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=3aS3_uCzink,200,スイッツ【ASMR】,168,5か月前,196,102
【咀嚼音】あずきりこを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=bx25vFoJmks,112,スイッツ【ASMR】,168,5か月前,196,57
【咀嚼音】クランチチョコレートを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=sMj_cS8eFck,200,スイッツ【ASMR】,168,5か月前,196,102
【咀嚼音】ホームパイのみみを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=0VMY9CQndaQ,156,スイッツ【ASMR】,168,5か月前,196,80
【咀嚼音】いちごラスクを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=L3zmFmLJLUY,119,スイッツ【ASMR】,168,5か月前,196,61
【咀嚼音】チョコじゃがりこを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=9aiMXhbvFDE,176,スイッツ【ASMR】,168,5か月前,196,90
【咀嚼音】チョコスティックを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=EvnIzdEz1fg,155,スイッツ【ASMR】,168,5か月前,196,79
【咀嚼音】グラノーラを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=BLF5BfIKvRM,181,スイッツ【ASMR】,168,5か月前,196,92
【咀嚼音】たべっ子どうぶつを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=1D8AZAk7C_A,284,スイッツ【ASMR】,168,5か月前,196,145
【咀嚼音】ルマンドを食べる。(eating sounds) [ASMR/スイッツ],/watch?v=JwVRt_meWno,172,スイッツ【ASMR】,168,5か月前,196,88
【咀嚼音】ビスケットを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=Hz7Bn9ztGFY,142,スイッツ【ASMR】,168,5か月前,196,72
【咀嚼音】じゃがチョコを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=m7oKO4tY3UY,164,スイッツ【ASMR】,168,5か月前,196,84
【咀嚼音】ミニチョコマリーを食べる。(eating sounds) [ASMR/スイッツ],/watch?v=Zy3Oe_VUu7o,120,スイッツ【ASMR】,168,5か月前,196,61
【咀嚼音】チョコビを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=zHaUxhnEykY,208,スイッツ【ASMR】,168,5か月前,196,106
【咀嚼音】チョコラングドシャを食べる。(eating sounds)[ASNR/スイッツ],/watch?v=67W6Ju5wIHc,211,スイッツ【ASMR】,168,5か月前,196,108
【咀嚼音】モグチョコを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=DS6X42BWfm4,155,スイッツ【ASMR】,168,5か月前,196,79
【咀嚼音】パックンチョを食べる。(eating sounds) [ASMR/スイッツ],/watch?v=a9J2RLrRKXg,245,スイッツ【ASMR】,168,5か月前,196,125
【咀嚼音】ビスケットを食べる。(eating sounds) [ASMR/スイッツ],/watch?v=UHUfeTibYzU,216,スイッツ【ASMR】,168,5か月前,196,110
【咀嚼音】源氏パイを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=MylX_S_w9G0,220,スイッツ【ASMR】,168,5か月前,196,112
【咀嚼音】カプリコを食べる。(eating sounds) [ASMR/スイッツ],/watch?v=jZ4zpww9y88,211,スイッツ【ASMR】,168,5か月前,196,108
【咀嚼音】ピーナッツチョコを食べる。(eating sounds) [咀嚼音/スイッツ],/watch?v=5Urp4bJC8Os,199,スイッツ【ASMR】,168,5か月前,196,102
【咀嚼音】カプリコのあたまを食べる。(eating sounds)[ASNR/スイッツ],/watch?v=7rtv3wwjM14,287,スイッツ【ASMR】,168,5か月前,196,146
【咀嚼音】ハートチョコを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=qp9ox4rPZh8,303,スイッツ【ASMR】,168,5か月前,196,155
【咀嚼音】オールレーズンを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=VJnfNqnjO10,207,スイッツ【ASMR】,168,6か月前,196,106
【咀嚼音】フエラムネを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=aOVh-1rEDAQ,182,スイッツ【ASMR】,168,6か月前,196,93
【咀嚼音】ロックチョコを食べる。(eating sounds)[咀嚼音／スイッツ],/watch?v=q9Sz9E3xQ4o,222,スイッツ【ASMR】,168,6か月前,196,113
【咀嚼音】エクレール・ショコラを食べる。(eating sounds)[ASMR/スイッツ],/watch?v=p6ASeJ-uRzw,164,スイッツ【ASMR】,168,6か月前,196,84
【咀嚼音】プッカチョコレートを食べる。(eating sounds) [咀嚼音／スイッツ],/watch?v=GGH4zGkPJ5c,146,スイッツ【ASMR】,168,6か月前,196,74
【咀嚼音】シュークリームの音。(eating sounds)[ASMR/スイッツ],/watch?v=ILR-uIu2hnA,222,スイッツ【ASMR】,168,6か月前,196,113
【咀嚼音】ビックチョコの音。(eating sounds) [咀嚼音/スイッツ],/watch?v=ADMOJSVYSuI,131,スイッツ【ASMR】,168,6か月前,196,67
