title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
一蘭のラーメンだけを３日間食べ続けたら何キロ太る？,/watch?v=dZNuKFy90w0,83749,タケヤキ翔/ラトゥラトゥ,1510000,12時間前,229067,37
【スラム街】西成でモーニングビールとホルモンを食う。,/watch?v=b9oPr8qdPjg,118346,タケヤキ翔/ラトゥラトゥ,1510000,1日前,229067,52
【閲覧注意】意味がわかると怖い画像を見てみた,/watch?v=2nvsS1MU9ZU,105861,タケヤキ翔/ラトゥラトゥ,1510000,2日前,229067,46
【検証】牛丼チェーン店のカレーを食べ比べ！コスパ良いのは？,/watch?v=rhlDJKVJVZ4,131318,タケヤキ翔/ラトゥラトゥ,1510000,3日前,229067,57
【すたみな太郎】食べ放題で全メニュー食べ切ってみた(焼肉、寿司、ラーメン),/watch?v=I1OWXx-DHnw,263001,タケヤキ翔/ラトゥラトゥ,1510000,4日前,229067,115
焼肉きんぐ食べ放題ランチ！1980円。,/watch?v=7MbYUU2fnV4,205305,タケヤキ翔/ラトゥラトゥ,1510000,5日前,229067,90
【大食い】超大盛りカツ定食がウマすぎた。,/watch?v=MZwtPG2b6do,180329,タケヤキ翔/ラトゥラトゥ,1510000,6日前,229067,79
【孤独の叙々苑】一人で焼肉ランチに行ってみた,/watch?v=FQYOEeP_Vk4,180024,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,79
【激安】焼肉1000円食べ放題！全メニュー食べてみた。,/watch?v=-T5WGHhbfN8,202506,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,88
Googleマップに映ってはいけない怖い画像を見てみた…,/watch?v=02St2dB_YI4,162577,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,71
吉野家の500円食べ放題チャレンジ！何キロ太る？,/watch?v=DMS4nSqkzlI,250582,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,109
【何ここ？】ラブホテルの部屋にあるウォータースライダーが危険すぎたww,/watch?v=IEX3m9bmKMk,367436,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,160
『15秒でオムライスを提供する店』がヤバかった！！,/watch?v=P9WKYqL-ZRs,288314,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,126
【MV】東京アップデート/ラトゥラトゥ｜Tokyo Update,/watch?v=yd7Uk0i8USs,108147,タケヤキ翔/ラトゥラトゥ,1510000,1週間前,229067,47
深夜2時に「餃子の王将」で好きなだけ大食い！何キロ太る？,/watch?v=f2AtBUC-EzQ,208332,タケヤキ翔/ラトゥラトゥ,1510000,2週間前,229067,91
【日本一大きい】1000gのカレーライス大食いチャレンジ！,/watch?v=8shpqzTpJF8,157972,タケヤキ翔/ラトゥラトゥ,1510000,2週間前,229067,69
