title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
激レア！カンガルーの仲間クオッカ！4匹みんなに名前がつきました！,/watch?v=OZePxJDBm8U,1018,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1日前,4992,20
スナネコの赤ちゃん　アミーラに超かわいい妹ができました！,/watch?v=olqx7HHQSxc,3390,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1日前,4992,68
日本最小のネズミ「カヤネズミ」カヤ玉作りが意外すぎた！,/watch?v=oPHikJjDVJQ,384,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1日前,4992,8
ゾウガメに夏の風物詩スイカをあげてみた！,/watch?v=PG_ND1w47us,1271,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1日前,4992,25
かわいい！断崖にすむシロイワヤギの赤ちゃん,/watch?v=emil2eUmqNM,694,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,2日前,4992,14
激レア！「小さなクジラ」スナメリ の脱皮！,/watch?v=2z5upU02FR0,1627,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,4日前,4992,33
キリンの赤ちゃん リュウト！初めての外の運動場。（おまけ映像有り）,/watch?v=kROIEOFMRUI,1058,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,4日前,4992,21
「動かない鳥」ハシビロコウ！16回目のお見合い！？,/watch?v=FHIRhUPttFQ,530,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,4日前,4992,11
アムールトラの母と娘 毛繕い中にハプニングが！？,/watch?v=mKexB-p9nPg,1978,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1週間前,4992,40
オランウータンの赤ちゃん 生後5か月でアクロバット！？,/watch?v=jE4rbODXNTQ,419,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1週間前,4992,8
レッサーパンダの赤ちゃん、得意の木登りがすごすぎた！,/watch?v=mynAnnHt8fk,887,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1週間前,4992,18
珍しい！マナティーの赤ちゃん、おっぱいゴクゴク,/watch?v=g_k2cXmDj_0,920,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1週間前,4992,18
カピバラ、スイカを食べる！※鳴き声などかわいいのでイヤホンで聴いてね,/watch?v=jFJcdrCURi0,1598,ダーウィンが来た! みんなのどうぶつえんすいぞくかん,6850,1週間前,4992,32
