title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
咀嚼音[ASMR]食べる福ふく小餅 Mochi Eating Sounds,/watch?v=EGixmrCo0RI,34,チカチカちゃんねる,6,1年前,102,33
咀嚼音[ASMR]食べる氷（いちご） Ice (strawberry) Eating Sounds,/watch?v=3Vhqvw3rlDE,36,チカチカちゃんねる,6,1年前,102,35
咀嚼音[ASMR]食べるオーザック ozack Eating Sounds,/watch?v=X1q6zOVS5RA,44,チカチカちゃんねる,6,1年前,102,43
咀嚼音[ASMR]食べるクッキー cookie Eating Sounds,/watch?v=-AoR1dKJqvc,19,チカチカちゃんねる,6,1年前,102,19
咀嚼音[ASMR]食べるモンブランケーキ Mont Blanc Cake Eating Sounds,/watch?v=05TY2xinZj0,104,チカチカちゃんねる,6,1年前,102,102
咀嚼音[ASMR]食べるバナナ banana Eating Sounds,/watch?v=UVmIJR9lsL0,43,チカチカちゃんねる,6,1年前,102,42
咀嚼音[ASMR]食べるカントリーマアム Country meam Eating Sounds,/watch?v=ELRxX9Jn9KY,39,チカチカちゃんねる,6,1年前,102,38
咀嚼音[ASMR]食べるとんがりこーん corn Eating Sounds,/watch?v=qapEYdy3AMI,24,チカチカちゃんねる,6,1年前,102,24
咀嚼音[ASMR]食べるほしいも potato Eating Sounds,/watch?v=6WwN4MNYAWg,129,チカチカちゃんねる,6,1年前,102,126
咀嚼音[ASMR]食べるサラダ salad Eating Sounds,/watch?v=pRv57YBqFfU,19,チカチカちゃんねる,6,1年前,102,19
咀嚼音[ASMR]食べるフルグラ カルビー Full calbee Eating Sounds,/watch?v=of2VMPBW6go,45,チカチカちゃんねる,6,1年前,102,44
咀嚼音[ASMR]食べるスーパーBIGチョコ Super BIG chocolate Eating Sounds,/watch?v=ixFcduNNozU,24,チカチカちゃんねる,6,1年前,102,24
咀嚼音[ASMR]食べるあん玉（松露）Bunny (syouro） Eating Sounds,/watch?v=m7XqwQsDm5k,63,チカチカちゃんねる,6,1年前,102,62
咀嚼音[ASMR]食べるポテトチップス（コンソメ）Potato chips (consomme) Eating Sounds,/watch?v=Rbfr1zlUTwo,19,チカチカちゃんねる,6,1年前,102,19
咀嚼音[ASMR]食べるりんご Apple Eating Sounds,/watch?v=COmDFqo17b4,19,チカチカちゃんねる,6,1年前,102,19
咀嚼音[ASMR]食べるカステラ Castella Eating Sounds,/watch?v=l54hlOF5apE,148,チカチカちゃんねる,6,1年前,102,145
咀嚼音[ASMR]食べる苺大福 Strawberry and grace Eating Sounds,/watch?v=oU2IyD4kN1Y,45,チカチカちゃんねる,6,1年前,102,44
咀嚼音[ASMR]食べるさきさきチーズ cheese Eating Sounds,/watch?v=lSJXfbYJwA8,47,チカチカちゃんねる,6,1年前,102,46
咀嚼音[ASMR]食べるみかん Mandarin orange Eating Sounds,/watch?v=5067w-POQ9o,44,チカチカちゃんねる,6,1年前,102,43
咀嚼音[ASMR]食べるサッポロポテトバーべQあじ Sapporo Potato Eating Sounds,/watch?v=257CX6LO-EE,35,チカチカちゃんねる,6,1年前,102,34
咀嚼音[ASMR]食べるアイスまんじゅう Ice Manju Eating Sounds,/watch?v=UirHuiCQlBQ,184,チカチカちゃんねる,6,1年前,102,180
咀嚼音[ASMR]食べるリポビタンD Nutrition Drink Eating Sounds,/watch?v=YDFyRhAdKHU,58,チカチカちゃんねる,6,1年前,102,57
咀嚼音[ASMR]食べるキムチ Kimchi Eating Sounds,/watch?v=VOZTQsCtgRY,1104,チカチカちゃんねる,6,1年前,102,1082
咀嚼音[ASMR]食べる御福餅 Mochimochi Eating Sounds,/watch?v=0e_xwKJNZfQ,325,チカチカちゃんねる,6,1年前,102,319
咀嚼音[ASMR]食べるホームパイ Crunchy Eating Sounds,/watch?v=fxVdNXAf_98,79,チカチカちゃんねる,6,1年前,102,77
Oddly Satisfying Slime Video#2,/watch?v=yttZE8Bv0SQ,9,チカチカちゃんねる,6,1年前,102,9
Oddly Satisfying Slime Video#1,/watch?v=P4OtJQwloDU,8,チカチカちゃんねる,6,1年前,102,8
