title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【おでぶ猫】真夏のヘソ天祭り【Fat cat】Midsummer’s Supine Festival,/watch?v=3YEanV8z0Ps,132,デブ猫タマネギ,1180,2日前,295,45
【眼鏡女子になったおデブ猫】【A fat cat who became a girl with glasses】,/watch?v=IPN--82_FRQ,147,デブ猫タマネギ,1180,1週間前,295,50
【真夏のおデブ猫】【Midsummer fat cat 】,/watch?v=WwSsgzsiTsc,169,デブ猫タマネギ,1180,2週間前,295,57
【壁ドンをするおデブ猫】【Fat cat touching the wall】,/watch?v=2g5YoVpd5P8,299,デブ猫タマネギ,1180,3週間前,295,101
【おでぶ猫のごはん】【Fat cat food 】,/watch?v=BTAhJJTtri4,220,デブ猫タマネギ,1180,1か月前,295,75
【おでぶ猫】お目目クリクリビーム【Fat cat】Beam with perfect eyes,/watch?v=6MpmTxQ4Oks,251,デブ猫タマネギ,1180,1か月前,295,85
【不思議なダンボールとおデブ猫】【Misterious cardboard and fat cat】,/watch?v=yK36jACAz5Y,218,デブ猫タマネギ,1180,1か月前,295,74
【紐でエクササイズをするおデブ猫】【Fat cat exercising with string】,/watch?v=cWh27H8TOy0,231,デブ猫タマネギ,1180,1か月前,295,78
【冷感ベッドが嬉しいおデブ猫】【Fat cat with a cool feeling bed】,/watch?v=ui5uSOT8X2M,240,デブ猫タマネギ,1180,1か月前,295,81
【ヒロイン気分のおでぶ猫】【Fat cat feeling like a heroine】,/watch?v=1jUmF7-RRrI,225,デブ猫タマネギ,1180,2か月前,295,76
【セクシー過ぎるおデブ猫】【Too sexy fat cat】,/watch?v=28CsCMEMZLI,298,デブ猫タマネギ,1180,2か月前,295,101
【カビゴンの様なおデブ猫】【Fat cat like Snorlax】,/watch?v=ngRH2Ylqxus,233,デブ猫タマネギ,1180,2か月前,295,79
【太くても階段を上る猫】【A cat that climbs stairs even if it is thick】,/watch?v=M6zdqptW6f4,257,デブ猫タマネギ,1180,2か月前,295,87
【ポケモンになったニャ～】【A fat cat became a Pokémon】,/watch?v=bqyRvLBFHjw,151,デブ猫タマネギ,1180,2か月前,295,51
【おでぶ猫のモーニングルーティン】【Morning Routine of Fat cat】,/watch?v=amidETsiuFY,233,デブ猫タマネギ,1180,2か月前,295,79
【表情豊かなおデブ猫】【Expressive fat cat】,/watch?v=aBYAWCIjs9A,229,デブ猫タマネギ,1180,3か月前,295,78
【ドレスを着たおデブ猫】【Fat cat in a dress 】,/watch?v=fJCL4RfSdJk,261,デブ猫タマネギ,1180,3か月前,295,88
【オシャレなおデブ猫】【Fashionable fat cat 】,/watch?v=polJHgqb8As,312,デブ猫タマネギ,1180,3か月前,295,106
【お目目クリクリなおデブ猫】【Fat cat with big eyes 】,/watch?v=Wlugj0FhOKU,348,デブ猫タマネギ,1180,3か月前,295,118
【大根と並んだおデブ猫】【Fat cat lined up with radish】,/watch?v=ShUf0AMzKos,314,デブ猫タマネギ,1180,3か月前,295,106
【もふもふなおデブ猫】【Fluffy chubby cat】,/watch?v=qurRJdWWs4g,329,デブ猫タマネギ,1180,4か月前,295,112
【恐竜 VS おデブ猫】【Dinosaur vs fat cat 】,/watch?v=kyhy9NldoJc,238,デブ猫タマネギ,1180,4か月前,295,81
【おデブ猫】意外と身軽【Fat cat】Surprisingly light,/watch?v=ali3DnI-I8g,287,デブ猫タマネギ,1180,4か月前,295,97
【癒しのおでぶ猫】【Healing fat cat】,/watch?v=LquZklwo_0U,249,デブ猫タマネギ,1180,4か月前,295,84
【菜の花の妖精おでぶ猫】【Rape blossoms fairy fat cat】,/watch?v=3XYGU0SXSBY,249,デブ猫タマネギ,1180,4か月前,295,84
【ゴロゴロ言うおデブ猫】【Fat cat is purring 】,/watch?v=5wZo9WvrPj0,244,デブ猫タマネギ,1180,5か月前,295,83
