title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【雑誌付録】高校生の夏の必需品は？カバンの中身紹介！,/watch?v=87I-C37k7rA,9686,ニコラTV,88500,13時間前,111530,9
朝から漫画にインスタ？ナチュラルだけどしっかりメイク中学生モデルの休日モーニングルーティン,/watch?v=2YONL0t4XC8,14234,ニコラTV,88500,1日前,111530,13
未公開の映え写真がいっぱい！インスタ毎日投稿の裏側♡,/watch?v=Vb_6U8yhRb0,15598,ニコラTV,88500,2日前,111530,14
めちゃ楽しい😁 絶対オススメ❗️爆笑ゲームやったら大盛り上がり🎉,/watch?v=cLxQHoWPqD8,16193,ニコラTV,88500,4日前,111530,15
時間制限！？色しばり！？仲良し中学生モデルがお揃いアクセサリーを買いに来たらルーレット登場した…,/watch?v=Hc0kGnrzm1Y,23866,ニコラTV,88500,5日前,111530,21
インスタ映えしちゃうスイーツがかわいい♡中学生モデルの休日ルーティン,/watch?v=i46mIlzxhxA,349457,ニコラTV,88500,6日前,111530,313
不仲説の真相…！？夏休み企画中に飛び出した、今だから話せる高校生モデルたちの本音とは,/watch?v=3KirebbqeLo,22532,ニコラTV,88500,1週間前,111530,20
夏！夏！夏！海に水着にスイカ割り♡夏の楽しいこと全部やるぞっ☆,/watch?v=MvoSf_3uqKY,47948,ニコラTV,88500,1週間前,111530,43
涙のニコ㋲卒業式 生配信の裏側,/watch?v=obMbSKBsGj8,34036,ニコラTV,88500,1週間前,111530,31
フィルター加工であっという間にインスタ映え！中学生モデルが付録を紹介します【雑誌付録】,/watch?v=X2C9PZGzbvU,28703,ニコラTV,88500,1週間前,111530,26
待って、まじで可愛いしか言葉が出ない。高校生モデルのルームツアー【かわいい！可愛い！KAWAII！】,/watch?v=RdR5NsKoLLU,47226,ニコラTV,88500,1週間前,111530,42
中学生モデルを撮影中に放置してみたら最後にドッキリが待っていた…！【モニタリング】,/watch?v=XxOJFXGvd70,39679,ニコラTV,88500,1週間前,111530,36
