title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
自分の好きなことや趣味で繋がる！今若者に大人気コミュニケーションアプリで通話機能使ってみたら楽しかった！,/watch?v=y9RwrU8CQe0,179,ヒロチューバーチャンネル,1290,1か月前,291,62
【ASMR】加速やばすぎ！フェラーリ488サウンドAceleração e exagero!   Ferrari 488 na via expressa metropolitana de Tóquio,/watch?v=yNIVkmDkMJ8,590,ヒロチューバーチャンネル,1290,2か月前,291,203
当選発表！【視聴者投票型】第2回プレゼント企画やって欲しい方👍ボタン！やって欲しくない方👎ボタン押してください！,/watch?v=rg6V432nrHY,101,ヒロチューバーチャンネル,1290,2か月前,291,35
今後について話します。,/watch?v=F0muHQs6-2c,145,ヒロチューバーチャンネル,1290,2か月前,291,50
【60万円】高級腕時計HUBLOTが⌚️スマートウォッチ発売！Apple Watchやめてウブロスマートウォッチ購入します！,/watch?v=dIzdRT36JYo,173,ヒロチューバーチャンネル,1290,2か月前,291,59
【60万円】ウブロが⌚️スマートウォッチ発表！Apple Watchやめてウブロスマートウォッチ購入します！,/watch?v=CJ_yvsil2cA,2529,ヒロチューバーチャンネル,1290,2か月前,291,869
つかさとコラボ！,/watch?v=lubJol8UYOU,47,ヒロチューバーチャンネル,1290,2か月前,291,16
つかさ、アゴキンとコラボ！,/watch?v=jlPJbkyhSQE,36,ヒロチューバーチャンネル,1290,2か月前,291,12
アゴキン、ナナシとコラボ！,/watch?v=gGpB5PhcAz8,64,ヒロチューバーチャンネル,1290,2か月前,291,22
暇なのでアゴキンと久しぶりにコラボします。,/watch?v=Ik4OdS3f20A,46,ヒロチューバーチャンネル,1290,2か月前,291,16
【視聴者投票型】ヒロチューバーのAirPodsProハンマーで壊してみた！やってほしい人高評価！やって欲しくない人低評価！,/watch?v=KWBJHoPG8r4,93,ヒロチューバーチャンネル,1290,2か月前,291,32
【視聴者参加型】２階から自分の携帯落としてみた動画やって欲しい人👍やって欲しくない人👎締め切りは今日17時まで！,/watch?v=VaG86dOYB2s,77,ヒロチューバーチャンネル,1290,3か月前,291,26
【視聴者投票型】 ヒロチューバー買った高級ボールペンハンマーで壊してみた！動画やって欲しい方高評価やって欲しくない人は低評価お願いします！,/watch?v=DfPyR0-xIJA,91,ヒロチューバーチャンネル,1290,3か月前,291,31
雑談,/watch?v=NveKKpllFtc,30,ヒロチューバーチャンネル,1290,3か月前,291,10
ASMR Colorful Konjac Jelly＆Grape Jelly＆Muscat Jelly(No Talking)｜HIROTuber@Zach Choi ASMR,/watch?v=E_CCvg_M4kc,98,ヒロチューバーチャンネル,1290,3か月前,291,34
※知り合いから送られてきた映像ホームセンターレジすごい行列,/watch?v=c5F8dKnxZuE,110,ヒロチューバーチャンネル,1290,3か月前,291,38
※知り合いから送られてきた映像ホームセンター駐車場満車！すごい混んでる！,/watch?v=o6LhIc9GzkA,97,ヒロチューバーチャンネル,1290,3か月前,291,33
※知り合いから送られてきた映像ホームセンター混雑動画まとめました【拡散希望】,/watch?v=WbxzDiHqels,53,ヒロチューバーチャンネル,1290,3か月前,291,18
※知り合いから送られてきた映像ホームセンターレジすごい行列,/watch?v=eK5v3dYWxU0,45,ヒロチューバーチャンネル,1290,3か月前,291,15
※知り合いから送られてきた映像ホームセンターレジすごい行列,/watch?v=bm5B6fXWY2g,52,ヒロチューバーチャンネル,1290,3か月前,291,18
※知り合いから送られてきた映像ホームセンターレジすごい行列,/watch?v=_0RTobVPA9A,26,ヒロチューバーチャンネル,1290,3か月前,291,9
※知り合いから送られてきた映像ホームセンター店内混雑の様子&レジすごい行列,/watch?v=Qg_b5dRoSk8,19,ヒロチューバーチャンネル,1290,3か月前,291,7
※知り合いから送られてきた映像ホームセンターレジすごい行列,/watch?v=DpFtDfFa0Co,26,ヒロチューバーチャンネル,1290,3か月前,291,9
※知り合いから送られてきた映像ホームセンターのエスカレーター人が多い,/watch?v=JFijeerKb5M,34,ヒロチューバーチャンネル,1290,3か月前,291,12
※知り合いから送られてきた映像ホームセンターレジすごい行列,/watch?v=E6wAJpuyst0,15,ヒロチューバーチャンネル,1290,3か月前,291,5
※知り合いから送られてきた映像ホームセンター駐車場満車！すごい混んでる！,/watch?v=CrEeI_TMYfU,22,ヒロチューバーチャンネル,1290,3か月前,291,8
※知り合いから送られてきた映像ホームセンター駐車場の様子レジすごい行列,/watch?v=YLiFdJCPVhs,88,ヒロチューバーチャンネル,1290,3か月前,291,30
