title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
コーギー犬のかわいい片手タッチ,/watch?v=oz9DJYIcLOc,118,ポパイtheコーギー,192,4か月前,197,60
階段の滑り止めを初めて導入してみたらかわいい下り方を撮影できた,/watch?v=n8Corymf9xQ,145,ポパイtheコーギー,192,4か月前,197,74
コーギー犬ポパイくん初めての誕生日,/watch?v=JwTn6J3OE-U,132,ポパイtheコーギー,192,5か月前,197,67
睡眠 vs 大好物 = ???,/watch?v=rIVceyvxhXU,92,ポパイtheコーギー,192,5か月前,197,47
かまちょの暴れる飼い主にドン引きする0歳コーギーポパイくん,/watch?v=0s0BmNjRarw,136,ポパイtheコーギー,192,5か月前,197,69
初めて聞くライオンの吠え声に、一丁前に唸りをきかせるもしっかり距離は保ってるコーギー犬ポパイくん,/watch?v=FfQs_b3CuWU,89,ポパイtheコーギー,192,5か月前,197,45
知育おもちゃの遊び方を間違えてるけどかわいすぎるコーギー犬ポパイくん,/watch?v=VE0Q9QAGc40,231,ポパイtheコーギー,192,5か月前,197,117
【換毛期】犬の毛のお掃除で買ってホントによかったなと思うもの3つ,/watch?v=ChpWu1c8Haw,528,ポパイtheコーギー,192,5か月前,197,268
なんだか痛そうな角度で気持ちよさそうに寝てるコーギー犬ポパイくん,/watch?v=2vGM0jBCcv8,127,ポパイtheコーギー,192,5か月前,197,64
ブラッシングが凄すぎて気持ちよくなっちゃうコーギー犬ポパイくん,/watch?v=yGsaPiTjKxw,853,ポパイtheコーギー,192,5か月前,197,433
愛情表現を通り越して凝視するコーギー犬ポパイくん,/watch?v=P4GaWrq7j4M,100,ポパイtheコーギー,192,6か月前,197,51
2/2 コーギーのペットボトル迷路チャレンジ Corgi Dog Maze Challenge,/watch?v=hnBvHE8KB6c,117,ポパイtheコーギー,192,6か月前,197,59
1/2 コーギーのペットボトル迷路チャレンジ Corgi Dog Maze Challenge,/watch?v=0pH1j4D6in4,110,ポパイtheコーギー,192,6か月前,197,56
熱い視線をおくってくるコーギー犬ポパイくん,/watch?v=npyMf_BaDMs,173,ポパイtheコーギー,192,6か月前,197,88
遊んでる最中に眠気に勝てずに寝てしまうコーギー犬ポパイくん,/watch?v=Es-1gB_fXx4,208,ポパイtheコーギー,192,6か月前,197,106
