title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
猫がご飯を食べる動画vol 6,/watch?v=Kd8uTs9skvw,11,ミルとミロとチビ,7,1日前,19,58
猫がご飯を食べる動画vol 5,/watch?v=FwltxJ-nReA,12,ミルとミロとチビ,7,2日前,19,63
猫がご飯を食べる動画vol 4,/watch?v=yZZnJD8bjtA,11,ミルとミロとチビ,7,3日前,19,58
猫がご飯を食べる動画vol 3,/watch?v=ESS4H656CeU,7,ミルとミロとチビ,7,3日前,19,37
猫がご飯を食べる動画vol 2,/watch?v=K9zuYqko6RQ,8,ミルとミロとチビ,7,4日前,19,42
キャットタワーがやってきた！多頭飼いにおすすめです！！ 0,/watch?v=biNUTGDMcrE,13,ミルとミロとチビ,7,5日前,19,68
保護猫たちのクラッキングがかわいい,/watch?v=CerFtAWIfFo,14,ミルとミロとチビ,7,1週間前,19,74
三匹の保護猫初めてのお風呂大絶叫三連発,/watch?v=mAw8PseNugs,34,ミルとミロとチビ,7,1週間前,19,179
子猫が夢中になって唸り声をあげるおもちゃはやっぱりねずみ？,/watch?v=uHUmw9RImpE,11,ミルとミロとチビ,7,1週間前,19,58
寝落ちする子猫…保護猫も安心して眠るようになりました,/watch?v=Bi0z7AzlT6Y,9,ミルとミロとチビ,7,1週間前,19,47
猫がご飯を食べる動画vol.1,/watch?v=zSD9qa198fs,16,ミルとミロとチビ,7,2週間前,19,84
スマホが好きな猫と嫌い？で威嚇する猫,/watch?v=ZNXmOy2XhpA,15,ミルとミロとチビ,7,2週間前,19,79
猫が喜ぶ映像を見せてみた時の子猫三兄弟それぞれの反応,/watch?v=uEsJr1Kn9ck,25,ミルとミロとチビ,7,2週間前,19,132
うまいうまいとしゃべりながらご飯を食べる三匹の子猫達,/watch?v=8NQWo50NmYw,49,ミルとミロとチビ,7,2週間前,19,258
【保護猫生後2か月位】ミルクの飲み方が下手な子猫3兄弟,/watch?v=HX9WvNT4H-M,57,ミルとミロとチビ,7,3週間前,19,300
