title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
音フェチ ＊ネイルタッピング＊,/watch?v=HiEdpUnW67I,3464,メープルシュガー,169,5年前,3134,111
【ASMR】耳かきや目うちでいろいろひっかいてみた     音フェチ,/watch?v=3_r1bMoegew,13045,メープルシュガー,169,5年前,3134,416
【ASMR】ネイルタッピング,/watch?v=QPOrVcb0Z3M,1641,メープルシュガー,169,5年前,3134,52
【ASMR】音フェチ 歩く音☆,/watch?v=z-eL9hs08yc,6045,メープルシュガー,169,6年前,3134,193
音フェチ いろんなお菓子を食べる音 【ASMR】,/watch?v=SEybslhFx7s,3839,メープルシュガー,169,6年前,3134,122
音フェチ ポテトチップスを食べてみた 【ASMR】,/watch?v=XvUJ7u5eOcA,2334,メープルシュガー,169,6年前,3134,74
【音フェチ】グミ食べてみた 咀嚼音【ASMR】,/watch?v=BZFtP8trv5w,2295,メープルシュガー,169,6年前,3134,73
音フェチ ＊ネイルタッピング＊,/watch?v=jQT5Ifj4TVc,3161,メープルシュガー,169,6年前,3134,101
音フェチ ＊グミを食べる音＊,/watch?v=4wLR0JZ6dJg,1980,メープルシュガー,169,6年前,3134,63
手のさする音＊ブラッシングなど...音フェチ,/watch?v=gQVPS5oCn9Y,1510,メープルシュガー,169,6年前,3134,48
音フェチ ＊いろいろ食べてみた 02,/watch?v=ldh804RPQtk,558,メープルシュガー,169,6年前,3134,18
音フェチ＊タッピング 01,/watch?v=V9vgPV4JUbU,581,メープルシュガー,169,6年前,3134,19
初投稿*\(^o^)/*,/watch?v=-PXJ0vkUuvQ,292,メープルシュガー,169,6年前,3134,9
