title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ラーメン好きのマホトに担々麺作ってみた！【豆乳冷やし担々麺】,/watch?v=hG2Sr5yDOmI,20077,ラブ川食堂,22200,1週間前,20243,99
人生初のザリガニは美味い？不味い？調理方法は？,/watch?v=XqPsQQOsgLU,10118,ラブ川食堂,22200,2週間前,20243,50
【お祝い】楽しすぎた！久しぶりのJJコンビと食事！,/watch?v=xySTVJpiufs,43910,ラブ川食堂,22200,3週間前,20243,217
海鮮でおつまみ！簡単にできるタコワサは必見！,/watch?v=UG7OAEqOVWA,10116,ラブ川食堂,22200,1か月前,20243,50
普段よりちょっと多く食べれちゃう！あっさり炒飯！,/watch?v=DQPB4yjM0Mk,7110,ラブ川食堂,22200,2か月前,20243,35
【酒にも合う】暑い日にはレモンでさっぱりネギ塩豚丼！,/watch?v=R45UgW8AT1o,11849,ラブ川食堂,22200,2か月前,20243,59
【一人BBQ】久しぶりのBBQは豪華にお取り寄せ！最高すぎた！,/watch?v=kJMOajKQkcM,20523,ラブ川食堂,22200,2か月前,20243,101
みんなで飲もう！オンライン飲み会開催します！,/watch?v=Pp_vBN5LnXE,6528,ラブ川食堂,22200,2か月前,20243,32
【相談あり】リモート飲み会開始！,/watch?v=_Tk81_-0PGM,9316,ラブ川食堂,22200,2か月前,20243,46
【家飲み】ポップコーンチキンと３種の簡単ソース！,/watch?v=CFOp65pAEbs,11396,ラブ川食堂,22200,3か月前,20243,56
【簡単】家にあるものでヘルシーお好み焼き作った！,/watch?v=JR0DsUYxF6I,13749,ラブ川食堂,22200,3か月前,20243,68
たった10分！誰でもできる絶品チャーハン！,/watch?v=hFjcHoJQSyU,10258,ラブ川食堂,22200,4か月前,20243,51
【アレンジ】お家で料理を楽しもう！カリカリチーズ焼き！,/watch?v=7N8QAGfJ4ew,11919,ラブ川食堂,22200,4か月前,20243,59
豪華海鮮オリーブオイル漬け！これがあれば料理が簡単に！,/watch?v=1cSvNlKfdKY,11368,ラブ川食堂,22200,4か月前,20243,56
【酒飲み必見】超簡単に作れるおつまみ３種盛り！,/watch?v=B53ICQhQVFg,16611,ラブ川食堂,22200,4か月前,20243,82
【これぞ男飯】味噌の焦げがたまらない！豚肉の味噌バター丼！,/watch?v=WzlykrlJegA,9582,ラブ川食堂,22200,4か月前,20243,47
【酒がうまい】たっぷりのにんにくでやみつきガーリックシュリンプ！,/watch?v=Ot21ElEWR38,24308,ラブ川食堂,22200,4か月前,20243,120
休日は自宅で贅沢に海老しゃぶで乾杯！,/watch?v=robf9mNBIG0,14274,ラブ川食堂,22200,5か月前,20243,71
ディズニーシーの知る人ぞ知る秘密の部屋で食事！？【Part3】,/watch?v=ZBVizag9FuA,13920,ラブ川食堂,22200,5か月前,20243,69
１日飲みまくり！ディズニーシーでのおすすめの酒の飲み方！【Part②】,/watch?v=xIIJJOJrEw8,15444,ラブ川食堂,22200,5か月前,20243,76
１日かけてディズニーシーのお酒飲みまくる！【Part①】,/watch?v=YED5Utz-RO4,19664,ラブ川食堂,22200,5か月前,20243,97
【ワイルド焼肉】牛タン丸々一本を焼いて食べる！,/watch?v=t-rm_EHdfsY,14317,ラブ川食堂,22200,5か月前,20243,71
【彼女リクエスト】大好評の具材たっぷり韓国風豚汁！,/watch?v=j4DAcLgFb7s,19973,ラブ川食堂,22200,6か月前,20243,99
ついにラブ川食堂の人気メニューが自宅で食べれる！,/watch?v=NfUkvLSVm0k,13969,ラブ川食堂,22200,6か月前,20243,69
緊張！初めて寿司屋のカウンターでお客さんに寿司を握る！,/watch?v=5Kl4K-vnm98,13523,ラブ川食堂,22200,6か月前,20243,67
意外とうまくできた！好きな魚を使って寿司を握る！,/watch?v=L2en0p9ApJQ,10914,ラブ川食堂,22200,6か月前,20243,54
【報告】彼女ができました！,/watch?v=rIN5EtMx7mg,69663,ラブ川食堂,22200,6か月前,20243,344
【手巻き寿司パーティ】好きなものを好きなように食べるの最高！,/watch?v=dFuRNsDU890,17450,ラブ川食堂,22200,6か月前,20243,86
【コンビニせんべろ】可愛いワンちゃんとお酒とおっさん！,/watch?v=CLkcbed26tc,26007,ラブ川食堂,22200,6か月前,20243,128
【今までで１番泥酔】酔っ払いの幸せ動画！最後は記憶ないかも…,/watch?v=HZzGxctSv8c,19558,ラブ川食堂,22200,6か月前,20243,97
【酒処鍋小屋】色々な鍋を食べて、飲んで、酔っ払う！,/watch?v=vp2IJXiZQNI,24375,ラブ川食堂,22200,6か月前,20243,120
【コンビニせんべろ】おすすめの飲み方紹介したら酔っ払い！,/watch?v=1Jkhj-vYrco,24613,ラブ川食堂,22200,6か月前,20243,122
【せんべろ泥酔】コンビニのものでオススメの飲み方！,/watch?v=Pt-Y8xNn4rA,26436,ラブ川食堂,22200,7か月前,20243,131
【残りご飯レシピ】おやつ？つまみ？これは美味すぎる！,/watch?v=INOcSnWXiCI,10241,ラブ川食堂,22200,7か月前,20243,51
【一人BBQ】好きなものを好きなだけコンビニで買ってBBQ！,/watch?v=5XTKsyDZKRo,16265,ラブ川食堂,22200,7か月前,20243,80
こってりホルモンのタレの中にご飯を突っ込む！【ホルモン飯】,/watch?v=mKtkcDXdT28,11658,ラブ川食堂,22200,7か月前,20243,58
【真似したみた】テレビのやつを想像で作ってみたら美味すぎた！,/watch?v=fusV6TDPlyE,17065,ラブ川食堂,22200,7か月前,20243,84
【特製マグロ丼】味付けは超簡単！３種の具材が最高に合う！,/watch?v=3Fer0a2bSUQ,9627,ラブ川食堂,22200,7か月前,20243,48
【朝食BBQ】起きてすぐにBBQを準備して絶品朝ごはん！,/watch?v=7zGwvOOEj7w,23754,ラブ川食堂,22200,7か月前,20243,117
【餅ピザ】これはうまい！みんな大好き照り焼きチキンマヨ！,/watch?v=1yYzmeS6jzk,11663,ラブ川食堂,22200,7か月前,20243,58
【白子の昆布締め】大人のつまみ！これで一杯どうですか？,/watch?v=Qn9M98PqZpQ,27334,ラブ川食堂,22200,7か月前,20243,135
【マグロの炭火焼き】縁起の良いもので今年スタート！,/watch?v=dec8LQ82xLI,24539,ラブ川食堂,22200,7か月前,20243,121
【一人BBQ】今年最後のBBQ！カニを焼いて贅沢をする！,/watch?v=bmHBjkEBlhM,33457,ラブ川食堂,22200,7か月前,20243,165
【ごま油】無限に食える絶品鍋！味付けも超簡単！,/watch?v=2dJXM8nlKiA,17313,ラブ川食堂,22200,7か月前,20243,86
【クリスマス】フライドチキンより絶対バッファローチキン ！,/watch?v=EWnt_InfFcc,11051,ラブ川食堂,22200,7か月前,20243,55
【クリスマス】飾り次第で豪華に！簡単ひとくちフライドチキン！,/watch?v=0ktFLyMADbM,8475,ラブ川食堂,22200,7か月前,20243,42
【海老しゃぶ】こんなの幸せに決まってる！最高の贅沢飯！,/watch?v=npVpuOqVMRk,57266,ラブ川食堂,22200,7か月前,20243,283
【新発見】高級でもったいない、けど試したい！うなぎの唐揚げ！,/watch?v=bHC53bXhhPE,8242,ラブ川食堂,22200,8か月前,20243,41
【お正月用】日本酒に半日漬けるだけ！鮭とばの酒びたし！,/watch?v=SH7ZEK65YjI,12870,ラブ川食堂,22200,8か月前,20243,64
【一人焼き鳥】炭火で焼いた鶏肉は絶品！至福のひととき！,/watch?v=Q9nxW2G42tk,41643,ラブ川食堂,22200,8か月前,20243,206
【アメリカの味】冬にとろ〜りマカロニチーズ！おやつにどうぞ！,/watch?v=hk76zBJxZsc,17736,ラブ川食堂,22200,8か月前,20243,88
【モッパン】一人飲みを贅沢に！美味しいサムギョプサル！,/watch?v=zNkEYVPxd9c,33167,ラブ川食堂,22200,8か月前,20243,164
【おつまみ飯】飲んで食べて最高！旨味がすごい鮭とば炒飯！,/watch?v=NfnrEAE1bMg,8174,ラブ川食堂,22200,8か月前,20243,40
【誰でもできる】全部ぶっこむだけで、子供が大好きな味に！,/watch?v=Nyl0F6w8X8I,14141,ラブ川食堂,22200,8か月前,20243,70
【飯テロ】酒飲みながら最高のつまみで最高にうまいシメ飯作った！,/watch?v=oVD4LYE9IWM,11229,ラブ川食堂,22200,8か月前,20243,55
こんな簡単にさらに美味しくなる！？【チキンラーメンアレンジ】,/watch?v=YUbwnsG0VMM,18976,ラブ川食堂,22200,8か月前,20243,94
【お正月用】この正体は！？酒が止まらなくなる最強のつまみ！,/watch?v=ATpKWOv5LiI,112091,ラブ川食堂,22200,8か月前,20243,554
【自家製】生野菜を使ったご飯がすすむ！薬味たっぷり食べるラー油！,/watch?v=DUplHIyPhPA,14191,ラブ川食堂,22200,8か月前,20243,70
【冷凍食品飯】こんなにすごいの？これは食べなきゃ損！,/watch?v=JpncklGdmXQ,16052,ラブ川食堂,22200,8か月前,20243,79
