title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
保護犬ロティ、お散歩するも野生感ゼロ。in マレーシア,/watch?v=-kbHm7v-6kA,26,ロティちゃんねる,26,4日前,48,54
【ASMR】愛犬ロティの咀嚼音(°▽°)【睡眠用】【音フェチ】,/watch?v=6SVFP5uRqgs,12,ロティちゃんねる,26,1週間前,48,25
保護犬ロティおそらく初であろう音の鳴るオモチャをゲット！鳴らすのだ！鳴らすのだー！！！,/watch?v=gU_IzHrkn-8,33,ロティちゃんねる,26,1週間前,48,69
保護施設のおっちゃんは言っていた「She is jamper( ^ω^ )」と。,/watch?v=ijxEQF1ivfY,25,ロティちゃんねる,26,1週間前,48,52
在宅勤務を邪魔しない愛犬ロティのせいで仕事が出来ない！in マレーシア【チベタンスパニエル】【保護犬】,/watch?v=Q8dnVEyHBvI,26,ロティちゃんねる,26,2週間前,48,54
出自不明の保護犬ロティの犬種をアプリで調べてみた！【チベタンスパニエル】【マレーシア】,/watch?v=ufgPbyUPzvA,26,ロティちゃんねる,26,2週間前,48,54
大好きなちゃんななとパール(フレンチブルドッグ)が遊びに来ました！in マレーシア【保護犬】【チベタンスパニエル】,/watch?v=Zckl9-7qukE,44,ロティちゃんねる,26,3週間前,48,92
犬嫌いの青年と愛犬ロティのお戯れシリーズ②,/watch?v=LXOkGtUl1zo,30,ロティちゃんねる,26,3週間前,48,62
犬嫌いの青年と愛犬ロティのお戯れシリーズ①,/watch?v=a05-14meyng,38,ロティちゃんねる,26,4週間前,48,79
すんごいのが撮れた！【衝撃映像】,/watch?v=XUovfxOUfzI,39,ロティちゃんねる,26,1か月前,48,81
ロティをちゃんななんちのフレンチブルドッグとお散歩に連れて行ったら、すごい奇跡がおきた！！！！(釣りタイトルみたい) 保護犬ロティ初めてお散歩 in マレーシア,/watch?v=D5FrjZCyCNo,65,ロティちゃんねる,26,1か月前,48,135
保護犬ロティ初めてのシャンプー in マレーシア,/watch?v=bGaRY1SIebU,83,ロティちゃんねる,26,1か月前,48,173
お向かいのちゃんななんちのフレンチブルドッグとの戦いの記録 2020年7月10日 in マレーシア,/watch?v=D2eYJ1K0SFQ,78,ロティちゃんねる,26,1か月前,48,162
愛犬ロティを定点カメラアプリで盗撮…撮影してみました☺️🐕笑,/watch?v=YyQ5WwlSGSY,43,ロティちゃんねる,26,1か月前,48,90
愛犬ロティにオウチをプレゼントしたの巻,/watch?v=_uRnS3DerxQ,48,ロティちゃんねる,26,1か月前,48,100
愛犬ロティVSお掃除ロボットILIFE,/watch?v=SqDxwXkQMb4,79,ロティちゃんねる,26,1か月前,48,165
保護施設から犬を貰ってきました🐕 in マレーシア(携帯用),/watch?v=z7WsEP4UHQU,127,ロティちゃんねる,26,1か月前,48,265
