title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
猫の爪とぎ芸,/watch?v=sJt6wDKfTXE,47,ワル猫オーイ君,,3週間前,268,18
ダイソーで買ったネズミのおもちゃで遊んでみた,/watch?v=gsm2X3oO8BI,136,ワル猫オーイ君,,4週間前,268,51
チューブラリンでからかってみた　2,/watch?v=u1gqr2pL5T8,157,ワル猫オーイ君,,1か月前,268,59
チューブラリンでからかってみた　1,/watch?v=OEmRNaiAp5A,136,ワル猫オーイ君,,1か月前,268,51
チューブラリンで遊んでみた,/watch?v=gIZPBLX67b8,193,ワル猫オーイ君,,1か月前,268,72
まただび玉であそんでみた,/watch?v=t6QQVCardbw,265,ワル猫オーイ君,,3か月前,268,99
ワル猫にねこじゃすりをつかってみた。,/watch?v=oB2yHQJ5hfk,287,ワル猫オーイ君,,3か月前,268,107
猫の咳　こんな咳をしたら病院に連れて行きましょう,/watch?v=SM4ufoXGIgU,445,ワル猫オーイ君,,3か月前,268,166
猫の威嚇　もし自分のテリトリーに他の猫が入ってきたら　オーイ君VS茶トラ白1号編　2,/watch?v=9BEzeR3mxwc,70,ワル猫オーイ君,,4か月前,268,26
猫の威嚇　もし自分のテリトリーに他の猫が入ってきたら　オーイ君VS茶トラ白1号編　1,/watch?v=i3YzPXETR1k,60,ワル猫オーイ君,,4か月前,268,22
去勢手術をした元ワル猫に再び「オス猫が反応しちゃう音声」を聞かせてみた。,/watch?v=iTFZt6oz6Dg,202,ワル猫オーイ君,,4か月前,268,75
寝ている猫にマタタビを嗅がせて起こしてみた。,/watch?v=tIcrjSCL3ZE,315,ワル猫オーイ君,,4か月前,268,118
オーイ君のニャン玉を撮影してみた2,/watch?v=rqq5XLhLGv8,293,ワル猫オーイ君,,5か月前,268,109
オーイ君のニャン玉を撮影してみた1,/watch?v=eMjxCLKyImg,307,ワル猫オーイ君,,5か月前,268,115
ごしごしブラッシングした後、寝落ちする猫,/watch?v=AGeLXomI-Tg,289,ワル猫オーイ君,,5か月前,268,108
甘噛みしてきたので、デコピンで反撃してみた。,/watch?v=65yPWTMk46E,441,ワル猫オーイ君,,5か月前,268,165
去勢していないワル猫に「オス猫が反応しちゃう音声」を聞かせてみた。,/watch?v=lhtRSLrFFpI,393,ワル猫オーイ君,,5か月前,268,147
寝ている猫に「猫の威嚇」音声を流して起こしてみた。,/watch?v=CHNPWdG7_3w,380,ワル猫オーイ君,,5か月前,268,142
口と手をピクつかせながら寝るワル猫,/watch?v=ruAdnMLfIsE,360,ワル猫オーイ君,,6か月前,268,134
舌を出しながら寝るワル猫,/watch?v=4mkCceGzR8A,348,ワル猫オーイ君,,6か月前,268,130
猫の咀嚼音　５　かつお節編,/watch?v=SIMFL0EXRCs,127,ワル猫オーイ君,,6か月前,268,47
猫の威嚇　野良猫編,/watch?v=ZHb85UYCk98,222,ワル猫オーイ君,,6か月前,268,83
オーイ君の体重測定　2020年1月,/watch?v=-EHOEx-9UUU,154,ワル猫オーイ君,,7か月前,268,57
ワル猫の寒さ対策,/watch?v=RJIWuW859Dk,608,ワル猫オーイ君,,7か月前,268,227
サーモンが好きな猫,/watch?v=J5qMGhHKt7o,565,ワル猫オーイ君,,7か月前,268,211
猫の咀嚼音　４　チャオちゅ〜る４本完食編,/watch?v=p23yDNv-xwg,283,ワル猫オーイ君,,7か月前,268,106
猫の咀嚼音　３　猫缶完食編,/watch?v=0vws4SveDzU,508,ワル猫オーイ君,,7か月前,268,190
猫の咀嚼音　２,/watch?v=VmHc4VduRwg,275,ワル猫オーイ君,,7か月前,268,103
猫の咀嚼音　1,/watch?v=IMXAiIC1j-E,235,ワル猫オーイ君,,7か月前,268,88
おもちゃのネズミを猫にあたえてみた。　オーイ君編,/watch?v=_NKOJlUNSGI,147,ワル猫オーイ君,,7か月前,268,55
タラの水煮を猫に食べさせてみました。,/watch?v=8ot7-Qzu87g,120,ワル猫オーイ君,,7か月前,268,45
猫のスプレー(放尿)　cat marking territory,/watch?v=SSqNz8ZZWzc,287,ワル猫オーイ君,,7か月前,268,107
マタタビの効果　プク編,/watch?v=SX3pqlpH2kA,145,ワル猫オーイ君,,7か月前,268,54
猫のひたいをしつこく撫でてみた,/watch?v=IhoH6jQI9NU,139,ワル猫オーイ君,,7か月前,268,52
おもちゃのネズミを猫にあたえてみた。　プク編,/watch?v=oaeChsQ_VKQ,170,ワル猫オーイ君,,7か月前,268,63
スマック　熟成まぐろスライス,/watch?v=7U0wdzv-iko,507,ワル猫オーイ君,,7か月前,268,189
マタタビの効果　オーイ君編,/watch?v=2o5pUi_S-04,161,ワル猫オーイ君,,8か月前,268,60
オーイ君の朝食　２,/watch?v=vS-TBSMWuuA,309,ワル猫オーイ君,,8か月前,268,115
オーイ君の朝食　１,/watch?v=cKz8NuLwazM,319,ワル猫オーイ君,,8か月前,268,119
オーイ君の食事風景,/watch?v=PFdZdo-seas,333,ワル猫オーイ君,,8か月前,268,124
