title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ダンスで転倒。ベッド大破！,/watch?v=Co5Pk7bxcvo,485,倉内昌弘,416,3か月前,139,349
男子ダイエット必見！ヘルシー白滝焚き込み飯とお手軽サバ缶料理,/watch?v=MMueReYhWLg,104,倉内昌弘,416,8か月前,139,75
ぽかぽか牡蠣鍋作るぞ！ ([ツイキャスvlog] 2019.12.11),/watch?v=zkAg6gMPUbI,35,倉内昌弘,416,8か月前,139,25
[ツイキャス] (大成功)キムチ鍋に挑戦🐔 (2019.11.11),/watch?v=LAlNDAfpaas,52,倉内昌弘,416,9か月前,139,37
昼雑　かぶ料理に挑戦！,/watch?v=F_efN9B9qo0,94,倉内昌弘,416,1年前,139,68
【料理】ぷるぷるオレンジデザートに挑戦！,/watch?v=z5-KJZsHKzg,117,倉内昌弘,416,1年前,139,84
【必見！！】 激うまビーフストロガノフに挑戦！,/watch?v=9exC5BCCf8M,79,倉内昌弘,416,1年前,139,57
[ツイキャス] 本格インド料理に挑戦！  (2019.03.21),/watch?v=zh0gfWkseRY,61,倉内昌弘,416,1年前,139,44
[ツイキャス] パネチキンを作るぞ！ (2019.02.10),/watch?v=wq9GSbAxTwI,98,倉内昌弘,416,1年前,139,71
[ツイキャス] チーズドッグつくり (2018.12.02),/watch?v=9XYBKqzZCHY,262,倉内昌弘,416,1年前,139,188
