title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【乃木坂46 松村沙友理】まいやんの生配信中にマンゴーのつまみ食いと格闘中のまっちゅん🍎,/watch?v=lIovQIV90Mk,62,動画ちゃんねる乃木坂,,12時間前,1240,5
【乃木坂46 松村沙友理】何歳にみえますかぁ？んぅ〜19歳　ちがうちがう◯◯歳www,/watch?v=uCKIORbxyXo,259,動画ちゃんねる乃木坂,,1日前,1240,21
【乃木坂46 白石麻衣】卒コン詳細　まいやんの想い,/watch?v=wXO58j3KDWQ,545,動画ちゃんねる乃木坂,,1日前,1240,44
【乃木坂46 白石麻衣　秋元真夏】　私とまいやん　私と真夏,/watch?v=pyFQa4hNcuQ,91,動画ちゃんねる乃木坂,,1日前,1240,7
【乃木坂46 梅澤美波】唐揚げの咀嚼音　ASMR 【イヤホン推奨】梅澤美波1st写真集インスタライブ,/watch?v=SFmEuwaUaO8,109,動画ちゃんねる乃木坂,,2日前,1240,9
【乃木坂46 久保史緒里】彼女から電話してきたシリーズ💕乃木恋　縦画面,/watch?v=S3sd5OtoEXA,89,動画ちゃんねる乃木坂,,2日前,1240,7
【乃木坂46 賀喜遥香】彼女が電話してきたシリーズ⤴️⤴️⤴️ 乃木恋💕,/watch?v=HmcP8bOFxAw,98,動画ちゃんねる乃木坂,,2日前,1240,8
【乃木坂46】2020.8.18収録後の質問で【厳しい事はある？】って聞かれてwww,/watch?v=1DaPU1ClMgI,77,動画ちゃんねる乃木坂,,3日前,1240,6
【乃木坂46 白石麻衣】ブチギレても　美しいまいやん‼️‼️ 乃木坂にいてくれて、本当にありがとう🎶,/watch?v=yZI56uNFiAY,86,動画ちゃんねる乃木坂,,3日前,1240,7
【乃木坂46 #筒井あやめ】ギャルになって・・・。www,/watch?v=HzFTg2HKsTE,251,動画ちゃんねる乃木坂,,3日前,1240,20
【乃木坂46】愛してるゲームが恥ずかしい‼️さくちゃん　#遠藤さくら　#金川紗耶,/watch?v=Vao8Rd7HjqA,170,動画ちゃんねる乃木坂,,4日前,1240,14
【乃木坂4期生】柚菜ちゃんが好き？って聞いたら　効果音つけてしまうかまちょな#賀喜遥香,/watch?v=lngiIJooJ8U,208,動画ちゃんねる乃木坂,,5日前,1240,17
【乃木坂46 遠藤さくら】メンバー間ではペット扱いのさくちゃん,/watch?v=P75lgwUCwxA,3205,動画ちゃんねる乃木坂,,5日前,1240,258
【乃木坂46 早川聖来】特技は即興の作詞作曲ですが、まさかの盗作疑惑www,/watch?v=jgo7wnJcp10,139,動画ちゃんねる乃木坂,,5日前,1240,11
【乃木坂46】聖来ちゃんカメラマンの肌がちゅべちゅべな　#柴田柚菜,/watch?v=I36-a3J4_6w,244,動画ちゃんねる乃木坂,,1週間前,1240,20
【乃木坂46 伊藤理々杏】のぎおびの宿題　キメ顔15回するねぇ💕💕💕,/watch?v=E6z2danty_4,57,動画ちゃんねる乃木坂,,1週間前,1240,5
【#乃木坂46】歴代センターメンバー　やっぱ乃木坂だな‼️,/watch?v=k7ej2aQwlKo,157,動画ちゃんねる乃木坂,,1週間前,1240,13
#乃木坂46  💕【あ〜ん選手権】💕少しまとめてみました💕,/watch?v=ZCR9UNHbcws,98,動画ちゃんねる乃木坂,,1週間前,1240,8
【乃木坂46】彼女感満載な　#梅澤美波,/watch?v=KT8_DMVKxsU,484,動画ちゃんねる乃木坂,,1週間前,1240,39
【乃木坂46】#早川聖来　キュン確定動画💕💕💕,/watch?v=DhRBnju45oA,269,動画ちゃんねる乃木坂,,1週間前,1240,22
【乃木坂46】撮ってるか確認する#齋藤飛鳥ちゃんシリーズ,/watch?v=GP8Xf81HvNs,267,動画ちゃんねる乃木坂,,1週間前,1240,22
【乃木坂46 のぎおび8/11】けん玉に夢中で二の腕をプルプルさせて恥ずかしがる伊藤純奈ちゃん,/watch?v=sWoLuD_jQvQ,176,動画ちゃんねる乃木坂,,1週間前,1240,14
【乃木坂46】乃木坂4期生の不思議ちゃん#北川悠理　vs自由すぎるアトム君👍,/watch?v=yWAIfPzlOaw,874,動画ちゃんねる乃木坂,,1週間前,1240,70
【#乃木坂46】ツンデレな林瑠奈　気分次第でサービスしてくれる乃木坂新4期生の瑠奈ちゃん　文字起こし,/watch?v=q_a2SUIJHBU,130,動画ちゃんねる乃木坂,,1週間前,1240,10
【#乃木坂46】#梅澤美波　写真集撮影場所はオーストラリア　オフショット💕💕💕,/watch?v=Wj_8IpOG7FE,162,動画ちゃんねる乃木坂,,1週間前,1240,13
【#乃木坂46】まあやがれなちとイチャイチャしてたら、まさかのまあやの口の中にwww,/watch?v=1K-58keTmBw,98,動画ちゃんねる乃木坂,,1週間前,1240,8
【#乃木坂46】いじけている早川聖来ちゃんを　イジり続ける山崎伶奈パイセン　縦画面,/watch?v=X6n1GXWOtvg,236,動画ちゃんねる乃木坂,,1週間前,1240,19
#乃木坂46 3年前のメンバーの目標　努力すれば叶うと教えてくれた乃木坂46,/watch?v=r8R1iGdPNG4,73,動画ちゃんねる乃木坂,,1週間前,1240,6
【#乃木坂46】#齋藤飛鳥さんに怒られてしまいました‼️,/watch?v=Pus2nMydPuQ,129,動画ちゃんねる乃木坂,,1週間前,1240,10
【#乃木坂46】デレが苦手で照れてしまう#齋藤飛鳥,/watch?v=xT5rhhiPKO8,253,動画ちゃんねる乃木坂,,2週間前,1240,20
【#乃木坂46】カワイイからチューしたくなる常習犯　#秋元真夏　#松村沙友理,/watch?v=c3nWHJrf9Ho,219,動画ちゃんねる乃木坂,,2週間前,1240,18
【乃木坂46】寝る前の彼女とリモート電話　#堀未央奈,/watch?v=cg3fFEiy6_U,150,動画ちゃんねる乃木坂,,2週間前,1240,12
TikTok  #WOWWOWダンスメドレー　7日目 追加　梅澤美波　ROUTE246,/watch?v=kL2WXWFMaZA,6781,動画ちゃんねる乃木坂,,2週間前,1240,547
【乃木坂46】#梅澤美波さん　ファースト写真集９／29発売おめでとう‼️本人からの嬉しいメッセージと萌えキャラ,/watch?v=qUEqg_By8tw,133,動画ちゃんねる乃木坂,,2週間前,1240,11
【乃木坂46 #CDTVライブライブ】出演者の恒例の壁にサイン　選抜メンバー＋ピンチヒッター　ひなちまとみり愛ちゃん,/watch?v=RuvM1n4n8mo,188,動画ちゃんねる乃木坂,,2週間前,1240,15
【乃木坂46  #林瑠奈】初めましての方に性格まとめました‼️まさかの可愛い女の子好き🙈　あっち路線なのかwww,/watch?v=yx2BYNWKYjs,376,動画ちゃんねる乃木坂,,2週間前,1240,30
TikTok 乃木坂46 #WOWWOWダンス　6日目メドレー　6日目追加メンバーは秋元真夏さん　8/3現在,/watch?v=0O4Ols2Zbdk,1012,動画ちゃんねる乃木坂,,2週間前,1240,82
【乃木坂46 賀喜遥香】何を言ってるかわからないけど、とにかく可愛い　かっきー‼️,/watch?v=bQm28LsR1xk,300,動画ちゃんねる乃木坂,,2週間前,1240,24
