title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【恋話】現役中学生が本気で恋愛感語ってみた！【べにじゅったん】,/watch?v=vAKbTtWYSHo,390,南青山少女隊,6730,10時間前,9621,4
【大人買い！】セボンスターたくさん開封してみた！【じゅり】,/watch?v=RuiOd0oUREc,723,南青山少女隊,6730,5日前,9621,8
贖罪、歌ってみた,/watch?v=13VfDrsaBPE,1055,南青山少女隊,6730,1週間前,9621,11
【過酷】24時間ピンクのものだけで生活してみた！【あいさ】,/watch?v=qr7qc_v7J5Q,4794,南青山少女隊,6730,1週間前,9621,50
学生/学校あるある、可愛い＆面白いTikTokまとめ！【南青山少女隊】,/watch?v=hZD94SFAbNU,2053,南青山少女隊,6730,2週間前,9621,21
【サンキューマート購入品紹介】約15点の便利雑貨がコスパ良過ぎた！【あいさ】,/watch?v=tYkRIzXp_Os,4655,南青山少女隊,6730,2週間前,9621,48
激辛の食べ物ってホントに辛いの？キッズモデルが検証してみた！【じゅったん】,/watch?v=nW7g1JL1MM0,1510,南青山少女隊,6730,3週間前,9621,16
【女子中学生が歌ってみた】そっけない / RADWIMPS(Covered by さとみん)【南青山少女隊】,/watch?v=11-LQRs73uA,4598,南青山少女隊,6730,3週間前,9621,48
【質問コーナー】急遽あいさに電話！？キッズモデルの恋愛は？|後編！【りん】,/watch?v=A3XZIWvAhGI,2433,南青山少女隊,6730,4週間前,9621,25
JC2キッズモデルのいつも使ってるコスメコレクションを紹介！【じゅり】,/watch?v=m-GmUAzYejY,1775,南青山少女隊,6730,1か月前,9621,18
【質問コーナー】キッズモデルがNGナシでなんでも答えます！【りん】,/watch?v=ZVDUxGZi6TE,3457,南青山少女隊,6730,1か月前,9621,36
【中学2年生】キッズモデルの休日モーニングルーティン【りん】,/watch?v=tn2xJDb8srA,4268,南青山少女隊,6730,1か月前,9621,44
【踊ってみた】BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) 【べに】,/watch?v=jZ3re9XVP34,3169,南青山少女隊,6730,1か月前,9621,33
【Shuta Sueyoshi / HACK】を音ゲーにして足痩せ下半身痩せダンスしてみた【寝たまま＆スマホ見ながら！】【あいさ】,/watch?v=WDlEHiy9I74,9525,南青山少女隊,6730,1か月前,9621,99
【プチプラばっかり！】お気に入りのかわいいアクセサリーを紹介します！【じゅり】,/watch?v=oyjkHpu3EKY,1595,南青山少女隊,6730,1か月前,9621,17
【女子中学生】朝起きてから学校に行くまでのモーニングルーティン【あいさ】,/watch?v=VkB0CUvqj1U,12787,南青山少女隊,6730,1か月前,9621,133
【新中学生】お気に入りの鬼滅の刃グッズも！中学一年生スクールバッグの中身を紹介します！【あいさ】,/watch?v=JKVo3BIx6NU,6718,南青山少女隊,6730,1か月前,9621,70
【中学生キッズモデル】撮影用の毎日メイクを紹介してみたけどメイク動画って難しい、、！【りん】,/watch?v=6SvO3gPShXM,4096,南青山少女隊,6730,2か月前,9621,43
【中学生】メイク落としからスキンケアのやり方/ルーティーンを紹介します！【じゅったん】,/watch?v=8PmRizCoT7Q,3336,南青山少女隊,6730,2か月前,9621,35
【中2女子】勉強用のペンケースを紹介します！【りん】,/watch?v=3pkAUKefB2w,5721,南青山少女隊,6730,2か月前,9621,59
【お家で簡単！】野菜も取れるスムージー色々な種類作ってみた！【じゅり】【作り方】,/watch?v=AoRDkh7Id1E,1667,南青山少女隊,6730,2か月前,9621,17
【中1女子のルームツアー】流行りのフェアリーライトをつけたりSNS映えするお部屋を紹介します！【あいさ】,/watch?v=8aA9Qmw04ng,25662,南青山少女隊,6730,2か月前,9621,267
【お家で簡単！】オレオチーズケーキ作ってみた！【べに】【作り方】,/watch?v=bHFYJrLCung,2482,南青山少女隊,6730,2か月前,9621,26
オンラインでワードウルフやってみたら想像以上に楽しめた！,/watch?v=mDRVVYLi1qY,2701,南青山少女隊,6730,2か月前,9621,28
【中学生キッズモデル】自粛期間で変わったことは？オンライン授業！？【オンライントーク】,/watch?v=5u90WZCvh_c,3336,南青山少女隊,6730,2か月前,9621,35
【中学2年】机を紹介します！BLACK PINKエリアがある！？【じゅり】,/watch?v=pDPl5PdRs2Y,13293,南青山少女隊,6730,2か月前,9621,138
【新中学生】Popteenの付録を使ってオトナっぽメイク！【6月号】,/watch?v=FliJyphi7zE,5037,南青山少女隊,6730,2か月前,9621,52
【自粛期間中】あいさの休校中１日ルーティン【女子中学生ver】,/watch?v=uvJNR_YdO10,22574,南青山少女隊,6730,3か月前,9621,235
【中学2年】コスメ/メイク収納＆コスメを大量にご紹介！【じゅり】,/watch?v=oDLgfDYx3z4,9123,南青山少女隊,6730,3か月前,9621,95
【自粛期間中】夏休みってどうなった？行事も全部中止ってマジ？【南青山少女隊ラジオ②】,/watch?v=R3Dah-z2LaQ,3824,南青山少女隊,6730,3か月前,9621,40
【中学2年生】べにのナイトルーティーン【自粛期間中】,/watch?v=VVaCiNXj4e4,12172,南青山少女隊,6730,3か月前,9621,127
【流行りのピープス系！】中学生になったので新しい筆箱の中身を紹介します！【あいさ】,/watch?v=Rf8macvtafc,22967,南青山少女隊,6730,3か月前,9621,239
【踊ってみた】ヒロイン育成計画 /HoneyWorks【あいさ/南青山少女隊】,/watch?v=sHkwLSQW39E,16489,南青山少女隊,6730,3か月前,9621,171
【中学生キッズモデル】自粛期間、休校期間中はみんなどうやって過ごしてる？コロナ太りって実際ある？【南青山少女隊ラジオ①】,/watch?v=UwZ1UXI5Ik0,5898,南青山少女隊,6730,3か月前,9621,61
Yahoo!検索関連ワード1位を当てるクイズやったら当たり前過ぎる答えに大苦戦！,/watch?v=h1B1Qvk_egM,2995,南青山少女隊,6730,3か月前,9621,31
【咀嚼音】火を使わない！安全で失敗ナシのいちご飴作ってASMRもしたよ！【あいさ】,/watch?v=e0KNfEa7Moc,8487,南青山少女隊,6730,4か月前,9621,88
【じゅったん先生】怖い番組が好きなんだけど見たらやっぱり怖い！どうしたらいいですか！？【お悩み相談室】,/watch?v=ZDatlcQ9xp8,2062,南青山少女隊,6730,4か月前,9621,21
YouTube検索関連ワード1位を当てるクイズやったら予想以上に難しかった！,/watch?v=ksVPxubY70s,3312,南青山少女隊,6730,4か月前,9621,34
【新中学生】人生初のカラコン付けたら目の大きさ変わり過ぎて衝撃だった！【あいさ】,/watch?v=VDK0JcW3EEE,7031,南青山少女隊,6730,4か月前,9621,73
敏感肌の人も使えるスキンケアアイテムを紹介！無印良品、ハトムギ化粧水等、、！【じゅり＆じゅったん】,/watch?v=Ql-3KjAtYTA,10201,南青山少女隊,6730,4か月前,9621,106
【ノーミラーメイク】成功？失敗？アイメイクが激ムズ過ぎて苦戦！【あいさ】,/watch?v=ZazReweArks,5118,南青山少女隊,6730,4か月前,9621,53
【韓国激辛】ブルダックポックンミョンを水無し真顔でレビューに挑んだ結果,/watch?v=hoGPyjGgYlw,6651,南青山少女隊,6730,4か月前,9621,69
【もひとりおるおる！】2人だけを目指す共感ゲームやったら強めのクセが出まくったw,/watch?v=vJrpeA0t9Ws,6060,南青山少女隊,6730,4か月前,9621,63
世界一甘いお菓子グラブジャムンに水なしで挑戦したら秒で勝負ついたw,/watch?v=qjvHZyT-QYE,7082,南青山少女隊,6730,4か月前,9621,74
絶対に言ってはいけないNGワードしりとりしたら迷走しまくったwww,/watch?v=OFaGWPdNDK0,4466,南青山少女隊,6730,5か月前,9621,46
こんな先生だったら最高過ぎる！理想の先生について現役小・中学生が正直に話します！,/watch?v=4juHXz2pmhI,5176,南青山少女隊,6730,5か月前,9621,54
ミラーもあってPASMOも入れられる！可愛い＆便利なiphone用スマホケースを紹介します！,/watch?v=0Kgx7GOixHQ,10260,南青山少女隊,6730,5か月前,9621,107
クラスに1人はこういう男子いるよねw【男子あるある演技】,/watch?v=sBzgVvWVPEA,7569,南青山少女隊,6730,5か月前,9621,79
【TikTok】総再生回数500万回以上！人気＆おもしろTikTok動画まとめ！【南青山少女隊】,/watch?v=1infgplklkE,15559,南青山少女隊,6730,5か月前,9621,162
PASMOの残高が一発でわかるアプリ！？現役中学生のスマホの中身を紹介します！【べに＆じゅったん】,/watch?v=ZgR5ghQtA0M,12030,南青山少女隊,6730,5か月前,9621,125
【TikTok対決】どっちが好き？ふわふわカワイイ系女子か、サバサバクール系女子！【あなたの投票で決めてください！】,/watch?v=je_JWCb3Hew,10993,南青山少女隊,6730,5か月前,9621,114
小・中学生のスマホの中身紹介！一緒のアプリはあった？？？【あいさ&じゅり】,/watch?v=SPsDhBalGsY,12498,南青山少女隊,6730,5か月前,9621,130
【キッズモデルが教える】できることから始めるダイエット/体型維持のためにやっていること！,/watch?v=fWZDA10ljCo,8210,南青山少女隊,6730,6か月前,9621,85
【TWICE_FANCY】一列に並んでダンスしたら1人だけが踊ってるように見えるの？【挑戦！】,/watch?v=KS97LT9RDuc,17839,南青山少女隊,6730,6か月前,9621,185
小学生や初心者でも出来る簡単ヘアアレンジを5パターン紹介します！【あいさ】,/watch?v=_pnWEIPa0CA,23803,南青山少女隊,6730,6か月前,9621,247
【カバンの中身紹介】現役中学生のカバンの中身がオシャレ過ぎた！【じゅり＆べに＆さとみん】,/watch?v=tSVRRHxo41k,16600,南青山少女隊,6730,6か月前,9621,173
モデルあるあるやったけどこんな人いたら嫌過ぎるwww,/watch?v=omQUazfnJ8U,7425,南青山少女隊,6730,6か月前,9621,77
【筆箱の中身紹介】お道具箱みたいな大きさ！事務キチってなに？？？中1キッズモデルの筆箱を紹介！【じゅり＆りん】,/watch?v=xXwFtonTby4,29584,南青山少女隊,6730,6か月前,9621,307
【バレンタインなので】見たらめっちゃマカロン作りたくなる動画。,/watch?v=E3zTmj1uUEU,3563,南青山少女隊,6730,6か月前,9621,37
【中2女子の毎日メイク】二重の調子良いときと悪いときあるよね【さとみん】,/watch?v=T89NsmL1rPU,7706,南青山少女隊,6730,6か月前,9621,80
冬の私服コーデ紹介！どのコーデをマネしたい？？？,/watch?v=PuA-DFiTDVk,7035,南青山少女隊,6730,6か月前,9621,73
【料理名だけで料理】カルボナーラ作ってみた！,/watch?v=8Gf5ihR8grg,5059,南青山少女隊,6730,7か月前,9621,53
【カバンの中身紹介】オシャレで大人な小・中学生女子に！現役キッズモデルのカバンにはかわいくて便利なアイテムがたくさん！【あいさ/じゅったん】,/watch?v=1mTNm7gLUX0,15899,南青山少女隊,6730,7か月前,9621,165
【百均メイク】学生の味方ダイソー！1000円以下でフルメイクできちゃうしクオリティもめっちゃ高くて驚きました！【小・中学生】,/watch?v=-c9yYF4hm94,8806,南青山少女隊,6730,7か月前,9621,92
小学生に関するクイズで全員一致するまで帰れませんやったら小学校によって全然違う常識に驚きの連続だった！,/watch?v=baPHaw3qd6w,16977,南青山少女隊,6730,7か月前,9621,176
【小6女子】あいさの机を紹介します！机の上から引き出しの中まで、ドレッサー代わりにも使ってます！【あいさ】,/watch?v=QelsDq7ERVQ,56520,南青山少女隊,6730,7か月前,9621,587
【ファミマ】目指せ全品バラバラ！絶対に被ってはいけないコンビニ商品！楽勝じゃない？と思いきや、、、？,/watch?v=r0LeJ0EQ4do,12246,南青山少女隊,6730,7か月前,9621,127
【スクールバッグの中身紹介】現役中学生モデルの普段のスクバって何が入ってるの？【べに】,/watch?v=K9xIPC201Ck,15851,南青山少女隊,6730,7か月前,9621,165
【筆箱の中身紹介】小・中学生キッズモデルの筆箱には普段何が入ってるの？【べに＆あいさ】,/watch?v=Ia3OeG2CUgY,44905,南青山少女隊,6730,7か月前,9621,467
【自己紹介】YouTuber、南青山少女隊です。明けましておめでとうございます！【元日】,/watch?v=s7D_6ULhi48,10388,南青山少女隊,6730,7か月前,9621,108
【女子小中学生】パプリカ 歌って踊ってみた/Foorin（フーリン）/米津玄師(Covered by あいさ＆さとみん)【南青山少女隊】,/watch?v=1iOtzCregfk,12158,南青山少女隊,6730,7か月前,9621,126
モデルだらけの絶対に笑ってはいけない一発ギャグ選手権が面白すぎたwwwwwww,/watch?v=171aomByf6Q,36269,南青山少女隊,6730,7か月前,9621,377
【中学生が歌う/歌詞付き】旅立つ日 歌ってみた/JULEPS(Covered by さとみん)【南青山少女隊】,/watch?v=141WHCfKylk,8017,南青山少女隊,6730,7か月前,9621,83
【ポーズチャレンジ】キッズモデルなら何されてもどんな時でもカワイイまま止まっていられるよね？,/watch?v=aZnOcZsZYbk,12755,南青山少女隊,6730,7か月前,9621,133
【歌詞付き】ただ君に晴れ 歌ってみた/ヨルシカ(Covered by さとみん)【南青山少女隊】,/watch?v=l2ZPFfX9ejY,13949,南青山少女隊,6730,7か月前,9621,145
【初心者向け】ポージングのコツを現役キッズモデルが教えます！できるよって人も、もしかしたら上達のヒントがあるかも、、？,/watch?v=AFM0fb868eE,5163,南青山少女隊,6730,7か月前,9621,54
【抜き打ちカバンの中身紹介！】1人だけ抜き打ちカバンチェック！小・中学生キッズモデルの普段のカバンにはなにが入ってるの？,/watch?v=td2TZiFQyU0,9801,南青山少女隊,6730,7か月前,9621,102
【30秒で30枚！】テーマ別の連続ポーズ決めに挑戦！テーマに合わせながらOKポージングをたくさん取れるのは誰？,/watch?v=0alnv88QjkU,15513,南青山少女隊,6730,7か月前,9621,161
【ASMR雑談】囁き声でぶっちゃけトークしたら睡眠の時に起こる衝撃のクセが発覚しました【べにあいさ】,/watch?v=4H5hn3IJtHo,4015,南青山少女隊,6730,7か月前,9621,42
【30分チャレンジ】ジャルジャルさんのコント「国名分けっこやる奴」を30分でコントとして成立させられるか挑戦してみた結果、、、。【実力派じゅったんの演劇部】,/watch?v=DyVnrL_lqIM,2638,南青山少女隊,6730,8か月前,9621,27
帽子好きじゅったんが冬だけじゃなくて年中使える可愛い帽子を紹介します！【キャップ/ベレー帽/バケットハット/等々、、、】,/watch?v=veVcW5c9xJY,1570,南青山少女隊,6730,8か月前,9621,16
シャルル 踊ってみた【南青山少女隊/じゅり】,/watch?v=JqZz9CwfTuk,5257,南青山少女隊,6730,8か月前,9621,55
【ASMR雑談】囁き声で大きな声では言えないぶっちゃけトークしたら2人ともビビリ過ぎましたw【じゅりべに】,/watch?v=AdWggMSrhR4,2179,南青山少女隊,6730,8か月前,9621,23
【1000円以内縛り】小・中学生の子供が喜ぶ人気なクリスマスプレゼント紹介＆交換会！安くてもかわいくて便利なものばかりで、サンタ、トナカイ、クリスマスツリー？wのコスプレもしてるよ【クリスマス企画】,/watch?v=lwtS-ejImHI,18762,南青山少女隊,6730,8か月前,9621,195
【小中学生にも簡単にできる！】クリスマスコスプレをポージングもしながら紹介！コスプレ初心者の人も着るだけでクリスマスっぽくなるものばっかりでした！【サンタクロース/トナカイ/？？？】,/watch?v=lCN1BFGAtaQ,7846,南青山少女隊,6730,8か月前,9621,82
【中1女子】長いニーハイとかの靴下を紹介します！お気に入り過ぎて何本も同じの持ってます！【じゅり】,/watch?v=Qt1LxzulHnM,9602,南青山少女隊,6730,8か月前,9621,100
