title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
久しぶりの生配信！夜ご飯は麺を作りました🍜一緒に食べましょ〜,/watch?v=YT_VYm8_p60,746,夏本あさみ,5270,6時間前,21321,3
誕生日カウントダウン生配信🎉,/watch?v=EM2j3fGKJw0,2766,夏本あさみ,5270,1か月前,21321,13
美食探偵のロッシーニ作ってみよう！ / 小林苺ちゃん風コスプレ,/watch?v=dAl4NWoUkn0,1642,夏本あさみ,5270,2か月前,21321,8
【バーガーキング】ストロング超ワンパウンドビーフバーガー挑戦【ウーバーイーツ 】【期間限定】,/watch?v=5u0ltZJlyBg,4037,夏本あさみ,5270,2か月前,21321,19
【ASMR】あざとい咀嚼音。きゅうりの一本漬け【音フェチ】Japanese eating cucumber.,/watch?v=d-ZNT0glscw,8037,夏本あさみ,5270,3か月前,21321,38
同棲6ヶ月目のオレの彼女 〜お昼ご飯〜【オレカノ】【妄想彼女】,/watch?v=bfPogJu2ZXY,2410,夏本あさみ,5270,3か月前,21321,11
ラジオ体操第一　初見だと誰も踊れない説,/watch?v=XvxlucH4TPY,3966,夏本あさみ,5270,3か月前,21321,19
【vlog】ドバイ旅行で3食無料のプール付きホテル【アルハマドバイ】,/watch?v=BrckML3pk8I,2128,夏本あさみ,5270,3か月前,21321,10
同棲6ヶ月目のオレの彼女 〜朝ごはん〜【オレカノ】【妄想彼女】,/watch?v=xiICnRCj06M,4802,夏本あさみ,5270,3か月前,21321,23
【脚痩せ】むくみ知らずの毎日セルフマッサージ,/watch?v=c1pTZIVZFEg,3577,夏本あさみ,5270,3か月前,21321,17
【ASMR】音を楽しむおにぎり【あざとい】Make and eat　Japanese rice balls.,/watch?v=G70oL9KVOlU,4052,夏本あさみ,5270,3か月前,21321,19
【ASMR】音を楽しむ正しい手洗い【音フェチ】hand washing to enjoy the sound.,/watch?v=Pttv8P3cbtg,34181,夏本あさみ,5270,3か月前,21321,160
【あさみライン】自分のイメージDVDを鑑賞したら恥ずかしすぎた【夏本あさみ】【グラドル史上初】,/watch?v=nZPzcCyMe1g,296477,夏本あさみ,5270,4か月前,21321,1391
全く参考にならないグラドルの筋トレ。,/watch?v=HVKbcPPx_Q8,2775,夏本あさみ,5270,4か月前,21321,13
チワマルが私の声で遠吠えするようになりました。　talking with dog.,/watch?v=LTZypbmXm2E,1407,夏本あさみ,5270,4か月前,21321,7
【作ってみた】日本一ぶりっこなダルゴナコーヒー作り【달고나커피】,/watch?v=klRm2lCZ84Y,1316,夏本あさみ,5270,4か月前,21321,6
胸の病気についてお話します。【漏斗胸】,/watch?v=Z-aoVDJxxs4,9901,夏本あさみ,5270,4か月前,21321,46
【健全】夜のストレッチ,/watch?v=A1vFm0yVUPg,11216,夏本あさみ,5270,4か月前,21321,53
【初投稿】夏本あさみの正しい手洗い【グラドル】,/watch?v=s3KTlIaFAew,9665,夏本あさみ,5270,4か月前,21321,45
