title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
雑談メイク始めました。,/watch?v=6Dg-MeCEZHE,902,多田愛佳/오오타아이카,23100,14時間前,9965,9
【毎日メイク】新作&お気に入りコスメでdaily makeup/데일리 메이크업.,/watch?v=ivgbFUuGvjQ,2033,多田愛佳/오오타아이카,23100,6日前,9965,20
【ご報告】多田愛佳から大事なお話。,/watch?v=pMSV1oy7dQo,6656,多田愛佳/오오타아이카,23100,1週間前,9965,67
【mukbang】ラミョンポッキ作って食べる😋,/watch?v=EPdEf7K0dv0,3210,多田愛佳/오오타아이카,23100,1か月前,9965,32
【おうちカフェ】お店のタピオカの味がお家で味わえる❤️《StayHome》,/watch?v=GnVs3f4l3_M,3808,多田愛佳/오오타아이카,23100,3か月前,9965,38
【韓国通販サイト】初紹介！POPREAの購入品紹介❤︎,/watch?v=c_5cIJC-O7E,3627,多田愛佳/오오타아이카,23100,3か月前,9965,36
【セルフカット】前髪の切り方教えます❤️,/watch?v=uBSZbatYOzc,3994,多田愛佳/오오타아이카,23100,3か月前,9965,40
【人生初体験】初心者でも失敗しないセルフカラー🥳,/watch?v=Ate-p29MzDg,3746,多田愛佳/오오타아이카,23100,3か月前,9965,38
【韓国通販】JUSTONEで春夏に着られる服を大量購入品！紹介するよ〜❤️,/watch?v=TOLCmT1srXE,5628,多田愛佳/오오타아이카,23100,4か月前,9965,56
【2019ベスコス】日本コスメだけのbest cosmetic,/watch?v=avv_b7HlUL4,3269,多田愛佳/오오타아이카,23100,6か月前,9965,33
【2019ベスコス】韓国コスメだけのBEST COSMETIC💕,/watch?v=3kg700V3rxw,3133,多田愛佳/오오타아이카,23100,6か月前,9965,31
【黒髪メイク】黒髪に似合う！垢抜け・デカ目メイク❤︎,/watch?v=XQoKX93Wk0s,3978,多田愛佳/오오타아이카,23100,6か月前,9965,40
【今年絶対流行る】プチプラなのに高見えする韓国通販サイト！《JUST ONE》,/watch?v=FHJtvScWfYs,2655,多田愛佳/오오타아이카,23100,6か月前,9965,27
【眉毛】セルフで簡単！眉毛の脱色、ブリーチ方法(^^),/watch?v=mPDS95Oxme8,2179,多田愛佳/오오타아이카,23100,6か月前,9965,22
【GRWM】一緒に準備しよう！雑談メイク/같이 준비해요,/watch?v=x935Cx35XEs,3541,多田愛佳/오오타아이카,23100,7か月前,9965,36
最近の使い切りコスメ&スキンケア🌼韓国コスメ/プチプラコスメ,/watch?v=YASIX7yeNPs,4286,多田愛佳/오오타아이카,23100,7か月前,9965,43
【GRL/グレイル】❗️急げ❗️売り切れ直前！？購入品紹介🍞,/watch?v=VXdHvdaEbbw,11602,多田愛佳/오오타아이카,23100,7か月前,9965,116
【コスメ収納】全部見せます！！《後編》,/watch?v=Bqxrl9d_P50,3158,多田愛佳/오오타아이카,23100,7か月前,9965,32
【コスメ収納】初公開です。《前編》,/watch?v=M4Uu2Am6t44,5437,多田愛佳/오오타아이카,23100,7か月前,9965,55
【新年の挨拶】あけよろ〜⛩❤︎❤︎❤︎多田愛佳,/watch?v=A_hdXhMjdhg,2874,多田愛佳/오오타아이카,23100,7か月前,9965,29
