title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
～夜桜日記～動画アップをお休みしていた理由はね。#28,/watch?v=SIdH9TVS7z8,82,夜桜とSUBARUのへや【幸せのおすそわけ】,199,1か月前,63,130
～夜桜日記～くだらないアフレコで遊ぶママ！もふ猫とぬいぐるみ達♪Cat playing with stuffed animals.#27,/watch?v=8TRv8HlIV3Q,117,夜桜とSUBARUのへや【幸せのおすそわけ】,199,1か月前,63,186
～夜桜日記～美女とダンス⁉勝手に踊らされるもふ猫(笑)Kitten dancing.NorwegianForestCat.#26,/watch?v=cvHxVA9SIyI,77,夜桜とSUBARUのへや【幸せのおすそわけ】,199,1か月前,63,122
～夜桜日記～喋るもふ猫♪みんなに言いたいことがあるようです・・・ Talking Cat! #25,/watch?v=NFdDUw7UomU,99,夜桜とSUBARUのへや【幸せのおすそわけ】,199,1か月前,63,157
突然のお散歩にとまどう、うちの亀さん♪のこのこの大冒険【今日ののこさん】#2 Turtle Walk.Healing Animals,/watch?v=KNrjOawiops,32,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,51
フォートナイト シーズン３紹介ムービー fortnite season3 movie #14,/watch?v=LLsPJUECHDI,36,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,57
～夜桜日記～パパvs夜桜リターンズ(笑)寝室側から可愛い攻防戦が撮れました♪ NorwegianForestCat.cute kitten #24,/watch?v=dPFa8YbwIEw,52,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,83
～夜桜日記～クイックルワイパーと初対面！反応が可愛くてつい意地悪しちゃいました♪ NorwegianForestCat.I've been mean to cats.#23,/watch?v=YQJSMZPeGRk,42,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,67
フォートナイト ソロスクチャレンジしてたのに鬼ごっこになった回(笑) fortnite #13,/watch?v=HRESCsgQhTg,32,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,51
～夜桜日記～「ごはんとおやつをくれる下僕」認定あざます！今日のおやつは赤いもの♪I'm the underme of the cat. Today's snack is red.#22,/watch?v=AkMNMcm7WFM,47,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,75
～夜桜日記～ボールも飼い主もコーロコロ♪転がし上手のもふ猫！Kitten rolling the ball.#21,/watch?v=KoKQIaMubX0,37,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,59
～夜桜日記～寝室に入りたいもふ猫とパパの必死の攻防戦！kitten vs daddy. NorwegianForestCat.#20,/watch?v=tAim7QOUmE0,40,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,63
～夜桜日記～祝☆生後6か月！大好きなバナナでお祝いしたよ♪いつもありがとうございます！#19 NorwegianForestCat  six months of birth.,/watch?v=NOlS8sw9HBs,96,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,152
～夜桜日記～見知らぬ猫を助けたい心優しきもふ猫 ノルウェージャンフォレストキャット Cat to worry about cat.NorwegianForestCat#18,/watch?v=wuwjqSiJXW0,66,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,105
～夜桜日記～あくび（変顔）をクールにごまかす女子猫。ごまかせてませんけど！(笑)＃17 NorwegianForestCat.Cheating cat.,/watch?v=_2b8pBaDy9w,35,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,56
～夜桜日記～大好きな紐で遊びながらもカメラチェックは欠かさない意識高い系もふ猫＃16 A cat that likes strings.NorwegianForestCat.,/watch?v=izggjdsI-Oo,22,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,35
じいちゃんの畑の収穫を子供たちとお手伝い♪～じゃがいもと大根編～,/watch?v=DwMibXBCIOA,133,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,211
～夜桜日記～落ちそうなスリルを味わいたいもふ猫 ノルウェージャンフォレストキャット NorwegianForestCat ＃15,/watch?v=9ycM3YYWivA,38,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,60
クリエのボウリングでフィーバーナイト！？ フォートナイト fortnite #12,/watch?v=I_cP36TyfK0,79,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,125
フォートナイト アリーナソロで練習中だってばよ！#11,/watch?v=x7Uu_k3xWYA,13,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,21
～夜桜日記～初めてのちゅーる！おやつは楽しいスキンシップ♪ノルウェージャンフォレストキャット＃14,/watch?v=_pAUwLhc2Fs,20,夜桜とSUBARUのへや【幸せのおすそわけ】,199,2か月前,63,32
～夜桜日記～水を飲む、それだけで可愛いのはずるい！ノルウェーフォレストジャンキャット NorwegianForestCat #13,/watch?v=lUzpOQ1wCU4,38,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,60
～夜桜日記～もふ猫に何度でも騙されたい下僕 ノルウェーフォレストジャンキャット NorwegianForestCat #12,/watch?v=6mKqOYrNIeI,25,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,40
～夜桜日記～幸せそうな寝顔を見たいんだい！おネムなもふ猫 ノルウェーフォレストジャンキャット NorwegianForestCat #11,/watch?v=DPYxNFmGfhc,33,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,52
～夜桜日記～絶対ボクサーになれないぐーたらもふ猫 ノルウェーフォレストジャンキャット NorwegianForestCat#10,/watch?v=V9f-dU7XseY,23,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,37
～夜桜日記～U.S.Aエクササイズダイエットに挑戦したいもふ猫 ノルウェージャンフォレストキャット NorwegianForestCat #10,/watch?v=xbMWkHMvNlM,35,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,56
フォートナイト　ランダムボススキンチャレンジ #11 fortnite RandomSkinChallenge,/watch?v=_aHYKnycNbE,39,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,62
～夜桜日記～換毛期の味方！ファーミネーター大好きもふ猫♪ノルウェージャンフォレストキャット  FURminator NorwegianForestCat#8 cat movie,/watch?v=qEjY9pPqdj0,77,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,122
～夜桜日記～カーペット下で自粛生活するもふ猫 Let's stay under the carpet.#7 cat movie,/watch?v=bchmlinDstc,33,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,52
～夜桜日記～どんくさいけど登りたいにゃん！登りたがりのもふ猫ノルウェージャンフォレストキャット仔猫#6 cat movie,/watch?v=w1LYX4cTp-Y,91,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,144
～夜桜日記～自分が可愛いと知っているあざとカワイイもふ猫#5 cute cat movie,/watch?v=8kgafwYT-sM,30,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,48
～夜桜日記～突然の試練！？4日目にして最大の難関が訪れる！もふ猫を救え！ #4 cat movie,/watch?v=a0bgw4aG6nw,32,夜桜とSUBARUのへや【幸せのおすそわけ】,199,3か月前,63,51
