title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【スイーツレシピ】絶対作れる♡お花のフルーツサンド　作り方【萌え断】,/watch?v=ShbwnAlqSIc,117,大阪ガスクッキングスクールチャンネル,1090,4週間前,2162,5
【スイーツレシピ】至福の濃密食感！本気のイタリアンプリン作り方【お家でできる】,/watch?v=tyP5N4BtmVk,113,大阪ガスクッキングスクールチャンネル,1090,4週間前,2162,5
【パンレシピ】フラワーフォカッチャ　ふかふかモチモチ★,/watch?v=Io4JIf6tFaQ,94,大阪ガスクッキングスクールチャンネル,1090,4週間前,2162,4
【冷製パスタ】大人の和風味♪サーモンとアボカドたっぷり♪ひんやり冷製パスタ作り方,/watch?v=bxO9njLiyPo,119,大阪ガスクッキングスクールチャンネル,1090,4週間前,2162,6
milk水玉の抹茶ぷりん,/watch?v=szxS-YVrHjM,135,大阪ガスクッキングスクールチャンネル,1090,1か月前,2162,6
きらきら海ゼリー,/watch?v=T-rCWCKOluc,190,大阪ガスクッキングスクールチャンネル,1090,1か月前,2162,9
野菜で贈る花束　bouquet salad,/watch?v=lEScCRmBn08,154,大阪ガスクッキングスクールチャンネル,1090,1か月前,2162,7
水無月～white&matcha～,/watch?v=AqD4c9p7VbI,252,大阪ガスクッキングスクールチャンネル,1090,1か月前,2162,12
ごくごく飲みたい♡マンゴーラッシー,/watch?v=0p5nY0Xvtj0,723,大阪ガスクッキングスクールチャンネル,1090,2か月前,2162,33
お家で絶品！やわらかジューシーハンバーグ,/watch?v=EyPDsS_LPuw,129,大阪ガスクッキングスクールチャンネル,1090,2か月前,2162,6
ヨーグルトがいっぱい♡Very Berryフレンチトースト,/watch?v=p8OzQ_Tb588,90,大阪ガスクッキングスクールチャンネル,1090,2か月前,2162,4
もっちり白玉☆台湾風ミルクぜんざい,/watch?v=kjpbYdPbJrM,152,大阪ガスクッキングスクールチャンネル,1090,2か月前,2162,7
ホイップチーズでふわふわ濃厚♡簡単クリームチーズTEA,/watch?v=dN_QCDWdyfQ,175,大阪ガスクッキングスクールチャンネル,1090,3か月前,2162,8
【チーズとカレーの黄金コンビ】溢れる♪とろとろチーズのcheese curryタルト,/watch?v=MllPEBC2p7M,104,大阪ガスクッキングスクールチャンネル,1090,3か月前,2162,5
【チーズとカレーの黄金コンビ】かくれんぼ！とろ～りチーズのキーマカレー,/watch?v=dgWzs0H1pQo,212,大阪ガスクッキングスクールチャンネル,1090,3か月前,2162,10
甘くてほろにが♪ダルゴナコーヒー,/watch?v=0p_VQW-nRPg,249,大阪ガスクッキングスクールチャンネル,1090,3か月前,2162,12
【純喫茶レトロ】喫茶店風♡ミックスジュースミックスジュース,/watch?v=HjruZPdDXFQ,813,大阪ガスクッキングスクールチャンネル,1090,4か月前,2162,38
【純喫茶レトロ】厚焼きたまごサンドの作り方,/watch?v=Pdj1a_j5MeA,1108,大阪ガスクッキングスクールチャンネル,1090,4か月前,2162,51
【純喫茶レトロ】昔ながらのナポリタン,/watch?v=s6eOvz9p73s,334,大阪ガスクッキングスクールチャンネル,1090,4か月前,2162,15
【純喫茶レトロ】懐かしの味♪カスタードプリンの作り方,/watch?v=_cw_2PV__c8,640,大阪ガスクッキングスクールチャンネル,1090,4か月前,2162,30
ひなまつりにぴったり！お餅で簡単！サクふわ♡ひなあられ,/watch?v=ydG-IbT4DxQ,544,大阪ガスクッキングスクールチャンネル,1090,5か月前,2162,25
【１０分で簡単！春レシピ】いちごのスプリングサラダ,/watch?v=08-7ako3Tqs,178,大阪ガスクッキングスクールチャンネル,1090,5か月前,2162,8
くるくるまいて♪簡単かわいい♡春スイーツいちごクレープの作り方,/watch?v=uKlrC8FK8rQ,627,大阪ガスクッキングスクールチャンネル,1090,5か月前,2162,29
丸ごといちごのコンポートのせ♪いちごトーストの作り方♡,/watch?v=l4wgRr-KW28,307,大阪ガスクッキングスクールチャンネル,1090,5か月前,2162,14
意外とかんたん！和スイーツ♪やわらかいちご大福の作り方,/watch?v=7WQwje3WbE8,896,大阪ガスクッキングスクールチャンネル,1090,5か月前,2162,41
お花見にもオススメ！３色おにぎりの作り方♡「♯わたしのおにぎり」,/watch?v=o3ltlTM0aM0,175,大阪ガスクッキングスクールチャンネル,1090,6か月前,2162,8
チョコ♡ポップコーン＆ポップコーンボール,/watch?v=noTSR-z78CY,462,大阪ガスクッキングスクールチャンネル,1090,6か月前,2162,21
バレンタイン♡パレットチョコレート,/watch?v=veAn4GDYdP8,277,大阪ガスクッキングスクールチャンネル,1090,6か月前,2162,13
チョコいちご,/watch?v=MMDyUI-eMRQ,216,大阪ガスクッキングスクールチャンネル,1090,6か月前,2162,10
～干支のねずみとお花の白玉～冬のおやつ♪白玉ぜんざい,/watch?v=9Uha2t7Re-s,358,大阪ガスクッキングスクールチャンネル,1090,7か月前,2162,17
串に刺すだけでおしゃれ♪あったか串おでん,/watch?v=vne1uT30Ff4,213,大阪ガスクッキングスクールチャンネル,1090,7か月前,2162,10
きんかんシロップ煮の作り方,/watch?v=ojxPdudWQ0Y,459,大阪ガスクッキングスクールチャンネル,1090,7か月前,2162,21
～卵焼き器でカンタン～ キャンドルケーキ☆,/watch?v=fAEUYDpmBdU,841,大阪ガスクッキングスクールチャンネル,1090,8か月前,2162,39
赤鼻のトナカイバウム＆ミニツリー,/watch?v=yK1laGZXZZ0,146,大阪ガスクッキングスクールチャンネル,1090,8か月前,2162,7
まるごと１コ！ カマンベールのチーズフォンデュ,/watch?v=bCXyZoMV4mI,1420,大阪ガスクッキングスクールチャンネル,1090,8か月前,2162,66
スノーマンのマシュマロホットチョコ,/watch?v=WnafKDa661Q,206,大阪ガスクッキングスクールチャンネル,1090,8か月前,2162,10
おいしい秋スイーツ♪ まるごと！焼きりんご,/watch?v=SPSiydV9SJY,522,大阪ガスクッキングスクールチャンネル,1090,9か月前,2162,24
秋の味覚！ さんまとトマトの炊き込みごはん,/watch?v=bCspG3Os3Ko,116,大阪ガスクッキングスクールチャンネル,1090,9か月前,2162,5
焼き魚をかわいくアレンジ♪ 大根おろしde猫アート,/watch?v=NadkE6F9jPo,1001,大阪ガスクッキングスクールチャンネル,1090,9か月前,2162,46
【料理の基本】 秋の味覚！ さんまの塩焼き,/watch?v=FqmzVNcNIEI,120,大阪ガスクッキングスクールチャンネル,1090,9か月前,2162,6
【Happy　Halloween！】 簡単かわいい☆ ハロウィンデコおにぎり,/watch?v=mPuosGunHv4,1764,大阪ガスクッキングスクールチャンネル,1090,10か月前,2162,82
【Happy　Halloween！】 デコって☆かわいい ハロウィンポップケーキ,/watch?v=dulgorrgSuY,511,大阪ガスクッキングスクールチャンネル,1090,10か月前,2162,24
【Happy　Halloween！】  材料３つで簡単！ ギョウザの皮で作る☆ ハロウィンのおばけスナック,/watch?v=Rxry6eTFTNE,491,大阪ガスクッキングスクールチャンネル,1090,10か月前,2162,23
