title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【刀剣乱舞】鬼丸国綱を10連鍛刀でお迎えして優勝するだけ👹！！！！,/watch?v=vRQHwSW8fUU,66,姫川結泉,1620,1日前,164,40
５分で解除マニュアルを丸暗記して一人で爆弾解除する美少年【Keep Talking and Nobody Explodes】,/watch?v=piwRhP7EF_M,94,姫川結泉,1620,6日前,164,57
【BLシチュ】美少年と海水浴デート🍉【イヤホン推奨】,/watch?v=esC6jD0_7ns,101,姫川結泉,1620,1週間前,164,62
【切り抜き版】ワンダと巨像と可愛いの権化【その７】,/watch?v=oqPjUpAoxlE,62,姫川結泉,1620,1週間前,164,38
7月もありがとう配信☀,/watch?v=SNlvdh3LTQg,74,姫川結泉,1620,1週間前,164,45
上級者向けフラッシュ暗算を一瞬で解く姫川結泉,/watch?v=M3AE-y1_YBY,104,姫川結泉,1620,作成者:2週間前,164,63
【切り抜き版】ワンダと巨像と可愛いの権化【その６】,/watch?v=4OIIwQ-9QhY,41,姫川結泉,1620,2週間前,164,25
フォロワーさん登録者さん限定キャンペーンについての告知【ひとくち結泉くん】,/watch?v=EpXTohonFBU,101,姫川結泉,1620,3週間前,164,62
💛みこゆい！ドキドキ脱衣麻雀💜,/watch?v=eBRvdEYmmGI,141,姫川結泉,1620,3週間前,164,86
夜に駆ける/姫川結泉【歌ってみた】,/watch?v=iPaax5s6ZrA,173,姫川結泉,1620,1か月前,164,105
【刀剣乱舞】北谷菜切ちゃんを10回以内に引くビーチの一番星☆彡【ひとくち結泉くん】,/watch?v=1QMHeaCmZKM,270,姫川結泉,1620,1か月前,164,165
寝付けない夜の快眠法！【ひとくち結泉くん】,/watch?v=3Pyg_irdPwA,79,姫川結泉,1620,1か月前,164,48
【切り抜き版】ワンダと巨像と可愛いの権化【その５】,/watch?v=dg0TI48Ix4A,42,姫川結泉,1620,1か月前,164,26
織姫と彦星【ひとくち結泉くん】,/watch?v=8gCoAW2yyvU,72,姫川結泉,1620,1か月前,164,44
改札でいちゃつくカップルを滅ぼす動画,/watch?v=Gg1_xyljP4o,93,姫川結泉,1620,1か月前,164,57
ＢＳＳ,/watch?v=FfwFNxt-7Lg,108,姫川結泉,1620,1か月前,164,66
【完結】闇のヨルゆい#13 最終回【DARK SOULS Ⅲ】,/watch?v=xmDxcCe73Yg,46,姫川結泉,1620,1か月前,164,28
💖ベルゆい✨ハピネス✨パジャマパーティー２！💜,/watch?v=btD8zdoSf20,120,姫川結泉,1620,1か月前,164,73
【切り抜き版】ワンダと巨像と可愛いの権化【その４】,/watch?v=7J56_T3rEjY,45,姫川結泉,1620,1か月前,164,27
暑い日にオススメの献立について【ひとくち結泉くん】,/watch?v=NN2qliHtpWU,77,姫川結泉,1620,2か月前,164,47
引いたり割ったり【ひとくち結泉くん】,/watch?v=hRWXnLioNeY,99,姫川結泉,1620,2か月前,164,60
【Vtuber】闇のヨルゆい#12【DARK SOULS Ⅲ】,/watch?v=FXz1-wUtJxs,59,姫川結泉,1620,2か月前,164,36
「未来へ」,/watch?v=D9DKsmB8O4Y,177,姫川結泉,1620,2か月前,164,108
夢のつづき,/watch?v=XtVH5OItWSQ,113,姫川結泉,1620,2か月前,164,69
【歌って】可愛くなりたい/姫川結泉【踊ってみた】,/watch?v=cblfypSE-wc,157,姫川結泉,1620,2か月前,164,96
リングがフィットしてマッチョになる美娼年【Protein for Muscle】,/watch?v=I0ShHcJqxlE,102,姫川結泉,1620,2か月前,164,62
【最終回】ワンダと巨像と可愛いの権化#8【完結】,/watch?v=X_C_TfeN_lo,105,姫川結泉,1620,2か月前,164,64
【切り抜き版】ワンダと巨像と可愛いの権化【その３】,/watch?v=RbUjEVlgJL8,93,姫川結泉,1620,2か月前,164,57
【Vtuber】闇のヨルゆい#11【DARK SOULS Ⅲ】,/watch?v=IrGQ6t4NsDk,50,姫川結泉,1620,3か月前,164,30
上着【ひとくち結泉くん】,/watch?v=mpVheYW8gdc,104,姫川結泉,1620,3か月前,164,63
Bite me. (bite back remix)/姫川結泉【歌ってみた】,/watch?v=zveKrDr6QLk,171,姫川結泉,1620,3か月前,164,104
寿司打ーーーーー！！！！！,/watch?v=UxmBfQwFNuE,625,姫川結泉,1620,3か月前,164,381
ハンカチ,/watch?v=pqFYerOzq9Q,107,姫川結泉,1620,3か月前,164,65
【切り抜き版】ワンダと巨像と可愛いの権化【その２】,/watch?v=_j6WixoRH8E,60,姫川結泉,1620,3か月前,164,37
ヘラクレスに担がれたい,/watch?v=cZBxzRkLD6Y,93,姫川結泉,1620,3か月前,164,57
【切り抜き版】ワンダと巨像と可愛いの権化【その１】,/watch?v=uVkWU2nHfxk,75,姫川結泉,1620,3か月前,164,46
姫川結泉が家でYouTube Liveをやっているのを見つけてエグい事を言う姫川結泉,/watch?v=lY0pe7Wrr-4,99,姫川結泉,1620,作成者:3か月前,164,60
おっとっと食べよーーー！！！！,/watch?v=N4ScT7dj2UU,126,姫川結泉,1620,3か月前,164,77
日向正宗くんをお迎え出来ました！【刀剣乱舞】,/watch?v=qjwT5rqE_e4,74,姫川結泉,1620,3か月前,164,45
美娼年と学ぶ、都々逸！,/watch?v=aTQ8HuLgZqs,113,姫川結泉,1620,3か月前,164,69
ワンダと巨像と可愛いの権化#1,/watch?v=ZjP5iVoobZI,132,姫川結泉,1620,4か月前,164,80
【Vtuber】世界で一番頑張ってる君に/姫川結泉【歌ってみた】,/watch?v=9xaw2mP0OcY,175,姫川結泉,1620,4か月前,164,107
【BLシチュ】男娼男の娘と夜桜デート【イヤホン推奨】,/watch?v=FBAbikJdiFk,219,姫川結泉,1620,4か月前,164,134
🍚でぶビンゴ！🍚,/watch?v=-5F6XJWk1NM,192,姫川結泉,1620,4か月前,164,117
４月、新しい環境で頑張っている貴方へ,/watch?v=ekSIhWd-g14,92,姫川結泉,1620,4か月前,164,56
超大型新人VtuberによるGetting Over It！！,/watch?v=RYfHbSroEpQ,120,姫川結泉,1620,4か月前,164,73
モンハンで遊んでただけなのにエグい事いう美娼年,/watch?v=scjVHNGhda0,176,姫川結泉,1620,4か月前,164,107
美娼年の描くワニの寿命は何日？,/watch?v=B1imafIZe5Q,86,姫川結泉,1620,4か月前,164,52
美娼年と千夜一夜「へび女房」,/watch?v=NLz03NHay3s,120,姫川結泉,1620,4か月前,164,73
みこゆい💙ハッピーホワイトデー！,/watch?v=SqDj7j_TnAw,113,姫川結泉,1620,4か月前,164,69
みこゆい電撃⚡デスマッチ!!【Brawlhalla】,/watch?v=AZvXBYVGXJE,147,姫川結泉,1620,5か月前,164,90
【おじぜひ】２つの音を同時に出せる美娼年【ひとくち結泉くん】,/watch?v=_jaENt-MTYo,183,姫川結泉,1620,5か月前,164,112
ゆいほー！【ひとくち結泉くん】,/watch?v=YW_iGIC_cAU,153,姫川結泉,1620,5か月前,164,93
美娼年の千夜一夜「安珍清姫」,/watch?v=Lwm8FEKDp0s,129,姫川結泉,1620,5か月前,164,79
【Vtuber】歓喜の華/姫川結泉【歌ってみた】,/watch?v=7cZSy_B0J44,188,姫川結泉,1620,5か月前,164,115
世界一可愛いサボテン🌵【ひとくち結泉くん】,/watch?v=QSiSzLP9tqo,161,姫川結泉,1620,6か月前,164,98
おじゆいデートこれ何のシーン！？その2【ひとくち結泉くん】,/watch?v=75FJKMrLTU8,80,姫川結泉,1620,6か月前,164,49
ばれんたいん、だよ。【ひとくち結泉くん】,/watch?v=18b9D1bTJX4,119,姫川結泉,1620,6か月前,164,73
