title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【猫/ハリネズミ】じりじりと迫る…!? Face-to-face between a cat and a hedgehog,/watch?v=DMiSFLkObfM,174,愛する動物タチ My dear chil,397,,94,185
猫の上でまったりするフェレット…♡ Ferret relaxing on a cat,/watch?v=8zG8b4zFMSs,106,愛する動物タチ My dear chil,397,,94,113
【プチ動画】美味しそうに食べてると….!? Chipmunk Meal Time,/watch?v=C093oe1DmBU,70,愛する動物タチ My dear chil,397,,94,74
【おでん3兄妹】川の字で眠る3つ子猫♡ The triplets are sleeping together,/watch?v=aNQXRNJY3rU,47,愛する動物タチ My dear chil,397,,94,50
【誕生日】フェレットのロハ君おめでとう!! Today is Roja ’s birthday,/watch?v=72QmluLtmW8,67,愛する動物タチ My dear chil,397,,94,71
【スロー動画】海をバックにおやつを食べるフェレット!! Ferret eating food at seashore,/watch?v=x3-H3Vg2cgs,51,愛する動物タチ My dear chil,397,,94,54
後ろにハリネズミが立ち止まった時の猫の反応は!? Hedgehog stops behind cat,/watch?v=L5cP6kD4sVg,85,愛する動物タチ My dear chil,397,,94,90
猫とフェレットが同じポーズになる!? Ferret and cat sleep in same pose,/watch?v=OSRESLsR-oY,70,愛する動物タチ My dear chil,397,,94,74
肩で目覚めるシマリス!? Chipmunk Morning Routine,/watch?v=TQTQB5Mxy5I,148,愛する動物タチ My dear chil,397,,94,157
猫がビックリ!!その理由は!? Cat is surprised(Slow motion),/watch?v=i-6sxHWHv0w,63,愛する動物タチ My dear chil,397,,94,67
子猫にじりじりの迫るハリネズミ!! Hedgehog approaching a kitten,/watch?v=eZ3krPSyuRw,301,愛する動物タチ My dear chil,397,,94,320
【癒しの音】自然を満喫するフェレット。The sound of nature,/watch?v=rEGh35_1auM,112,愛する動物タチ My dear chil,397,,94,119
男らしくフードを吹っ飛ばす!?【ハリネズミ/シマリス】Hedgehog and chipmunk meal time,/watch?v=y2uTAydKkGg,83,愛する動物タチ My dear chil,397,,94,88
"【ハリネズミ】【フェレット】【猫】の寝姿!! Sleeping cat, hedgehog and ferret",/watch?v=QOD6dlYujv4,76,愛する動物タチ My dear chil,397,,94,81
犬に降りかかる土砂!? Dog and ferret playing outside,/watch?v=a4QHsRAjwRs,55,愛する動物タチ My dear chil,397,,94,59
【謎】ハリネズミってどんな風に寝るの？How to sleep a hedgehog,/watch?v=kS2MxrKG6jY,79,愛する動物タチ My dear chil,397,,94,84
【プチ動画】猫は何色のボールを選ぶ!? What color ball do cats choose?,/watch?v=EIETeBlSNyQ,65,愛する動物タチ My dear chil,397,,94,69
【耳パク!?】猫がフェレットにぺろぺろ...♡ Cat grooms ferret,/watch?v=_BStR2jqLgw,121,愛する動物タチ My dear chil,397,,94,129
【ハリネズミ】アンティング中のお顔をスローで撮ってみた!! Self-anointing,/watch?v=DQyJdXASV64,53,愛する動物タチ My dear chil,397,,94,56
ギャル曽根に興味を示す猫…の後ろでは!? Cat watching tv,/watch?v=mGRsIpzd_5o,69,愛する動物タチ My dear chil,397,,94,73
フェレットは何して遊ぶ!?♡【モデルはロハ】 Ferret's daily life,/watch?v=Sls0JTeod1o,75,愛する動物タチ My dear chil,397,,94,80
【満員御礼】抱き合う猫タチとフェレット♡ Cat and Ferret are relaxing and sleeping,/watch?v=lwSWWQbB_uY,80,愛する動物タチ My dear chil,397,,94,85
ハリネズミの周りに集まる猫とフェレットの反応は!? Cats and ferrets gather around hedgehogs,/watch?v=kZKEF_m0N44,102,愛する動物タチ My dear chil,397,,94,109
【お祝】シマリスがおみかんころりん!? Today is Pepper's second birthday,/watch?v=SOoKoMdrIRI,75,愛する動物タチ My dear chil,397,,94,80
【犯行劇】フェレットが強奪!? Ferret snatches things,/watch?v=OXUY9o-fIW8,69,愛する動物タチ My dear chil,397,,94,73
【異種交流】フェレット＆猫の日常♡ Ferret and cat are playing,/watch?v=AmpUqPjpxDc,94,愛する動物タチ My dear chil,397,,94,100
【プチ動画】ハリネズミと猫が向き合うとどうなる？Hedgehog and cat face each other,/watch?v=voFYYZtUx0w,182,愛する動物タチ My dear chil,397,,94,194
フェレットが干してある!?背後に猫も…。Ferret and cat relax,/watch?v=fCaAeT0-f70,114,愛する動物タチ My dear chil,397,,94,121
ハリネズミに注目!!する猫とフェレット。Cat and ferret looking at hedgehog,/watch?v=WjTahA6fc0M,169,愛する動物タチ My dear chil,397,,94,180
【プチ動画】子猫時代のおでん♡ Kitten battle,/watch?v=wY_kenF_Zuw,64,愛する動物タチ My dear chil,397,,94,68
【ラブラブ】フェレットが夢の世界へ…。Ferrets love each other,/watch?v=x1SvVqBgu1c,86,愛する動物タチ My dear chil,397,,94,91
"どうぶつ達が集まるバーガーショップ♡ Burger shop where cats, hedgehogs and ferrets gather",/watch?v=DBnH-uhzrPY,158,愛する動物タチ My dear chil,397,,94,168
シマリスの壁蹴り!?(スローモーションver.) Chipmunk wall kick(Slow motion ver.),/watch?v=pF_ujyRQ_hM,82,愛する動物タチ My dear chil,397,,94,87
猫がフェレットを抱く♡ Cat holding ferret,/watch?v=MMak25FtrSk,120,愛する動物タチ My dear chil,397,,94,128
【フェレット/ねこ】フェレットのムーンウォーク♡ Ferret Moonwalk,/watch?v=8CPdpz1FQJI,73,愛する動物タチ My dear chil,397,,94,78
フェレットと猫の女子ランチ♡ Lunch time for ferret and cat,/watch?v=C3BUXAw5YzA,73,愛する動物タチ My dear chil,397,,94,78
【プチ動画】この後、何かが起きる。What will happen after this,/watch?v=IOpcHE4BW_Q,108,愛する動物タチ My dear chil,397,,94,115
"野生のハリネズミは1日5km走る!?【フェレット/猫】Hedgehog, ferret and cat are playing",/watch?v=980vladRaSE,138,愛する動物タチ My dear chil,397,,94,147
【今日は何の日!?】猫の日と〇〇〇の日!! February 22 is cat day in Japan,/watch?v=H_VXWjFx-cE,140,愛する動物タチ My dear chil,397,,94,149
【猫/フェレット】もふもふ渋滞中♡ Ferret and cat relaxing,/watch?v=jURau16KgyI,69,愛する動物タチ My dear chil,397,,94,73
【ASMR】フェレットの咀嚼音♡ Ferret eating sound,/watch?v=hZ3I_LpJULk,75,愛する動物タチ My dear chil,397,,94,80
猫とフェレットの周りをウロウロするハリネズミ♡ Hedgehog walking around cat and ferret,/watch?v=ooOX8X4C7pc,112,愛する動物タチ My dear chil,397,,94,119
フェレットのだらだらタイム♡ Ferret Relax Time,/watch?v=R3NK08nP7CY,61,愛する動物タチ My dear chil,397,,94,65
【プチ動画】ハリネズミを眺める猫ちゃん♡ Cat looking at hedgehog,/watch?v=eQvqKnGs42E,118,愛する動物タチ My dear chil,397,,94,126
【フェレット/ねこ】子猫のじゃれ合い♡ Kittens are playing,/watch?v=gaRG56eWSHg,127,愛する動物タチ My dear chil,397,,94,135
【フェレット/猫】1匹どこで寝てるのかな!?♡ Ferret and cat are sleeping together,/watch?v=sbtjcZHet00,75,愛する動物タチ My dear chil,397,,94,80
【シマリス/ハリネズミ】ちびーずが走ったり飛んだり食べたり♡ Chipmunk and hedgehog are playing together,/watch?v=YNY2VI-dnfo,99,愛する動物タチ My dear chil,397,,94,105
【ハリネズミ/猫】ハリネズミが部屋の中を走り回る!! Hedgehog runs in the room,/watch?v=oY_iCfY2sBg,126,愛する動物タチ My dear chil,397,,94,134
【フェレット/猫ちゃん】バレンタインで何をあげたのかな!?Happy Valentine's day,/watch?v=FTdb6V-bw2o,109,愛する動物タチ My dear chil,397,,94,116
"【初登場!?】猫ちゃん、フェレット、ワンちゃん集合!! Cat, ferret and dog",/watch?v=ywlg9_0fxqk,85,愛する動物タチ My dear chil,397,,94,90
フェレット&ニャンコの寝姿♡ Ferret and cat are sleeping together,/watch?v=MSk89c-WHvk,153,愛する動物タチ My dear chil,397,,94,163
猫ちゃんのゆる〜い戦い♡ Cute battle of cats,/watch?v=Yrl9V0L9ZT4,91,愛する動物タチ My dear chil,397,,94,97
"【フェレットの遊び】目!?目,目,目がぁ〜…。Ferret is playing with chick",/watch?v=eBdXl6t2nkQ,57,愛する動物タチ My dear chil,397,,94,61
【ハリネズミ/ねこ】おやつを食べる子とジャマする子♡ Hedgehog and cat are eating together,/watch?v=j1fPSMVTg_A,109,愛する動物タチ My dear chil,397,,94,116
【プチ動画】猫ちゃんの元にハリネズミが…♡ Hedgehog heading for cat,/watch?v=9VswMsfw23c,106,愛する動物タチ My dear chil,397,,94,113
【フェレット/ねこ】添い寝を繰り返した結果…♡ Ferret and cat are sleeping together,/watch?v=VkYz-dGjrA0,160,愛する動物タチ My dear chil,397,,94,170
【フェレット/Ferret】ロハ散歩♡ Stroll along the shore,/watch?v=UTrEaxtzQZo,97,愛する動物タチ My dear chil,397,,94,103
【おでん3兄妹】兄妹でちゅぱちゅぱふみふみ♡ make biscuits,/watch?v=h9TYvC7TP9Q,110,愛する動物タチ My dear chil,397,,94,117
